plate,strain,fitness,fitness_sd,n_used,n_total
P1,WT,1.0,0.14930897119681918,26,28
P1,YBR203W,1.2724179080606592,0.2603074077052507,14,14
P1,YBR203W+YPL046C,0.8809824956184429,0.23391485876785004,8,14
P1,YDR057W,1.4932828037229111,0.07141963798661523,12,14
P1,YDR057W+YER079W,0.9539132074606379,0.056281223380512856,7,14
P1,YDR057W+YGL087C,0.7902003793789953,0.2589379187350124,8,14
P1,YDR057W+YLL012W,0.9097456291687097,0.21316606528354268,9,14
P1,YDR057W+YLR312C-B,0.7648996388447494,0.2363675122572904,8,14
P1,YDR057W+YPL081W,0.49840850285032184,0.1894625858391686,11,14
P1,YER079W,1.6701205710344635,0.15596005733305804,14,14
P1,YER079W+YJR060W,0.8459091049405252,0.17038731214226097,9,14
P1,YER079W+YLR312C-B,0.8502754273622882,0.24567082673193089,8,14
P1,YER079W+YPL081W,1.086086651336873,0.10247706121069476,13,14
P1,YGL087C,1.0988187648161476,0.12781307082820642,13,14
P1,YJR060W,0.6172026042731735,0.3286391266976288,6,14
P1,YJR060W+YPL046C,0.516615503784122,0.22351016148559044,9,14
P1,YKL033W-A,0.9425261628482047,0.2977487063845241,14,14
P1,YLL012W,1.3746671429926212,0.1486948442258318,13,14
P1,YLL012W+YPL046C,0.9511030722658824,0.22450692302796404,14,14
P1,YLR104W,1.1342238027619238,0.1847175542413897,14,14
P1,YLR312C-B,0.6776783261593039,0.198955239126916,12,14
P1,YLR312C-B+YPL081W,0.680204060503191,0.2362825738909576,12,14
P1,YLR313C,1.4439787274295937,0.3170721678727621,14,14
P1,YPL046C,1.27873662550562,0.1572545565350385,14,14
P1,YPL046C+YPL081W,0.933629707297304,0.06419129292176969,11,14
P1,YPL081W,1.0065675804824605,0.17086751324172972,13,14
P2,WT,1.0,0.20610312474483974,27,28
P2,YBR203W,1.1280816534706175,0.2065600000635064,14,14
P2,YBR203W+YPL046C,0.941423462975294,0.210952448400234,13,14
P2,YDR057W,1.2773193381386747,0.2701422289851678,14,14
P2,YDR057W+YER079W,0.8350290891838342,0.15393643622476424,12,14
P2,YDR057W+YGL087C,0.7874904139549108,0.10749484263143891,9,14
P2,YDR057W+YLL012W,0.9963851908914035,0.13236747941055516,11,14
P2,YDR057W+YLR312C-B,0.9916454720006502,0.18400818125600518,13,14
P2,YDR057W+YPL081W,0.6199914533390638,0.15541235088513666,14,14
P2,YER079W,1.2867521523065633,0.19763928637106815,14,14
P2,YER079W+YJR060W,0.6012804209081546,0.19154055026363742,12,14
P2,YER079W+YLR312C-B,0.8192137399190381,0.1919393895836143,10,14
P2,YER079W+YPL081W,0.8639926025697139,0.14379250403189295,13,14
P2,YGL087C,1.2384539549530449,0.17084055153520702,14,14
P2,YJR060W,0.574227232422177,0.1924188605269249,8,14
P2,YJR060W+YPL046C,0.6720656478376559,0.16583912297792933,14,14
P2,YKL033W-A,1.010597291518328,0.09456634529918125,11,14
P2,YLL012W,1.103961869280823,0.183720522956127,13,14
P2,YLL012W+YPL046C,0.9520735725782442,0.26752795247529515,11,14
P2,YLR104W,1.3084654175340988,0.20597400728982465,14,14
P2,YLR312C-B,0.9219096202620302,0.17569460088338348,14,14
P2,YLR312C-B+YPL081W,0.5392030788001317,0.19298557507011815,11,14
P2,YLR313C,0.8992348305202155,0.17019240327225071,13,14
P2,YPL046C,1.2551385529410715,0.2672049097985934,14,14
P2,YPL046C+YPL081W,0.9250390400893849,0.13863462965732573,14,14
P2,YPL081W,0.9094671862027958,0.11483911100133783,14,14
P3,WT,1.0,0.1579456477683122,28,28
P3,YBR203W,0.9871347384334288,0.0785485798769478,12,14
P3,YBR203W+YPL046C,0.842091256694306,0.13893907890169443,14,14
P3,YDR057W,0.958505939920152,0.1136963969377364,14,14
P3,YDR057W+YER079W,1.0318934387199876,0.13962329924895703,14,14
P3,YDR057W+YGL087C,0.7876498363978615,0.11425565092179668,13,14
P3,YDR057W+YLL012W,0.8883712478525917,0.1817456894389311,13,14
P3,YDR057W+YLR312C-B,0.9119720616376071,0.18762531890636744,13,14
P3,YDR057W+YPL081W,0.7029102879435936,0.15285806098660584,14,14
P3,YER079W,1.042889210479949,0.2054949781052054,14,14
P3,YER079W+YJR060W,0.6186467990438361,0.17125788897895874,13,14
P3,YER079W+YLR312C-B,0.6489288731271958,0.158117731293961,14,14
P3,YER079W+YPL081W,0.8986840683217041,0.1516395393932659,14,14
P3,YGL087C,1.1510356918863673,0.16397720914124933,14,14
P3,YJR060W,0.4130287800675216,0.1952961292675197,12,14
P3,YJR060W+YPL046C,0.5060250282121008,0.1751308157841714,14,14
P3,YKL033W-A,0.8222031614257997,0.08862628832046031,13,14
P3,YLL012W,1.3024840313783903,0.21864712750676307,14,14
P3,YLL012W+YPL046C,0.8227786762995773,0.15418940248733082,12,14
P3,YLR104W,1.081669498293665,0.15249445484593502,14,14
P3,YLR312C-B,0.9174310808252308,0.14347600433728788,14,14
P3,YLR312C-B+YPL081W,0.7245745314251267,0.17841367733370606,14,14
P3,YLR313C,0.9214776525914747,0.194635357858129,12,14
P3,YPL046C,1.0858226874799564,0.1354507754609362,14,14
P3,YPL046C+YPL081W,0.9419152851406815,0.12965278047954942,14,14
P3,YPL081W,0.7860990566286833,0.1335251468284426,14,14
