n_plates,wells_per_strain,s_strain_one_pick,se_tau_strain_mean,se_tau_per_plate,se_tau_sqrt7,se_tau_null_f085,callable_floor_strain_mean,callable_floor_per_plate,n_raw_above_floor,n_calibrated_above_floor,n_raw_above_floor_per_plate,n_calibrated_above_floor_per_plate,n_targets,se_tau_over_kuzmin
1,5,0.15611093829511494,0.5365431733092266,0.5196622224660975,0.4130307196658238,0.33964512457691276,1.0516246196860841,1.018537956033551,0,0,0,0,39,6.834944882920085
3,5,0.09154160676469204,0.31462256725728865,0.30503132523090715,0.24219632611464317,0.19916388161595924,0.6166602318242858,0.597861397452578,10,18,10,19,39,4.00793079308648
4,5,0.07988129229219788,0.27454682242364625,0.26630531324278606,0.21134603381161635,0.1737949420344835,0.5381117719503467,0.5219584139558606,13,35,15,39,39,3.4974117506196976
6,5,0.06619800561558932,0.22751825328591815,0.22089121836450035,0.17514346014730658,0.14402469237322862,0.44593577644039956,0.43294678799442066,25,39,31,39,39,2.898321697909785
8,5,0.05816144334597118,0.1998971098239097,0.19424246599330652,0.15388071498601216,0.12653982409273362,0.391798335254863,0.3807152333468808,39,39,39,39,39,2.5464599977568114
12,5,0.04881937153110061,0.16778901469890467,0.1633013803976204,0.12916391623375878,0.1062146042201203,0.32886646880985315,0.320070705579336,39,39,39,39,39,2.1374396776930533
20,5,0.039796897773264346,0.13677935737446223,0.13348072907897343,0.10529269445991764,0.0865847226952322,0.26808754045394595,0.26162222899478793,39,39,39,39,39,1.742412195853022
30,5,0.034409651120254924,0.11826373991567181,0.11572375353961387,0.09103937956468963,0.07486387801534855,0.23179693023471673,0.22681855693764316,39,39,39,39,39,1.5065444575244817
