strain,n_plates,fitness,boot_se,across_plate_sd,orf,common_name,costanzo_smf,costanzo_se,kuzmin_smf
YBR203W,3,1.1292114333215684,0.06787337746211032,0.14264494039405495,YBR203W,COS111,1.037,0.0458,1.0411
YDR057W,3,1.2430360272605794,0.1282452503061471,0.2690317501118628,YDR057W,YOS9,1.0435,0.0535,
YER079W,3,1.3332539779403252,0.1503597814034669,0.31619078063128514,YER079W,,1.0387,0.1173,
YGL087C,3,1.1627694705518532,0.03294856562134437,0.07055322637888238,YGL087C,MMS2,0.996,0.094,0.9852
YJR060W,3,0.5348195389209575,0.050561006125991105,0.1076404308473571,YJR060W,CBF1,0.59,0.1138,0.7523
YKL033W-A,3,0.9251088719307775,0.04453373567315381,0.09539710991695097,YKL033W-A,,1.0327,0.1008,
YLL012W,3,1.2603710145506115,0.0658699445910535,0.14018011964468238,YLL012W,YEH1,0.9925,0.0804,
YLR312C-B,3,0.8390063424155216,0.06612268216023458,0.13973210422356983,YLR312C-B,,1.0845,0.0441,
YLR313C,3,1.0882304035137613,0.14707286242485026,0.3082877523680051,YLR313C,SPH1,0.9843,0.0271,
YPL046C,3,1.2065659553088826,0.04947888043263274,0.10523031788271045,YPL046C,ELC1,1.0433,0.0643,0.9829
YPL081W,3,0.9007112744379798,0.05150304833831736,0.11049476003725614,YPL081W,RPS9A,0.955,0.1553,
