group,plate,volume_nl,hours,pitch_px,wt_median_fill,median_fill,p10_fill,p90_fill,raw_median_size_px
P1_t44,P1,2.5,43.71,47.95954173184646,0.15564421283818883,0.11499411814441604,0.05764922520207776,0.17468671709045888,264.5
P2_t44,P2,5.0,43.71,47.98360357746651,0.18589086491343831,0.15461950446071038,0.10853768023800989,0.20934438525298427,356.0
P1_t50,P1,2.5,50.3,47.65292535490869,0.22767293693445206,0.18671823067738427,0.12656325352990622,0.24365848357027528,424.0
P2_t50,P2,5.0,50.3,47.51871660963161,0.24578964244303736,0.2012817882709198,0.1463223384922154,0.252122600797876,454.5
P1_t72,P1,2.5,72.18,48.31342008871388,0.2664739873328081,0.22256147334307685,0.1469462663266128,0.3138995024417178,519.5
P2_t72,P2,5.0,72.26,48.72381151319132,0.3041267973929795,0.26031905926435084,0.1874044489752584,0.3425428139057769,618.0
