group,n,pearson_r,pearson_p,spearman_rho,spearman_p,loo_r_min,loo_r_max,most_influential,rmse,median_bias
P1_t44,12,0.7364649458067287,0.006302761701520257,0.6573426573426573,0.020185498509854103,0.5751695460337762,0.8159971837016274,YJR060W,0.18728551026687393,-0.15801494295708746
P2_t44,12,0.3508036185941751,0.2635572555557394,0.4755244755244756,0.11817595701303213,0.27316314531720504,0.44947002728936325,YLR312C-B,0.17325679320527848,-0.1463629247287861
P1_t50,12,0.7609434193858519,0.004049547594469232,0.6923076923076924,0.0125930304960941,0.5182701560796943,0.8307224158009922,YJR060W,0.13589818433457976,-0.094585827257951
P2_t50,12,0.3879402869073513,0.2127330832530829,0.5244755244755246,0.08001937592027475,0.3225545249206872,0.5054740288379286,YLR312C-B,0.20454773864858183,-0.19175705198574888
P1_t72,12,0.7112074769251725,0.009503327214307411,0.46153846153846156,0.13094806950717278,0.2598131784387399,0.8149375884350216,YJR060W,0.12257031333577184,-0.0790683336712052
P2_t72,12,0.5165935740482708,0.08549916570935386,0.4685314685314686,0.12445479118883397,0.06433968145671465,0.731356209717344,YJR060W,0.15671650629579983,-0.11611253074247868
