group,n,rho_size_vs_edge,rho_norm_vs_edge,bias_removed
P1_t44,280,-0.11579662665013632,0.01285218535567197,0.8890107101780859
P1_t50,283,-0.0913662607830328,0.02335423314740283,0.7443888701666137
P1_t72,283,-0.05150501468435569,0.0054629424014784956,0.8939337764495807
P2_t44,352,-0.16707987831551907,-0.008535003364080498,0.9489166292785854
P2_t50,352,-0.22470026991698291,-0.037239120370221195,0.8342720265357071
P2_t72,354,-0.21776026072055427,-0.0091901352700297,0.9577970046526388
