strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YJR060W,29,24,0.5851377318043228,0.6044351336962879,0.1859191141285011,0.6029619054471409,0.19158248942225758,-0.7298612379669457,1.2690726019304564e-07,1,
YPL081W,29,20,0.6661345140894579,0.6777760432155083,0.21892667508562197,0.686425971302433,0.22559551023275598,-0.5428239558605205,1.1526667571576697e-05,0,
YOS9,29,26,0.7903029829142247,0.8518290763604343,0.2450667508742629,0.8143767980730306,0.252531851967974,-0.29623163585809503,0.03337608379180477,0,
YLR312C-B,29,21,0.8507821904415904,0.869399512002599,0.21604070560055655,0.8766982930451381,0.2226216297851364,-0.18984765588450872,0.07050801593441362,0,
COS111,29,26,0.9089253932509491,0.8841563548771977,0.2189485334554183,0.9366126250890241,0.2256180344413072,-0.09447560988202405,0.15529019926767457,0,
ELC1,29,28,0.9429526598085762,0.9100953778148797,0.20087444496721688,0.9716764132632685,0.20699338208730284,-0.04145214597868456,0.2726331508641726,0,
BY4741,30,30,0.9704389722106903,0.9818799420887435,0.18035109482617329,1.0,0.18584485989400018,0.0,,0,wild-type reference
LCL1,29,27,0.9971024771511383,1.0049776561055024,0.19296893544067034,1.0274757153246925,0.19884705887386311,0.03910429580995776,0.5071656079618452,0,
MMS2,29,26,1.0442260035755848,1.0477974850064302,0.19642980846322292,1.076034695099688,0.20241335528369153,0.1057245961485237,0.12859539880127385,1,
YKL033W-A,29,27,1.0790079630419818,1.0967733754644948,0.14990599310915076,1.1118761652615494,0.15447235467848144,0.15299611745751915,0.006126520891082322,2,
SPH1,29,28,1.1840252040361594,1.1831321004410214,0.17609446399858994,1.2200923890545254,0.18145856570191246,0.28699039711942287,9.097596564592989e-05,1,
YEH1,29,29,1.1964811502927857,1.1787462307751209,0.12159318377259995,1.2329277621313623,0.1252970946700614,0.3020882739760657,2.5827521618084875e-05,0,
YER079W,29,27,1.2046383867776005,1.1866695786778128,0.21242934929488266,1.2413334802840787,0.21890026614549699,0.31189074296376135,0.00027697950534734205,2,
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
