row,col,size,circularity,flags,cx,cy,strain,volume_nl,well,is_missing,is_flagged,is_blank,is_reference,size_rc,size_spatial,norm,is_capped,is_jackknife,status
2,2,478,1.0,,346.0020920502092,546.1966527196653,YLR312C-B,2.5,B2,False,False,False,True,555.6483896513394,606.3253988515137,1.5158134971287842,False,False,OK
2,3,368,1.0,,390.5869565217391,543.6005434782609,ELC1,2.5,B3,False,False,False,True,430.0981015200988,424.46812942277563,1.0611703235569392,False,False,OK
2,4,365,1.0,,438.21643835616436,543.386301369863,YOS9,2.5,B4,False,False,False,True,439.69943832914214,437.7908006375477,1.0944770015938692,False,False,OK
2,5,371,1.0,,486.7601078167116,545.2803234501348,YPL081W,2.5,B5,False,False,False,True,466.4723032069971,464.4474504499206,1.1611186261248014,False,False,OK
2,6,347,1.0,,534.9769452449568,541.8011527377522,ELC1,2.5,B6,False,False,False,True,401.7438810398162,380.75850012462723,0.9518962503115681,False,False,OK
2,7,429,1.0,,586.5431235431236,546.4825174825174,YLR312C-B,2.5,B7,False,False,False,True,450.15444547189486,448.2004249142809,1.1205010622857023,False,False,OK
2,8,333,1.0,,633.3873873873874,539.5585585585586,YJR060W,2.5,B8,False,False,False,True,374.9656914837465,398.0345624780305,0.9950864061950763,False,False,OK
2,9,0,,,684.071642803531,543.6106237484078,Blank_media,2.5,B9,True,False,True,False,0.0,0.0,,False,False,MISS;BLANK
2,10,284,1.0,,728.2640845070423,543.0704225352113,ELC1,2.5,B10,False,False,False,True,314.85805749762676,333.67792849490377,0.8341948212372594,False,False,OK
2,11,0,,,791.6470588235294,559.5294117647059,LCL1,2.5,B11,True,False,False,False,0.0,0.0,,False,False,MISS
2,12,417,1.0,,827.6019184652279,544.7697841726618,YOS9,2.5,B12,False,False,False,True,516.7766521052142,559.9570326504056,1.399892581626014,False,False,OK
2,13,0,,,879.0125490623425,544.108656875648,LCL1,5.0,B13,True,False,False,False,0.0,0.0,,False,False,MISS
2,14,524,1.0,,925.3988549618321,540.4599236641221,BY4741,5.0,B14,False,False,False,True,467.87541924070695,474.7278446516698,1.1868196116291745,False,False,OK
2,15,533,1.0,,973.328330206379,541.5647279549719,BY4741,5.0,B15,False,False,False,True,508.5513918374163,512.952919131903,1.2823822978297574,False,False,OK
2,16,311,1.0,,1020.2186495176849,546.7106109324759,YER079W,5.0,B16,False,False,False,True,300.7264332249526,301.03357760035004,0.7525839440008751,False,False,OK
2,17,410,1.0,,1072.6609756097562,543.9170731707317,LCL1,5.0,B17,False,False,False,True,399.5918802442627,375.7967677304479,0.9394919193261199,False,False,OK
2,18,479,1.0,,1119.901878914405,546.419624217119,COS111,5.0,B18,False,False,False,True,450.54922444276576,436.93884189740527,1.0923471047435132,False,False,OK
2,19,438,1.0,,1169.8721461187215,547.716894977169,YEH1,5.0,B19,False,False,False,True,431.26684636118597,418.2389540917751,1.0455973852294378,False,False,OK
2,20,371,1.0,,1214.787061994609,546.4258760107816,COS111,5.0,B20,False,False,False,True,433.60433604336043,442.8612908578066,1.1071532271445164,False,False,OK
2,21,358,1.0,,1267.7625698324023,541.2849162011173,YJR060W,5.0,B21,False,False,False,True,382.1622054388727,364.6622777460992,0.9116556943652481,False,False,OK
2,22,296,1.0,,1315.3817567567567,547.4324324324324,SPH1,5.0,B22,False,False,False,True,313.2637706083707,307.7816546227242,0.7694541365568105,False,False,OK
2,23,548,1.0,,1362.4087591240875,542.8613138686131,BY4741,5.0,B23,False,False,False,True,520.5599819513875,531.6733399844378,1.3291833499610946,False,False,OK
3,2,362,1.0,,341.21270718232046,594.6132596685082,ELC1,2.5,C2,False,False,False,True,362.2241261780727,374.8859322034613,0.9372148305086533,False,False,OK
3,3,305,1.0,,391.88196721311476,594.7081967213114,YEH1,2.5,C3,False,False,False,True,306.84297562233166,285.3702209220216,0.713425552305054,False,False,OK
3,4,313,1.0,,439.0543130990415,594.0287539936103,COS111,2.5,C4,False,False,False,True,324.5667474627021,321.9665478820626,0.8049163697051566,False,False,OK
3,5,431,1.0,,486.32714617169376,589.7795823665894,BY4741,2.5,C5,False,False,False,True,466.47230320699714,464.2598878544192,1.1606497196360481,False,False,OK
3,6,375,1.0,,536.168,596.976,YER079W,2.5,C6,False,False,False,True,373.7211728616142,369.6620053928639,0.9241550134821597,False,False,OK
3,7,261,1.0,,586.9272030651341,589.9463601532567,YJR060W,2.5,C7,False,False,False,True,235.74440699781533,233.94995743747597,0.5848748935936899,False,False,OK
3,8,0,,,635.2117083375863,592.299477381648,YEH1,2.5,C8,True,False,False,False,0.0,0.0,,False,False,MISS
3,9,461,1.0,,682.0043383947939,590.1366594360087,BY4741,2.5,C9,False,False,False,True,580.1250540721225,647.7804618412778,1.6194511546031944,False,True,JK
3,10,352,1.0,,731.8210227272727,595.4573863636364,SPH1,2.5,C10,False,False,False,True,335.9199327205817,357.0124052818094,0.8925310132045234,False,False,OK
3,11,380,1.0,,777.35,595.128947368421,YPL081W,2.5,C11,False,False,False,True,356.2305186435117,375.065103296585,0.9376627582414625,False,False,OK
