,P1_t44,P2_t44,P1_t50,P2_t50,P1_t72,P2_t72,plate5_2.5nL,plate5_5.0nL
P1_t44,1.0,0.5940325256589083,0.9712202201303799,0.6347542742896712,0.9145256151321771,0.6225679064778809,0.7059792918772186,0.5657511896269164
P2_t44,0.5940325256589083,1.0,0.5927959063703013,0.9571338661858116,0.5864194853260177,0.8782012598328549,0.4026723207973362,0.7009563299279609
P1_t50,0.9712202201303799,0.5927959063703013,1.0,0.6322157558714232,0.9627030316592743,0.6572910117797816,0.666491747432579,0.5407185513424159
P2_t50,0.6347542742896712,0.9571338661858116,0.6322157558714232,1.0,0.6323704459734657,0.905289275690246,0.4663593811864705,0.6865922598344453
P1_t72,0.9145256151321771,0.5864194853260177,0.9627030316592743,0.6323704459734657,1.0,0.7059261707549773,0.5558512311219018,0.37767623611104273
P2_t72,0.6225679064778809,0.8782012598328549,0.6572910117797816,0.905289275690246,0.7059261707549773,1.0,0.23870477746175275,0.5356227893954988
plate5_2.5nL,0.7059792918772186,0.4026723207973362,0.666491747432579,0.4663593811864705,0.5558512311219018,0.23870477746175275,1.0,0.6021933576475513
plate5_5.0nL,0.5657511896269164,0.7009563299279609,0.5407185513424159,0.6865922598344453,0.37767623611104273,0.5356227893954988,0.6021933576475513,1.0
