strategy,rank,prediction,triple
rank,1,0.71142578125,YKL033W-A + YLR312C-B + YPL081W
rank,2,0.7109375,YER079W + YLL012W + YLR312C-B
rank,3,0.701171875,YLR104W + YLR312C-B + YPL081W
rank,4,0.69873046875,YBR203W + YLR312C-B + YPL081W
rank,5,0.68408203125,YER079W + YLR104W + YLR312C-B
rank,6,0.68310546875,YGL087C + YLR312C-B + YPL081W
rank,7,0.65771484375,YER079W + YJR060W + YLR312C-B
rank,8,0.65625,YER079W + YKL033W-A + YLR312C-B
rank,9,0.65478515625,YBR203W + YER079W + YLR312C-B
rank,10,0.64208984375,YER079W + YGL087C + YLR312C-B
rank,11,0.57470703125,YDR057W + YER079W + YLL012W
rank,12,0.56787109375,YBR203W + YDR057W + YPL081W
rank,13,0.54150390625,YDR057W + YKL033W-A + YPL081W
rank,14,0.533203125,YBR203W + YDR057W + YER079W
rank,15,0.5322265625,YDR057W + YER079W + YLR104W
rank,16,0.51953125,YDR057W + YGL087C + YPL081W
rank,17,0.50830078125,YDR057W + YER079W + YJR060W
rank,18,0.491455078125,YER079W + YJR060W + YPL046C
rank,19,0.475830078125,YBR203W + YER079W + YPL046C
rank,20,0.465576171875,YER079W + YLL012W + YPL046C
count,2,0.7109375,YER079W + YLL012W + YLR312C-B
count,4,0.69873046875,YBR203W + YLR312C-B + YPL081W
count,7,0.65771484375,YER079W + YJR060W + YLR312C-B
count,9,0.65478515625,YBR203W + YER079W + YLR312C-B
count,10,0.64208984375,YER079W + YGL087C + YLR312C-B
count,11,0.57470703125,YDR057W + YER079W + YLL012W
count,12,0.56787109375,YBR203W + YDR057W + YPL081W
count,14,0.533203125,YBR203W + YDR057W + YER079W
count,17,0.50830078125,YDR057W + YER079W + YJR060W
count,18,0.491455078125,YER079W + YJR060W + YPL046C
count,19,0.475830078125,YBR203W + YER079W + YPL046C
count,20,0.465576171875,YER079W + YLL012W + YPL046C
count,22,0.461669921875,YDR057W + YER079W + YGL087C
count,23,0.455322265625,YDR057W + YLL012W + YLR312C-B
count,24,0.452880859375,YBR203W + YLL012W + YPL046C
count,31,0.43310546875,YBR203W + YJR060W + YPL046C
count,35,0.42041015625,YJR060W + YLR312C-B + YPL046C
count,36,0.41650390625,YLL012W + YLR312C-B + YPL046C
count,38,0.410888671875,YBR203W + YDR057W + YLL012W
count,39,0.4091796875,YDR057W + YGL087C + YLL012W
balanced,2,0.7109375,YER079W + YLL012W + YLR312C-B
balanced,4,0.69873046875,YBR203W + YLR312C-B + YPL081W
balanced,6,0.68310546875,YGL087C + YLR312C-B + YPL081W
balanced,7,0.65771484375,YER079W + YJR060W + YLR312C-B
balanced,9,0.65478515625,YBR203W + YER079W + YLR312C-B
balanced,10,0.64208984375,YER079W + YGL087C + YLR312C-B
balanced,11,0.57470703125,YDR057W + YER079W + YLL012W
balanced,12,0.56787109375,YBR203W + YDR057W + YPL081W
balanced,14,0.533203125,YBR203W + YDR057W + YER079W
balanced,16,0.51953125,YDR057W + YGL087C + YPL081W
balanced,18,0.491455078125,YER079W + YJR060W + YPL046C
balanced,19,0.475830078125,YBR203W + YER079W + YPL046C
balanced,20,0.465576171875,YER079W + YLL012W + YPL046C
balanced,21,0.46435546875,YJR060W + YLL012W + YPL046C
balanced,22,0.461669921875,YDR057W + YER079W + YGL087C
balanced,23,0.455322265625,YDR057W + YLL012W + YLR312C-B
balanced,24,0.452880859375,YBR203W + YLL012W + YPL046C
balanced,31,0.43310546875,YBR203W + YJR060W + YPL046C
balanced,35,0.42041015625,YJR060W + YLR312C-B + YPL046C
balanced,36,0.41650390625,YLL012W + YLR312C-B + YPL046C
balanced,38,0.410888671875,YBR203W + YDR057W + YLL012W
uniform,1,0.71142578125,YKL033W-A + YLR312C-B + YPL081W
uniform,2,0.7109375,YER079W + YLL012W + YLR312C-B
uniform,3,0.701171875,YLR104W + YLR312C-B + YPL081W
uniform,5,0.68408203125,YER079W + YLR104W + YLR312C-B
uniform,6,0.68310546875,YGL087C + YLR312C-B + YPL081W
uniform,10,0.64208984375,YER079W + YGL087C + YLR312C-B
uniform,11,0.57470703125,YDR057W + YER079W + YLL012W
uniform,13,0.54150390625,YDR057W + YKL033W-A + YPL081W
uniform,15,0.5322265625,YDR057W + YER079W + YLR104W
uniform,16,0.51953125,YDR057W + YGL087C + YPL081W
uniform,18,0.491455078125,YER079W + YJR060W + YPL046C
uniform,21,0.46435546875,YJR060W + YLL012W + YPL046C
uniform,22,0.461669921875,YDR057W + YER079W + YGL087C
uniform,23,0.455322265625,YDR057W + YLL012W + YLR312C-B
uniform,24,0.452880859375,YBR203W + YLL012W + YPL046C
uniform,25,0.44921875,YDR057W + YKL033W-A + YLL012W
uniform,28,0.4384765625,YBR203W + YLR104W + YPL046C
uniform,29,0.43701171875,YBR203W + YKL033W-A + YPL046C
uniform,31,0.43310546875,YBR203W + YJR060W + YPL046C
uniform,33,0.422607421875,YJR060W + YLR104W + YPL046C
capped,1,0.71142578125,YKL033W-A + YLR312C-B + YPL081W
capped,2,0.7109375,YER079W + YLL012W + YLR312C-B
capped,3,0.701171875,YLR104W + YLR312C-B + YPL081W
capped,4,0.69873046875,YBR203W + YLR312C-B + YPL081W
capped,5,0.68408203125,YER079W + YLR104W + YLR312C-B
capped,6,0.68310546875,YGL087C + YLR312C-B + YPL081W
capped,12,0.56787109375,YBR203W + YDR057W + YPL081W
capped,13,0.54150390625,YDR057W + YKL033W-A + YPL081W
capped,16,0.51953125,YDR057W + YGL087C + YPL081W
capped,21,0.46435546875,YJR060W + YLL012W + YPL046C
capped,24,0.452880859375,YBR203W + YLL012W + YPL046C
capped,25,0.44921875,YDR057W + YKL033W-A + YLL012W
capped,27,0.443603515625,YGL087C + YLL012W + YPL046C
capped,28,0.4384765625,YBR203W + YLR104W + YPL046C
capped,29,0.43701171875,YBR203W + YKL033W-A + YPL046C
capped,31,0.43310546875,YBR203W + YJR060W + YPL046C
capped,33,0.422607421875,YJR060W + YLR104W + YPL046C
