strategy,rank,prediction,triple
capped,34,0.42041015625,YBR203W + YGL087C + YPL046C
capped,38,0.410888671875,YBR203W + YDR057W + YLL012W
capped,39,0.4091796875,YDR057W + YGL087C + YLL012W
no_ylr,11,0.57470703125,YDR057W + YER079W + YLL012W
no_ylr,12,0.56787109375,YBR203W + YDR057W + YPL081W
no_ylr,14,0.533203125,YBR203W + YDR057W + YER079W
no_ylr,15,0.5322265625,YDR057W + YER079W + YLR104W
no_ylr,16,0.51953125,YDR057W + YGL087C + YPL081W
no_ylr,17,0.50830078125,YDR057W + YER079W + YJR060W
no_ylr,18,0.491455078125,YER079W + YJR060W + YPL046C
no_ylr,19,0.475830078125,YBR203W + YER079W + YPL046C
no_ylr,20,0.465576171875,YER079W + YLL012W + YPL046C
no_ylr,21,0.46435546875,YJR060W + YLL012W + YPL046C
no_ylr,22,0.461669921875,YDR057W + YER079W + YGL087C
no_ylr,24,0.452880859375,YBR203W + YLL012W + YPL046C
no_ylr,26,0.445068359375,YER079W + YLR104W + YPL046C
no_ylr,27,0.443603515625,YGL087C + YLL012W + YPL046C
no_ylr,28,0.4384765625,YBR203W + YLR104W + YPL046C
no_ylr,29,0.43701171875,YBR203W + YKL033W-A + YPL046C
no_ylr,31,0.43310546875,YBR203W + YJR060W + YPL046C
no_ylr,34,0.42041015625,YBR203W + YGL087C + YPL046C
no_ylr,38,0.410888671875,YBR203W + YDR057W + YLL012W
no_ylr,39,0.4091796875,YDR057W + YGL087C + YLL012W
