gene,trigenic,digenic
YLL012W,1129,1140
YBR203W,526,1147
YPL046C,493,1133
YJR060W,319,828
YGL087C,319,828
YPL081W,10,21
YDR057W,10,21
YLR104W,9,20
YKL033W-A,8,19
YER079W,0,0
YLR312C-B,0,0
