step,double_added,new_triples,cumulative_triples,best_rank_unlocked
0,(built),4,4,
1,YJR060W+YLR312C-B,1,5,13
2,YDR057W+YJR060W,2,7,27
3,YJR060W+YLL012W,2,9,31
4,YLL012W+YLR312C-B,2,11,34
5,YER079W+YLL012W,2,13,5
6,YER079W+YPL046C,2,15,28
7,YLR312C-B+YPL046C,3,18,46
8,YDR057W+YPL046C,4,22,72
9,YGL087C+YPL081W,1,23,26
10,YGL087C+YLR312C-B,2,25,11
11,YER079W+YGL087C,2,27,20
12,YGL087C+YPL046C,3,30,60
13,YGL087C+YLL012W,3,33,38
14,YBR203W+YER079W,1,34,29
