group,n_instances,n_offgrid,occupied_cp,occupied_cl,multi_cp,multi_cl,size_pearson,size_spearman,wt_cv_cp,wt_cv_cl,wt_median_norm
P1_t44,292,1,284,284,2,16,0.4639142113932022,0.46891492346491775,0.128285332942003,0.2391186885534428,1.1176486094063638
P2_t44,372,1,358,363,3,2,0.6632104740771957,0.7266650738862063,0.10881898079023512,0.13781635583599006,1.236167627942425
P1_t50,293,0,285,297,1,3,0.7516607088858008,0.7816479122152071,0.1191939686100398,0.13001586682545918,1.0903675090232543
P2_t50,368,1,358,363,3,0,0.8571180009958638,0.8769748900485674,0.10683644183528883,0.12327836721267821,1.19852385788804
P1_t72,305,5,285,297,1,2,0.6848395591564029,0.6897035656208792,0.12645960625114483,0.1668512673848771,1.051163624419601
P2_t72,388,2,358,353,2,16,0.11738926359942609,0.11500944710861571,0.09762925424954863,0.34911772786713213,1.1411842728954582
