volume_nl,n_plated,n_missing,missing_rate,n_flagged,wt_median_raw,wt_cv,median_within_strain_cv,weakest_strain,dynamic_range,zfactor_wt_vs_weakest
2.5,143,22,0.15384615384615385,6,473.0,0.08475416084807982,0.1395805040219194,YEH1,1.5582386942978559,-0.5224322108398618
5.0,143,9,0.06293706293706294,0,533.0,0.0823063856633748,0.15011824512418995,SPH1,1.6612817987487376,-1.1448920323142242
