# gitter v1.0.3 data file generated on Wed Jul 15 08:29:35 PM 2026
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	223	0.9033	
1	2	0	NA	
1	3	342	0.971	
1	4	229	0.9853	
1	5	169	1.0018	
1	6	128	0.9862	
1	7	100	0.5314	C
1	8	224	0.8963	
1	9	259	0.9314	
1	10	201	1.0087	
1	11	170	0.9256	
1	12	244	0.94	
2	1	377	0.9849	
2	2	209	0.9919	
2	3	331	0.999	
2	4	353	0.9778	
2	5	185	0.9831	
2	6	0	NA	
2	7	195	1.0019	
2	8	254	0.9588	
2	9	0	NA	
2	10	111	0.9467	
2	11	195	0.9785	
2	12	305	0.9275	
3	1	246	0.9176	
3	2	259	0.9581	
3	3	204	0.9378	
3	4	142	0.896	
3	5	364	0.9909	
3	6	128	1.0155	
3	7	339	0.9458	
3	8	24	0.702	
3	9	109	0.9891	
3	10	287	0.9549	
3	11	170	0.9034	
3	12	200	0.928	
4	1	210	1.0198	
4	2	290	0.8596	
4	3	260	0.9168	
4	4	239	0.9681	
4	5	349	0.9182	
4	6	313	0.9548	
4	7	114	0.8784	
4	8	337	0.9499	
4	9	331	0.9884	
4	10	247	0.9516	
4	11	170	0.8614	
4	12	306	0.9912	
5	1	249	0.9288	
5	2	112	0.9552	
5	3	173	0.9653	
5	4	302	0.9353	
5	5	253	0.8748	
5	6	118	0.9477	
5	7	104	1.0198	
5	8	233	0.9163	
5	9	203	0.9043	
5	10	349	0.9339	
5	11	233	0.8976	
5	12	277	0.932	
6	1	366	0.9402	
6	2	131	0.9422	
6	3	125	0.7802	
6	4	296	0.9695	
6	5	202	0.9373	
6	6	387	0.9777	
6	7	339	0.9797	
6	8	339	0.9696	
6	9	310	0.9601	
6	10	221	0.9424	
6	11	294	0.9347	
6	12	296	0.9338	
7	1	148	0.8175	
7	2	256	0.8614	
7	3	211	0.8442	
7	4	55	0.8727	
7	5	286	0.97	
7	6	0	NA	
7	7	320	0.9415	
7	8	289	0.9724	
7	9	192	0.9113	
7	10	187	0.9608	
7	11	204	0.9087	
7	12	349	0.9117	
8	1	177	0.9877	
8	2	221	0.9631	
8	3	366	0.9402	
8	4	103	0.9059	
8	5	148	0.9588	
8	6	0	NA	
8	7	271	0.8616	
8	8	242	0.8775	
8	9	344	0.9598	
8	10	327	0.962	
8	11	0	NA	
8	12	127	0.9396	
