gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,in_betaxanthin,is_tier1,overlap_score,is_essential,is_low_fitness,min_fitness,is_selected,selection_reason,num_sources
YAL062W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YAR002W,False,True,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YAR003W,True,True,False,False,False,False,2,False,True,0.8562,False,excluded_low_fitness,2
YAR014C,True,False,False,False,False,False,1,False,True,0.8862,False,excluded_low_fitness,1
YAR015W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YAR018C,True,True,False,True,False,False,3,False,False,,True,score>=2,3
YAR019C,False,False,False,True,False,False,1,True,True,0.5765,False,excluded_essential,1
YAR029W,True,False,False,False,False,False,1,False,True,0.8395,False,excluded_low_fitness,1
YAR035W,True,False,False,True,False,False,2,False,False,,True,score>=2,2
YAR071W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL005W,False,True,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YBL006C,True,True,False,False,False,False,2,False,True,0.793,False,excluded_low_fitness,2
YBL007C,True,True,False,False,False,False,2,False,True,0.823,False,excluded_low_fitness,2
YBL008W,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YBL009W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL011W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL013W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL015W,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL016W,True,True,False,True,False,False,3,False,False,,True,score>=2,3
YBL019W,False,True,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YBL021C,True,True,False,False,False,False,2,False,True,0.8615,False,excluded_low_fitness,2
YBL024W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YBL025W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YBL030C,False,False,False,True,False,False,1,True,False,,False,excluded_essential,1
YBL031W,True,False,False,False,False,False,1,False,True,0.8855,False,excluded_low_fitness,1
YBL032W,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YBL033C,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL039C,False,True,False,True,False,False,2,False,False,,True,score>=2,2
YBL042C,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL045C,False,False,False,True,False,False,1,False,False,,False,excluded_low_overlap,1
YBL047C,True,True,False,False,False,False,2,False,False,,True,score>=2,2
YBL051C,False,True,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YBL054W,True,False,True,False,False,True,1,False,False,,True,tier1,2
YBL057C,False,True,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
YBL058W,True,False,False,False,False,False,1,False,True,0.773,False,excluded_low_fitness,1
YBL061C,True,False,False,False,False,False,1,False,False,,False,excluded_low_overlap,1
