gene,in_ohya_morphology,in_kemmeren_responsive,in_sameith_doubles,in_expanded_metabolic,is_essential,is_low_fitness,min_fitness,num_sources
YBR111W-A,False,True,False,False,False,True,0.855,1
YBR112C,True,True,False,False,False,False,,2
YBR115C,False,False,False,True,False,False,,1
YBR117C,False,False,False,True,False,False,,1
YBR121C,False,False,False,True,True,True,0.6699,1
YBR125C,False,True,False,False,False,False,,1
YBR126C,True,False,False,True,False,True,0.32,2
YBR127C,True,False,False,True,False,False,,2
YBR128C,False,False,False,True,True,False,,1
YBR129C,True,False,False,False,False,False,,1
YBR130C,True,False,False,False,False,False,,1
YBR131W,True,False,False,False,False,True,0.7637,1
YBR132C,True,False,False,True,False,False,,2
YBR133C,True,False,False,False,False,False,,1
YBR134W,True,False,False,False,False,False,,1
YBR136W,False,False,False,True,True,False,,1
YBR137W,True,False,False,False,False,False,,1
YBR140C,False,True,False,False,True,False,,1
YBR145W,False,False,False,True,False,False,,1
YBR147W,False,False,False,True,False,False,,1
YBR149W,False,False,False,True,False,False,,1
YBR153W,False,False,False,True,True,True,0.8434,1
YBR159W,False,False,False,True,False,False,,1
YBR160W,False,False,False,True,True,True,0.7983,1
YBR161W,False,False,False,True,False,False,,1
YBR166C,False,False,False,True,False,False,,1
YBR171W,True,False,False,False,False,False,,1
YBR172C,True,False,False,False,False,False,,1
YBR173C,True,False,False,False,False,True,0.615,1
YBR174C,True,False,False,False,False,False,,1
YBR175W,False,True,False,False,False,True,0.829,1
YBR176W,False,False,False,True,False,False,,1
YBR177C,False,False,False,True,False,False,,1
YBR180W,False,False,False,True,False,False,,1
YBR181C,True,False,False,False,False,True,0.6645,1
YBR182C,False,False,True,False,False,False,,1
YBR183W,False,False,False,True,False,False,,1
YBR191W,True,False,False,False,False,True,0.3705,1
YBR192W,False,False,False,True,True,False,,1
YBR194W,True,False,False,False,False,False,,1
YBR195C,True,True,False,False,False,False,,2
YBR196C,False,False,False,True,True,True,0.8755,1
YBR199W,False,False,False,True,False,False,,1
YBR200W,True,False,False,False,False,True,0.6143,1
YBR204C,False,False,False,True,False,False,,1
YBR205W,False,False,False,True,False,False,,1
YBR208C,False,False,False,True,False,False,,1
YBR212W,True,False,False,False,False,False,,1
YBR213W,False,False,False,True,False,False,,1
YBR215W,True,True,False,False,False,False,,2
YBR218C,False,False,False,True,False,False,,1
YBR219C,True,False,False,False,False,False,,1
YBR221C,True,False,False,True,False,True,0.8575,2
YBR222C,False,False,False,True,False,False,,1
YBR224W,True,False,False,False,False,False,,1
YBR229C,True,False,False,True,False,False,,2
YBR231C,True,True,False,False,False,True,0.807,2
YBR233W,True,False,False,False,False,False,,1
YBR235W,True,False,False,True,False,False,,2
YBR241C,False,False,False,True,False,False,,1
YBR242W,False,False,False,True,False,False,,1
YBR243C,False,False,False,True,True,True,0.65,1
YBR244W,False,False,False,True,False,False,,1
YBR245C,False,True,False,False,False,False,,1
YBR248C,False,False,False,True,False,False,,1
YBR249C,True,False,False,True,False,False,,2
YBR252W,False,False,False,True,True,True,0.8805,1
YBR256C,False,False,False,True,True,False,,1
YBR263W,False,False,False,True,False,False,,1
YBR265W,False,False,False,True,True,True,0.8645,1
YBR266C,True,False,False,False,False,True,0.5985,1
YBR267W,True,False,False,False,False,True,0.381,1
YBR274W,False,True,False,True,False,False,,2
YBR275C,False,True,False,False,False,False,,1
YBR276C,True,False,False,False,False,False,,1
YBR277C,True,False,False,False,False,False,,1
YBR278W,True,True,False,False,False,False,,2
YBR279W,True,True,False,False,False,True,0.249,2
