Run ID,1784677019
Run Date/Time,2026-07-21 17:31:52
Application Name,Echo Cherry Pick
Application Version,1.8.3
Protocol Name,Protocol 1.ecp
Sample Pick List File Name,E:\20260721_TC_Batch2_singleKO_Plating\cherrypick_Plate1_384_5nL.csv
Control Pick List File Name,
Reference ID,
Order ID,
User Name,Thermo

[DETAILS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2026-07-21 18:37:47.982,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,A1,0,0,,YLR312C-B,5,5,61.201,100,,AQ,
2026-07-21 18:37:49.292,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,B1,0,0,,YLR312C-B,5,5,61.196,100,,AQ,
2026-07-21 18:37:49.571,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,C1,0,0,,YLR312C-B,5,5,61.191,100,,AQ,
2026-07-21 18:37:49.850,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,D1,0,0,,YLR312C-B,5,5,61.186,100,,AQ,
2026-07-21 18:37:50.128,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,E2,0,0,,YLR312C-B,5,5,61.181,100,,AQ,
2026-07-21 18:37:50.406,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,D4,0,0,,BY4741,5,5,59.841,100,,AQ,
2026-07-21 18:37:50.793,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,B5,0,0,,BY4741,5,5,59.836,100,,AQ,
2026-07-21 18:37:51.117,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,A5,0,0,,BY4741,5,5,59.831,100,,AQ,
2026-07-21 18:37:51.396,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,G5,0,0,,BY4741,5,5,59.826,100,,AQ,
2026-07-21 18:37:51.900,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,H4,0,0,,BY4741,5,5,59.821,100,,AQ,
2026-07-21 18:37:52.178,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,I4,0,0,,YLR312C-B,5,5,61.176,100,,AQ,
2026-07-21 18:37:52.564,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,J4,0,0,,YLR312C-B,5,5,61.171,100,,AQ,
2026-07-21 18:37:52.842,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,J10,0,0,,YLR312C-B,5,5,61.166,100,,AQ,
2026-07-21 18:37:53.346,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,H11,0,0,,YLR312C-B,5,5,61.161,100,,AQ,
2026-07-21 18:37:53.670,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,G11,0,0,,BY4741,5,5,59.816,100,,AQ,
2026-07-21 18:37:54.057,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,F12,0,0,,BY4741,5,5,59.811,100,,AQ,
2026-07-21 18:37:54.335,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,J12,0,0,,BY4741,5,5,59.806,100,,AQ,
2026-07-21 18:37:54.748,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,N13,0,0,,BY4741,5,5,59.801,100,,AQ,
2026-07-21 18:37:55.160,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,M14,0,0,,BY4741,5,5,59.796,100,,AQ,
2026-07-21 18:37:55.436,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,L15,0,0,,BY4741,5,5,59.791,100,,AQ,
2026-07-21 18:37:55.722,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,L14,0,0,,YLR312C-B,5,5,61.156,100,,AQ,
2026-07-21 18:37:56.107,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,O13,0,0,,YLR312C-B,5,5,61.151,100,,AQ,
2026-07-21 18:37:56.473,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,O11,0,0,,YLR312C-B,5,5,61.146,100,,AQ,
2026-07-21 18:37:56.794,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,P11,0,0,,YLR312C-B,5,5,61.141,100,,AQ,
2026-07-21 18:37:57.071,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,O7,0,0,,YLR312C-B,5,5,61.136,100,,AQ,
2026-07-21 18:37:57.483,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,N9,0,0,,BY4741,5,5,59.786,100,,AQ,
2026-07-21 18:37:57.868,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,N16,0,0,,BY4741,5,5,59.781,100,,AQ,
2026-07-21 18:37:58.414,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,P19,0,0,,BY4741,5,5,59.776,100,,AQ,
2026-07-21 18:37:58.780,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,K19,0,0,,BY4741,5,5,59.771,100,,AQ,
2026-07-21 18:37:59.236,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,K20,0,0,,BY4741,5,5,59.766,100,,AQ,
2026-07-21 18:37:59.512,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,G20,0,0,,BY4741,5,5,59.761,100,,AQ,
2026-07-21 18:37:59.922,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,G19,0,0,,BY4741,5,5,59.756,100,,AQ,
2026-07-21 18:38:00.200,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,H19,0,0,,BY4741,5,5,59.751,100,,AQ,
2026-07-21 18:38:00.476,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,H17,0,0,,BY4741,5,5,59.746,100,,AQ,
2026-07-21 18:38:00.798,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,G15,0,0,,BY4741,5,5,59.741,100,,AQ,
2026-07-21 18:38:01.120,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,E15,0,0,,YLR312C-B,5,5,61.131,100,,AQ,
2026-07-21 18:38:01.531,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,C15,0,0,,YLR312C-B,5,5,61.126,100,,AQ,
2026-07-21 18:38:01.850,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,C16,0,0,,YLR312C-B,5,5,61.121,100,,AQ,
2026-07-21 18:38:02.127,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,B16,0,0,,YLR312C-B,5,5,61.116,100,,AQ,
2026-07-21 18:38:02.403,Source[1],,384PP_AQ_SP2,C1,Plate1_13strain_384_2p5nL,,384PP_Dest,B14,0,0,,YLR312C-B,5,5,61.111,100,,AQ,
2026-07-21 18:38:02.723,Source[1],,384PP_AQ_SP2,A1,Plate1_13strain_384_2p5nL,,384PP_Dest,D14,0,0,,BY4741,5,5,59.736,100,,AQ,
