Run ID,1784677567
Run Date/Time,2026-07-21 17:41:00
Application Name,Echo Cherry Pick
Application Version,1.8.3
Protocol Name,Protocol 1.ecp
Sample Pick List File Name,E:\20260721_TC_Batch2_singleKO_Plating\cherrypick_Plate3_384_5nL.csv
Control Pick List File Name,
Reference ID,
Order ID,
User Name,Thermo

[DETAILS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2026-07-21 18:46:57.213,Source[1],,384PP_AQ_SP2,C1,Plate3_13strain_384_2p5nL,,384PP_Dest,A1,0,0,,YLR312C-B,5,5,58.382,100,,AQ,
2026-07-21 18:46:58.480,Source[1],,384PP_AQ_SP2,C1,Plate3_13strain_384_2p5nL,,384PP_Dest,G1,0,0,,YLR312C-B,5,5,58.377,100,,AQ,
2026-07-21 18:46:58.980,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,G2,0,0,,BY4741,5,5,59.427,100,,AQ,
2026-07-21 18:46:59.370,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,G3,0,0,,BY4741,5,5,59.422,100,,AQ,
2026-07-21 18:46:59.646,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,H5,0,0,,BY4741,5,5,59.417,100,,AQ,
2026-07-21 18:46:59.968,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,G6,0,0,,BY4741,5,5,59.412,100,,AQ,
2026-07-21 18:47:00.247,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,E6,0,0,,BY4741,5,5,59.407,100,,AQ,
2026-07-21 18:47:00.569,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,E5,0,0,,BY4741,5,5,59.402,100,,AQ,
2026-07-21 18:47:00.845,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,D5,0,0,,BY4741,5,5,59.397,100,,AQ,
2026-07-21 18:47:01.122,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,B8,0,0,,BY4741,5,5,59.392,100,,AQ,
2026-07-21 18:47:01.492,Source[1],,384PP_AQ_SP2,C1,Plate3_13strain_384_2p5nL,,384PP_Dest,A8,0,0,,YLR312C-B,5,5,58.372,100,,AQ,
2026-07-21 18:47:01.875,Source[1],,384PP_AQ_SP2,C1,Plate3_13strain_384_2p5nL,,384PP_Dest,B9,0,0,,YLR312C-B,5,5,58.367,100,,AQ,
2026-07-21 18:47:02.152,Source[1],,384PP_AQ_SP2,C1,Plate3_13strain_384_2p5nL,,384PP_Dest,A10,0,0,,YLR312C-B,5,5,58.362,100,,AQ,
2026-07-21 18:47:02.428,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,A11,0,0,,BY4741,5,5,59.387,100,,AQ,
2026-07-21 18:47:02.813,Source[1],,384PP_AQ_SP2,A1,Plate3_13strain_384_2p5nL,,384PP_Dest,D11,0,0,,BY4741,5,5,59.382,100,,AQ,
