cells_per_gene,platform,projected,usable_cells,sequenced_cells,n_batches,n_sublibraries,read_pairs_billions,lanes_25B_equivalent,protocol_usd,sublibrary_usd,sequencing_usd,recurring_usd,startup_usd,first_time_usd,usd_per_usable_cell,usd_per_gene,reads_per_mrna_umi,pseudobulk_umis_per_gene
100,"SPLiT-seq (Brettner, as published)",False,600000,2400000,5,54,50.0,15.62,8500,2970,50880,62350,10000,72350,0.1039,10.39,36.6,41000.0
100,SPLiT-seq + rRNA depletion,False,600000,2400000,5,54,10.0,3.12,9500,2970,12720,25190,10000,35190,0.042,4.2,3.5,86100.0
100,10x Chromium X (GEM-X 3'),False,600000,1090910,55,0,27.27,8.52,117865,0,28620,146485,0,146485,0.2441,24.41,10.0,200000.0
100,10x + scifi preindexing (projected),True,600000,1090910,8,0,27.27,8.52,17144,0,28620,45764,2566,48330,0.0763,7.63,10.0,200000.0
250,"SPLiT-seq (Brettner, as published)",False,1500000,6000000,13,134,125.0,39.06,22100,7370,127200,156670,10000,166670,0.1044,26.11,36.6,102500.0
250,SPLiT-seq + rRNA depletion,False,1500000,6000000,13,134,25.0,7.81,24700,7370,25440,57510,10000,67510,0.0383,9.59,3.5,215250.0
250,10x Chromium X (GEM-X 3'),False,1500000,2727273,137,0,68.18,21.31,293591,0,69960,363551,0,363551,0.2424,60.59,10.0,500000.0
250,10x + scifi preindexing (projected),True,1500000,2727273,18,0,68.18,21.31,38574,0,69960,108534,2566,111100,0.0724,18.09,10.0,500000.0
500,"SPLiT-seq (Brettner, as published)",False,3000000,12000000,25,267,250.0,78.12,42500,14685,251220,308405,10000,318405,0.1028,51.4,36.6,205000.0
500,SPLiT-seq + rRNA depletion,False,3000000,12000000,25,267,50.0,15.62,47500,14685,50880,113065,10000,123065,0.0377,18.84,3.5,430500.0
500,10x Chromium X (GEM-X 3'),False,3000000,5454546,273,0,136.36,42.61,585039,0,136740,721779,0,721779,0.2406,120.3,10.0,1000000.0
500,10x + scifi preindexing (projected),True,3000000,5454546,36,0,136.36,42.61,77148,0,136740,213888,2566,216454,0.0713,35.65,10.0,1000000.0
