component,singular_value,cumulative_variance
265,9.875893,0.92244285
266,9.859556,0.9226429
267,9.85601,0.9228428
268,9.818289,0.92304116
269,9.799098,0.92323875
270,9.776213,0.9234354
271,9.772098,0.92363185
272,9.752561,0.9238276
273,9.725304,0.92402226
274,9.720072,0.9242166
275,9.684785,0.92440957
276,9.662771,0.9246017
277,9.6459,0.9247931
278,9.639507,0.9249843
279,9.602255,0.92517406
280,9.595948,0.92536354
281,9.576952,0.92555225
282,9.546251,0.92573977
283,9.533299,0.92592674
284,9.507157,0.9261127
285,9.499598,0.9262984
286,9.473655,0.92648304
287,9.461854,0.9266673
288,9.451183,0.92685103
289,9.43144,0.927034
290,9.393418,0.92721564
291,9.382545,0.9273968
292,9.369061,0.9275774
293,9.351719,0.9277573
294,9.340999,0.92793685
295,9.31355,0.92811537
296,9.293238,0.9282931
297,9.287128,0.92847055
298,9.267801,0.92864734
299,9.241459,0.92882305
300,9.229229,0.92899835
301,9.211967,0.929173
302,9.179653,0.9293464
303,9.167246,0.9295193
304,9.155074,0.92969173
305,9.1330385,0.92986333
306,9.1261215,0.9300347
307,9.1100855,0.93020546
308,9.097407,0.93037575
309,9.083069,0.9305455
310,9.060774,0.9307144
311,9.038675,0.9308825
312,9.030486,0.9310503
313,9.004228,0.93121713
314,8.98392,0.9313832
315,8.963434,0.93154854
316,8.954211,0.9317135
317,8.92676,0.9318775
318,8.91979,0.93204117
319,8.9066925,0.9322044
320,8.905453,0.9323676
321,8.880094,0.93252987
322,8.869603,0.9326917
323,8.852435,0.932853
324,8.835688,0.9330136
325,8.810657,0.9331733
326,8.794709,0.93333244
327,8.788776,0.9334914
328,8.777557,0.9336499
329,8.772357,0.93380827
330,8.745761,0.9339657
331,8.729938,0.9341225
332,8.724093,0.93427914
333,8.71461,0.93443537
334,8.70838,0.9345915
335,8.672986,0.9347462
336,8.654205,0.93490034
337,8.643558,0.93505406
338,8.63547,0.9352075
339,8.630607,0.9353608
340,8.602859,0.9355131
341,8.596283,0.93566513
342,8.583521,0.93581676
343,8.560897,0.9359675
344,8.5589285,0.93611825
345,8.541501,0.9362684
346,8.536316,0.93641835
347,8.521067,0.9365677
348,8.510793,0.93671674
349,8.501239,0.93686545
350,8.491695,0.9370138
351,8.477167,0.9371617
352,8.462677,0.9373091
353,8.442435,0.9374557
354,8.43403,0.9376021
355,8.414645,0.9377478
356,8.4036455,0.9378931
357,8.397974,0.93803823
358,8.382149,0.9381828
359,8.3677435,0.9383269
360,8.359241,0.93847066
361,8.353568,0.93861425
362,8.332751,0.9387571
363,8.324493,0.9388997
364,8.311743,0.9390419
365,8.300859,0.93918365
366,8.291449,0.93932515
367,8.285523,0.9394664
368,8.278804,0.9396074
369,8.251354,0.9397475
370,8.23725,0.9398871
371,8.226093,0.94002634
372,8.219224,0.94016534
373,8.211221,0.9403041
374,8.1996355,0.9404424
375,8.189794,0.94058037
376,8.187005,0.9407183
377,8.169885,0.9408557
378,8.159116,0.9409926
379,8.136694,0.94112885
380,8.127928,0.9412648
381,8.111181,0.9414002
382,8.107197,0.94153535
383,8.097501,0.9416703
384,8.080586,0.9418046
385,8.0762,0.94193876
386,8.052027,0.9420722
387,8.040492,0.94220525
388,8.024674,0.94233775
389,8.022243,0.94247013
390,8.008845,0.94260216
391,7.9949675,0.94273365
392,7.985108,0.94286484
393,7.9794793,0.94299585
394,7.971242,0.9431266
395,7.9588375,0.9432569
396,7.952295,0.9433871
397,7.934887,0.9435166
398,7.9216495,0.9436458
399,7.909525,0.94377446
400,7.9055724,0.9439031
401,7.890376,0.9440312
402,7.8842063,0.94415903
403,7.865739,0.94428635
404,7.859047,0.9444134
405,7.8557405,0.94454044
406,7.838863,0.9446668
407,7.817798,0.9447926
408,7.813995,0.9449182
409,7.8077235,0.9450437
410,7.7956486,0.94516873
411,7.78691,0.9452935
412,7.7829285,0.9454181
413,7.7717113,0.9455424
414,7.7481737,0.9456659
415,7.7391257,0.94578916
416,7.729196,0.9459121
417,7.7226,0.9460348
418,7.719258,0.94615746
419,7.7109313,0.94627976
420,7.7004733,0.94640183
421,7.690891,0.94652355
422,7.6777406,0.94664484
423,7.671999,0.94676596
424,7.6577916,0.94688666
425,7.6425395,0.9470068
426,7.6348667,0.94712675
427,7.6317334,0.9472466
428,7.629268,0.9473664
429,7.6154275,0.94748574
430,7.6069593,0.94760484
431,7.5975866,0.94772357
432,7.585428,0.94784194
433,7.5779214,0.94796014
434,7.566743,0.9480779
435,7.558937,0.94819546
436,7.541638,0.9483125
437,7.5366035,0.9484294
438,7.5307083,0.9485461
439,7.5137353,0.9486623
440,7.5063934,0.9487782
441,7.5024796,0.948894
442,7.4957924,0.94900966
443,7.481511,0.9491248
444,7.473629,0.94923973
445,7.462932,0.9493543
446,7.443361,0.9494683
447,7.4373145,0.9495821
448,7.4295034,0.94969565
449,7.4183283,0.9498089
450,7.412496,0.9499219
451,7.405567,0.9500348
452,7.393191,0.9501472
453,7.384854,0.95025945
454,7.3771462,0.95037144
455,7.3669543,0.95048314
456,7.3534503,0.95059437
457,7.3513503,0.9507055
458,7.341827,0.95081645
459,7.331127,0.9509271
460,7.325428,0.95103747
461,7.3144445,0.95114756
462,7.305939,0.95125735
463,7.294817,0.95136684
464,7.2891903,0.95147616
465,7.281078,0.95158523
466,7.268208,0.9516939
467,7.2656097,0.9518025
468,7.258274,0.9519109
469,7.2538443,0.9520192
470,7.242726,0.95212716
471,7.2284927,0.9522347
472,7.2236066,0.95234203
473,7.2199006,0.95244926
474,7.213405,0.9525564
475,7.2045617,0.9526631
476,7.2009463,0.9527698
477,7.1809144,0.9528759
478,7.1734443,0.9529818
479,7.1641836,0.9530874
480,7.1550226,0.9531927
481,7.148593,0.95329785
482,7.1449876,0.95340294
483,7.131868,0.9535076
484,7.129649,0.9536122
485,7.1115336,0.9537163
486,7.1054254,0.95382017
487,7.097721,0.9539238
488,7.0936007,0.95402735
489,7.086824,0.95413065
490,7.0811696,0.9542339
491,7.0693665,0.9543367
492,7.0619082,0.9544393
493,7.057599,0.9545418
494,7.0475383,0.95464396
495,7.0343785,0.95474577
496,7.030309,0.95484746
497,7.0223227,0.95494896
498,7.0182247,0.9550503
499,7.0037127,0.95515126
500,6.992492,0.9552519
501,6.9844475,0.95535225
502,6.9783206,0.9554524
503,6.9705195,0.9555524
504,6.9620733,0.9556521
505,6.9578943,0.9557517
506,6.957494,0.9558513
507,6.947256,0.9559506
508,6.941253,0.95604974
509,6.936204,0.9561488
510,6.9329963,0.9562477
511,6.914771,0.95634604
512,6.9060135,0.95644414
513,6.900114,0.9565422
514,6.8940616,0.95663995
515,6.885439,0.9567375
516,6.8807178,0.9568349
517,6.8722687,0.95693207
518,6.865978,0.9570291
519,6.8527555,0.9571257
520,6.8470793,0.9572222
521,6.839895,0.9573185
522,6.8304787,0.95741445
523,6.8202457,0.9575102
524,6.815242,0.9576057
525,6.808343,0.9577011
526,6.8013735,0.9577963
527,6.798477,0.95789135
528,6.7917657,0.9579863
529,6.784206,0.958081
530,6.7713532,0.9581753
531,6.766104,0.95826954
532,6.7569265,0.9583635
533,6.756229,0.9584574
534,6.7514772,0.9585512
535,6.743249,0.95864475
536,6.7394753,0.9587382
537,6.7344756,0.9588315
538,6.7217083,0.9589245
539,6.7098393,0.9590171
540,6.6981897,0.9591095
541,6.695044,0.9592017
542,6.6864915,0.95929366
543,6.682409,0.9593856
544,6.6751566,0.95947725
545,6.6681805,0.95956874
546,6.661634,0.95966005
547,6.655953,0.95975125
548,6.6507845,0.9598422
549,6.6463237,0.95993316
550,6.638691,0.9600238
551,6.627866,0.9601142
552,6.6138883,0.96020424
553,6.6081824,0.96029407
554,6.6056895,0.96038383
555,6.599054,0.9604735
556,6.586609,0.9605627
557,6.583625,0.9606519
558,6.5772643,0.96074086
559,6.5749016,0.9608298
560,6.570798,0.96091866
561,6.5607553,0.9610072
562,6.5550647,0.96109563
563,6.5470624,0.96118385
564,6.5438194,0.96127194
565,6.536791,0.9613598
566,6.5311346,0.9614476
567,6.524149,0.96153516
568,6.5188446,0.9616226
569,6.5113807,0.96170986
570,6.505358,0.96179694
571,6.502203,0.9618839
572,6.4865627,0.9619705
573,6.479647,0.9620569
574,6.475698,0.9621432
575,6.469692,0.9622293
576,6.4676666,0.9623154
577,6.454622,0.9624011
578,6.4515257,0.96248674
579,6.4492106,0.96257234
580,6.43193,0.96265745
581,6.4317513,0.96274257
582,6.423412,0.96282744
583,6.4144974,0.96291214
584,6.410389,0.9629967
585,6.406661,0.9630811
586,6.401185,0.9631654
587,6.3907256,0.96324944
588,6.3844934,0.9633333
589,6.3774586,0.96341705
590,6.376724,0.9635007
591,6.37021,0.9635842
592,6.360266,0.9636674
593,6.3535495,0.9637505
594,6.34953,0.96383345
595,6.339381,0.9639161
596,6.336724,0.96399873
597,6.3292985,0.96408117
598,6.3210607,0.9641634
599,6.319667,0.9642456
600,6.3101754,0.9643275
601,6.304111,0.9644093
602,6.301071,0.964491
603,6.2973914,0.9645726
604,6.2933917,0.9646541
605,6.2858696,0.9647354
606,6.283169,0.9648166
607,6.2752457,0.9648976
