component,singular_value,cumulative_variance
1044,4.2560987,0.9893778
1045,4.2517686,0.989415
1046,4.2485037,0.9894521
1047,4.244464,0.9894892
1048,4.2412176,0.9895262
1049,4.2359548,0.9895631
1050,4.2297096,0.9895999
1051,4.2287273,0.98963666
1052,4.2262235,0.98967344
1053,4.2197647,0.9897101
1054,4.2157893,0.9897467
1055,4.210967,0.98978317
1056,4.207692,0.9898196
1057,4.205601,0.989856
1058,4.2026715,0.9898923
1059,4.1997523,0.9899286
1060,4.1936445,0.9899648
1061,4.1871843,0.99000084
1062,4.182958,0.9900369
1063,4.1772113,0.9900728
1064,4.175886,0.9901086
1065,4.171954,0.99014443
1066,4.1669803,0.9901802
1067,4.165784,0.9902159
1068,4.161212,0.99025154
1069,4.156869,0.99028707
1070,4.152894,0.9903226
1071,4.151812,0.99035805
1072,4.146979,0.9903934
1073,4.142438,0.99042875
1074,4.139942,0.990464
1075,4.137904,0.9904992
1076,4.1323314,0.9905343
1077,4.127591,0.99056935
1078,4.121718,0.99060434
1079,4.119298,0.9906392
1080,4.115767,0.9906741
1081,4.1111207,0.9907089
1082,4.110296,0.99074364
1083,4.1041145,0.9907783
1084,4.1022635,0.99081296
1085,4.099555,0.9908476
1086,4.097543,0.9908821
1087,4.094583,0.99091655
1088,4.0904336,0.99095094
1089,4.0863714,0.9909853
1090,4.0796576,0.99101955
1091,4.077834,0.99105376
1092,4.075364,0.9910879
1093,4.0706415,0.991122
1094,4.0684795,0.9911561
1095,4.0586987,0.99118996
1096,4.055613,0.9912238
1097,4.0539546,0.9912576
1098,4.0486126,0.99129134
1099,4.042592,0.991325
1100,4.0397854,0.9913586
1101,4.0364347,0.9913921
1102,4.0338793,0.9914256
1103,4.028875,0.99145895
1104,4.027698,0.99149233
1105,4.025845,0.99152565
1106,4.022812,0.99155897
1107,4.015982,0.99159217
1108,4.013485,0.99162525
1109,4.0111184,0.9916584
1110,4.002298,0.99169135
1111,3.9985652,0.9917243
1112,3.9978402,0.99175715
1113,3.9917912,0.99178994
1114,3.9872315,0.99182266
1115,3.9822774,0.99185526
1116,3.9764757,0.9918878
1117,3.9739013,0.9919203
1118,3.9718542,0.9919528
1119,3.9681036,0.99198514
1120,3.961024,0.99201745
1121,3.9587338,0.99204963
1122,3.957574,0.9920819
1123,3.9542224,0.992114
1124,3.9507897,0.9921461
1125,3.94785,0.9921782
1126,3.9436965,0.9922102
1127,3.9417393,0.99224216
1128,3.936961,0.99227405
1129,3.932217,0.9923059
1130,3.9297316,0.99233764
1131,3.9280868,0.9923694
1132,3.922921,0.99240106
1133,3.9192264,0.9924327
1134,3.913904,0.9924642
1135,3.908483,0.99249566
1136,3.905116,0.992527
1137,3.9020376,0.99255836
1138,3.9001296,0.99258965
1139,3.8962157,0.9926209
1140,3.890777,0.992652
1141,3.887701,0.9926831
1142,3.8831334,0.99271417
1143,3.880301,0.99274516
1144,3.878496,0.9927761
1145,3.8772101,0.99280703
1146,3.8759634,0.99283797
1147,3.8705564,0.9928688
1148,3.8642287,0.9928995
1149,3.855355,0.9929301
1150,3.852667,0.99296063
1151,3.8452098,0.9929911
1152,3.842617,0.9930215
1153,3.840576,0.9930518
1154,3.8375392,0.9930821
1155,3.831227,0.9931123
1156,3.8299882,0.9931425
1157,3.824932,0.9931726
1158,3.8173702,0.99320257
1159,3.8142526,0.9932325
1160,3.8125231,0.9932624
1161,3.8063512,0.9932923
1162,3.8006518,0.99332196
1163,3.7989318,0.99335164
1164,3.7938786,0.9933813
1165,3.7928166,0.9934109
1166,3.7894857,0.99344045
1167,3.7836175,0.9934699
1168,3.7792947,0.9934993
1169,3.776357,0.9935286
1170,3.775413,0.99355793
1171,3.7706888,0.9935872
1172,3.7655623,0.9936164
1173,3.7610528,0.9936455
1174,3.755739,0.9936745
1175,3.7527912,0.9937035
1176,3.7471623,0.9937324
1177,3.7460065,0.99376124
1178,3.744096,0.99379015
1179,3.7384632,0.9938189
1180,3.7357032,0.9938476
1181,3.7323308,0.9938763
1182,3.7302685,0.9939049
1183,3.72586,0.99393344
1184,3.7224064,0.99396193
1185,3.7151015,0.99399036
1186,3.7128046,0.99401873
1187,3.7094963,0.994047
1188,3.7066033,0.9940753
1189,3.7003784,0.99410343
1190,3.6984525,0.9941316
1191,3.6931381,0.99415964
1192,3.6896732,0.9941877
1193,3.6879044,0.99421567
1194,3.6862538,0.9942436
1195,3.6820633,0.9942715
1196,3.6750867,0.9942993
1197,3.6728199,0.99432707
1198,3.6669085,0.9943547
1199,3.663199,0.9943823
1200,3.661777,0.9944099
1201,3.6534758,0.99443734
1202,3.652971,0.9944648
1203,3.6489475,0.99449223
1204,3.6457949,0.99451953
1205,3.6432543,0.9945469
1206,3.6395667,0.9945741
1207,3.6370273,0.9946013
1208,3.6290338,0.99462837
1209,3.6278574,0.9946555
1210,3.6194918,0.99468243
1211,3.6173227,0.9947094
1212,3.6144817,0.99473625
1213,3.6123435,0.9947631
1214,3.6074076,0.99478984
1215,3.6036558,0.9948166
1216,3.602742,0.9948433
1217,3.5955398,0.9948699
1218,3.5921147,0.9948965
1219,3.58974,0.99492294
1220,3.5851,0.9949494
1221,3.5772474,0.9949757
1222,3.5738785,0.995002
1223,3.5710466,0.9950282
1224,3.5655065,0.99505436
1225,3.5630314,0.9950805
1226,3.5559487,0.9951065
1227,3.5537543,0.9951325
1228,3.5485141,0.99515843
1229,3.5429695,0.99518424
1230,3.5396373,0.99521005
1231,3.5381565,0.99523586
1232,3.5332732,0.9952615
1233,3.531371,0.9952871
1234,3.5272853,0.99531275
1235,3.5269787,0.9953383
1236,3.520735,0.99536383
1237,3.5136752,0.9953893
1238,3.512561,0.9954147
1239,3.508826,0.99544
1240,3.5036035,0.9954653
1241,3.5013194,0.9954905
1242,3.4976575,0.9955156
1243,3.4925008,0.9955407
1244,3.4915147,0.9955658
1245,3.4858117,0.99559075
1246,3.4827878,0.9956157
1247,3.4803116,0.9956407
1248,3.4757836,0.99566555
1249,3.472985,0.99569035
1250,3.4680042,0.99571514
1251,3.4641511,0.9957398
1252,3.4593642,0.99576443
1253,3.456883,0.995789
1254,3.4514334,0.9958135
1255,3.4460022,0.9958379
1256,3.441433,0.9958623
1257,3.4387968,0.9958866
1258,3.430558,0.9959109
1259,3.4280183,0.995935
1260,3.4238865,0.99595916
1261,3.4227192,0.99598324
1262,3.4181333,0.9960073
1263,3.4141445,0.9960313
1264,3.4116664,0.9960552
1265,3.409778,0.99607915
1266,3.404703,0.996103
1267,3.3996239,0.9961268
1268,3.3958013,0.9961505
1269,3.3948367,0.9961742
1270,3.39237,0.9961979
1271,3.3900392,0.99622154
1272,3.3852415,0.99624515
1273,3.3796902,0.9962687
1274,3.3765893,0.9962922
1275,3.370012,0.9963155
1276,3.3655975,0.9963388
1277,3.361846,0.99636203
1278,3.359468,0.9963853
1279,3.354818,0.9964084
1280,3.3486166,0.99643147
1281,3.3461702,0.99645454
1282,3.3422828,0.9964775
1283,3.3389077,0.99650043
1284,3.337701,0.9965233
1285,3.3363075,0.9965462
1286,3.3311365,0.99656904
1287,3.325696,0.9965918
1288,3.3186703,0.9966144
1289,3.3151605,0.99663705
1290,3.313126,0.99665964
1291,3.307687,0.9966821
1292,3.3019047,0.9967046
1293,3.2970195,0.99672693
1294,3.294477,0.9967493
1295,3.2915561,0.9967716
1296,3.287268,0.9967938
1297,3.2803724,0.9968159
1298,3.2782874,0.99683803
1299,3.2764437,0.9968602
1300,3.271439,0.99688214
1301,3.2675674,0.99690413
1302,3.263777,0.99692607
1303,3.2590299,0.99694794
1304,3.254269,0.99696976
1305,3.251522,0.99699146
1306,3.2511313,0.9970132
1307,3.2411711,0.9970348
1308,3.2401545,0.9970564
1309,3.235291,0.99707794
1310,3.2312353,0.99709946
1311,3.2259703,0.99712086
1312,3.2233448,0.9971422
1313,3.2208,0.99716353
1314,3.2170813,0.9971848
1315,3.2093115,0.99720603
1316,3.2069292,0.9972272
1317,3.2034187,0.9972483
1318,3.1969597,0.99726933
1319,3.1920576,0.99729025
1320,3.1898718,0.99731123
1321,3.18446,0.99733216
1322,3.1833735,0.99735296
1323,3.1801856,0.9973738
1324,3.1744325,0.9973945
1325,3.1695716,0.9974151
1326,3.1671457,0.9974358
1327,3.161049,0.9974564
1328,3.1593125,0.9974769
1329,3.1587586,0.9974974
1330,3.1584241,0.9975179
1331,3.1514282,0.9975383
1332,3.1471195,0.9975587
1333,3.142422,0.99757904
1334,3.142363,0.99759936
1335,3.1347327,0.99761957
1336,3.1282914,0.99763966
1337,3.124409,0.99765974
1338,3.1202242,0.9976798
1339,3.1149137,0.99769974
1340,3.1121023,0.99771965
1341,3.110164,0.9977396
1342,3.1079588,0.99775946
1343,3.0993345,0.9977792
1344,3.0966177,0.997799
1345,3.0914104,0.99781865
1346,3.0877624,0.99783826
1347,3.0819511,0.9978578
1348,3.0776825,0.9978773
1349,3.071942,0.9978967
1350,3.0687568,0.99791604
1351,3.0665395,0.9979354
1352,3.0624745,0.99795467
1353,3.0569735,0.9979739
1354,3.0535429,0.99799305
1355,3.048342,0.9980122
1356,3.043497,0.9980312
1357,3.0419102,0.9980502
1358,3.0354118,0.9980692
1359,3.0337257,0.9980882
1360,3.0294251,0.9981071
1361,3.0263689,0.9981259
1362,3.0155184,0.9981446
1363,3.011315,0.9981633
1364,3.0089748,0.99818194
1365,3.0050118,0.99820054
1366,2.9974658,0.998219
1367,2.9955251,0.9982375
1368,2.9862635,0.9982558
1369,2.984635,0.99827415
1370,2.9809616,0.9982924
1371,2.9773934,0.9983106
1372,2.974066,0.99832886
1373,2.9709659,0.998347
1374,2.9616656,0.99836504
1375,2.9576259,0.99838305
1376,2.9524543,0.998401
1377,2.9514198,0.9984189
1378,2.9468818,0.9984368
1379,2.9401927,0.99845463
1380,2.937752,0.9984724
1381,2.9339845,0.99849004
1382,2.9322467,0.99850774
1383,2.9273102,0.9985253
1384,2.9188714,0.9985429
1385,2.9141457,0.99856037
1386,2.908969,0.99857783
1387,2.9062202,0.9985952
1388,2.9054153,0.9986125
1389,2.8992045,0.9986298
1390,2.8938735,0.9986471
1391,2.887614,0.99866426
1392,2.8848033,0.99868137
1393,2.874338,0.9986983
1394,2.8711154,0.9987153
1395,2.8684044,0.9987322
1396,2.8664737,0.99874914
1397,2.8612545,0.99876595
1398,2.8591692,0.9987828
1399,2.8486185,0.9987995
1400,2.8456755,0.9988162
1401,2.8423579,0.9988328
1402,2.8390982,0.9988494
1403,2.8327022,0.99886596
1404,2.8313713,0.9988825
1405,2.8293605,0.9988989
1406,2.8158147,0.99891526
1407,2.811998,0.9989315
1408,2.8082793,0.99894774
1409,2.8021796,0.9989639
1410,2.797283,0.9989799
1411,2.7912338,0.99899596
1412,2.7887774,0.999012
1413,2.7865212,0.9990279
1414,2.781235,0.9990439
1415,2.7737622,0.9990597
1416,2.7721395,0.9990755
1417,2.765099,0.99909127
1418,2.7593389,0.99910694
1419,2.7588763,0.9991226
1420,2.75145,0.9991382
1421,2.745673,0.9991537
1422,2.7388034,0.9991691
1423,2.73792,0.99918455
1424,2.7326484,0.9991999
1425,2.7254455,0.99921525
1426,2.717909,0.9992304
1427,2.7150447,0.9992456
1428,2.7097223,0.99926066
1429,2.7078123,0.9992758
1430,2.7033858,0.9992908
1431,2.6889493,0.99930567
1432,2.6848447,0.99932057
1433,2.6765852,0.9993353
1434,2.6750429,0.99935
1435,2.6704419,0.9993647
1436,2.668628,0.99937934
1437,2.6574402,0.9993938
1438,2.6514237,0.9994083
1439,2.6485872,0.9994227
1440,2.6440423,0.9994371
1441,2.634412,0.9994514
1442,2.6301186,0.9994656
1443,2.628851,0.99947983
1444,2.6213017,0.99949396
1445,2.6171408,0.999508
1446,2.6040468,0.999522
1447,2.5980325,0.99953586
1448,2.5946012,0.9995497
1449,2.5862222,0.99956346
1450,2.5798638,0.99957716
1451,2.5763433,0.9995908
1452,2.5722265,0.9996044
1453,2.5658436,0.999618
1454,2.5587442,0.9996315
1455,2.5576046,0.99964494
1456,2.553215,0.99965835
1457,2.548022,0.99967176
1458,2.5383284,0.999685
1459,2.535244,0.9996982
1460,2.5218515,0.99971133
1461,2.513861,0.9997243
1462,2.5101705,0.9997373
1463,2.508676,0.99975026
1464,2.4989655,0.99976313
1465,2.4981422,0.999776
1466,2.488358,0.9997887
1467,2.46556,0.9998013
1468,2.4607315,0.99981374
1469,2.4495544,0.9998261
1470,2.439877,0.9998383
1471,2.4328873,0.99985045
1472,2.4263573,0.99986255
1473,2.4213023,0.9998746
1474,2.408896,0.9998866
1475,2.4045146,0.9998985
1476,2.3953714,0.9999103
1477,2.3897889,0.9999221
1478,2.3818486,0.9999338
1479,2.368777,0.99994534
1480,2.3469005,0.99995667
1481,2.3293374,0.9999679
1482,2.3229468,0.99997896
1483,2.2949367,0.99998987
1484,2.2807395,1.0000005
