,minimum,maximum,width
r_0001,0.0,0.7886287277528957,0.7886287277528957
r_0002,0.0,0.788628727752816,0.788628727752816
r_0003,-0.11611201808365079,0.0,0.11611201808365079
r_0004,0.0,0.6932223972722563,0.6932223972722563
r_0005,0.05710564060525955,0.06345071178362253,0.006345071178362985
r_0006,0.019080024087283733,0.02120002676364879,0.002120002676365057
r_0007,0.005883872458475378,0.08189921912880278,0.0760153466703274
r_0012,0.0,0.9246000000000002,0.9246000000000002
r_0013,1.4679319295592e-05,0.17857565920052468,0.1785609798812291
r_0014,7.725957052101181e-05,8.584396390585276e-05,8.584393384840949e-06
r_0015,7.725957052101181e-05,8.584396390585264e-05,8.584393384840827e-06
r_0016,0.017101391573103916,0.10222383679498599,0.08512244522188207
r_0017,0.0,5.442504695279805e-06,5.442504695279805e-06
r_0018,0.02539915972968108,0.10019288242827597,0.07479372269859488
r_0019,1.4679319295592336e-05,0.04257263688101273,0.04255795756171714
r_0020,0.0,0.20522341660596247,0.20522341660596247
r_0021,0.0,0.0,0.0
r_0022,0.0,6.278098559401608e-19,6.278098559401608e-19
r_0023,-0.11275329154480812,-0.026304373013357852,0.08644891853145027
r_0024,0.0,0.10613747909718702,0.10613747909718702
r_0025,0.0,0.11275329154481392,0.11275329154481392
r_0026,0.0,0.17857565920051516,0.17857565920051516
r_0027,0.025399159729681084,0.1001928824282746,0.07479372269859351
r_0028,0.0,0.28100614533052537,0.28100614533052537
r_0029,0.02630437301335785,0.11275329154481259,0.08644891853145474
r_0030,0.0,0.0,0.0
r_0032,0.0,0.5598599136511312,0.5598599136511312
r_0033,0.0,1.1095200000000145,1.1095200000000145
r_0034,0.0,0.0,0.0
r_0035,0.0,0.0,0.0
r_0036,0.0,1.109520000000145,1.109520000000145
r_0037,0.0,0.0,0.0
r_0038,0.00015451914104202356,0.00017168793449113675,1.7168793449113184e-05
r_0039,0.023929483082686852,0.20522341660594398,0.18129393352325712
r_0040,0.023929483082686855,0.20522341660595067,0.1812939335232638
r_0041,0.0,1.9158547444479815e-35,1.9158547444479815e-35
r_0042,0.0,0.19717137099389392,0.19717137099389392
r_0043,0.0,0.0,0.0
r_0044,0.0,0.0,0.0
r_0045,0.00046896560460554966,0.0005211757014792127,5.221009687366308e-05
r_0057,0.0,0.4702144297315732,0.4702144297315732
r_0058,0.0004689656046053203,0.0005211757014796839,5.221009687436364e-05
r_0059,0.0,0.0,0.0
r_0060,-0.11275329154480718,-0.02630437301335785,0.08644891853144933
r_0061,0.02630437301335763,0.11275313325105515,0.08644876023769753
r_0062,0.0,0.11144661983151616,0.11144661983151616
r_0063,1.4679319295573033e-05,0.04257255895454381,0.042557879635248236
r_0064,0.0,0.08512228935698568,0.08512228935698568
r_0065,0.023929483082687227,0.20522311951811512,0.1812936364354279
r_0066,4.898257109259794e-06,0.06869878279776274,0.06869388454065349
r_0067,4.898257109259794e-06,0.06869878279776001,0.06869388454065076
r_0068,0.0,0.9873276796183698,0.9873276796183698
r_0069,0.0,0.0,0.0
r_0070,0.0,0.0,0.0
r_0072,0.0,0.08644876023768557,0.08644876023768557
r_0073,0.0,0.0,0.0
r_0074,0.0,0.0,0.0
r_0075,1.4679319295543787e-05,0.1785754236040938,0.17856074428479826
r_0076,0.0,1.8491966139909586,1.8491966139909586
r_0077,0.0,1.8491966139909854,1.8491966139909854
r_0078,0.0,1.8491966139911629,1.8491966139911629
r_0079,0.007911616961923947,0.10879516154531027,0.10088354458338633
r_0080,0.015244690029928605,0.17991599507602066,0.16467130504609206
r_0081,6.180765804700783e-07,0.07027848259856825,0.07027786452198778
r_0082,0.0,1.8491999999999464,1.8491999999999464
r_0083,0.0,1.8492000000001239,1.8492000000001239
r_0084,0.0,0.0,0.0
r_0085,0.0,0.0,0.0
r_0086,1.4679319295603173e-05,0.1785756592005203,0.17856097988122469
r_0087,1.467931929557378e-05,0.17857565920052137,0.1785609798812258
r_0088,0.0,0.0,0.0
r_0089,-1.0260437224662843e-34,0.9246000000000677,0.9246000000000677
r_0090,0.0,1.8492000000000404,1.8492000000000404
r_0091,0.0,2.9330849780397594,2.9330849780397594
r_0092,0.0,0.0,0.0
r_0093,0.0,0.0,0.0
r_0094,0.0,0.0,0.0
r_0095,0.0,0.11611201808364736,0.11611201808364736
r_0096,0.0498012961932865,0.16124812009139813,0.11144682389811164
r_0097,0.049801296193286645,0.16124812009141015,0.1114468238981235
r_0099,0.0,0.0,0.0
r_0100,0.0,0.47021529072731233,0.47021529072731233
r_0101,0.0,0.10051456732860342,0.10051456732860342
r_0102,0.0,0.47021529072729645,0.47021529072729645
r_0103,-0.1812936754647251,0.0,0.1812936754647251
r_0104,0.017095039830148175,0.10093335847808882,0.08383831864794064
r_0105,0.0,0.4702152907272753,0.4702152907272753
r_0106,0.0,0.06481901245531263,0.06481901245531263
r_0107,0.0,0.0648190124553122,0.0648190124553122
r_0108,0.0,0.0,0.0
r_0109,0.09147287596146102,0.5616881666887402,0.4702152907272792
r_0111,0.0,1.3297655806387585,1.3297655806387585
r_0112,0.0,1.4244855191852943,1.4244855191852943
r_0113,0.0,1.8492000000003954,1.8492000000003954
r_0114,0.0,0.0,0.0
r_0115,0.014261512881008607,0.9534780112598334,0.9392164983788248
r_0116,0.0,0.0,0.0
r_0117,0.0,0.28100614533050033,0.28100614533050033
r_0118,0.014261512881008607,0.9534780112597714,0.9392164983787628
r_0119,0.0,0.5547600000000886,0.5547600000000886
r_0120,0.0,0.06481901245531077,0.06481901245531077
r_0121,0.0,0.06481901245530905,0.06481901245530905
r_0122,0.0,0.1005145673286041,0.1005145673286041
r_0123,0.0,0.4702152907272952,0.4702152907272952
r_0124,0.0,0.4702152907272742,0.4702152907272742
r_0125,0.0,0.470215290727257,0.470215290727257
r_0126,0.0,1.109520000000065,1.109520000000065
r_0127,0.0,1.110315351159585,1.110315351159585
r_0128,0.0,1.1095200000001304,1.1095200000001304
r_0129,0.0,1.1095200000000802,1.1095200000000802
