sce:YBL014C	ko:K15218
sce:YBL015W	ko:K01067
sce:YBL016W	ko:K04371
sce:YBL017C	ko:K28985
sce:YBL018C	ko:K14528
sce:YBL019W	ko:K10772
sce:YBL020W	ko:K06316
sce:YBL021C	ko:K08065
sce:YBL022C	ko:K08675
sce:YBL023C	ko:K02540
sce:YBL024W	ko:K15334
sce:YBL025W	ko:K15221
sce:YBL026W	ko:K12621
sce:YBL027W	ko:K02885
sce:YBL030C	ko:K05863
sce:YBL032W	ko:K18738
sce:YBL033C	ko:K01497
sce:YBL034C	ko:K16578
sce:YBL035C	ko:K02321
sce:YBL036C	ko:K06997
sce:YBL037W	ko:K11824
sce:YBL039C	ko:K01937
sce:YBL040C	ko:K10949
sce:YBL041W	ko:K02732
sce:YBL042C	ko:K03457
sce:YBL045C	ko:K00414
sce:YBL047C	ko:K12472
sce:YBL050W	ko:K15296
sce:YBL052C	ko:K11378
sce:YBL055C	ko:K03424
sce:YBL056W	ko:K14803
sce:YBL057C	ko:K04794
sce:YBL058W	ko:K14012
sce:YBL059C-A	ko:K18172
sce:YBL061C	ko:K07126
sce:YBL063W	ko:K10398
sce:YBL064C	ko:K24137
sce:YBL067C	ko:K11872
sce:YBL068W	ko:K00948
sce:YBL071W-A	ko:K15455
sce:YBL072C	ko:K02995
sce:YBL074C	ko:K13205
sce:YBL075C	ko:K03283
sce:YBL076C	ko:K01870
sce:YBL078C	ko:K08341
sce:YBL079W	ko:K14312
sce:YBL080C	ko:K02434
sce:YBL082C	ko:K03845
sce:YBL084C	ko:K03350
sce:YBL087C	ko:K02894
sce:YBL088C	ko:K04728
sce:YBL089W	ko:K28671
sce:YBL090W	ko:K17415
sce:YBL091C	ko:K01265
sce:YBL091C-A	ko:K29085
sce:YBL092W	ko:K02912
sce:YBL093C	ko:K15138
sce:YBL097W	ko:K06676
sce:YBL098W	ko:K00486
sce:YBL099W	ko:K02132
sce:YBL101C	ko:K20060
sce:YBL104C	ko:K20407
sce:YBL105C	ko:K02677
sce:YBL106C	ko:K08518
sce:YBR001C	ko:K01194
sce:YBR002C	ko:K11778
sce:YBR003W	ko:K05355
sce:YBR004C	ko:K07542
sce:YBR005W	ko:K28545
sce:YBR006W	ko:K00135
sce:YBR008C	ko:K08158
sce:YBR009C	ko:K11254
sce:YBR010W	ko:K11253
sce:YBR011C	ko:K01507
sce:YBR015C	ko:K05535
sce:YBR017C	ko:K18752
sce:YBR018C	ko:K00965
sce:YBR019C	ko:K01784
sce:YBR019C	ko:K01785
sce:YBR020W	ko:K00849
sce:YBR021W	ko:K03457
sce:YBR022W	ko:K15529
sce:YBR023C	ko:K00698
sce:YBR024W	ko:K07152
sce:YBR025C	ko:K19788
sce:YBR026C	ko:K07512
sce:YBR028C	ko:K22008
sce:YBR029C	ko:K00981
sce:YBR031W	ko:K02930
sce:YBR034C	ko:K11434
sce:YBR035C	ko:K00275
sce:YBR036C	ko:K22722
sce:YBR037C	ko:K07152
sce:YBR038W	ko:K00698
sce:YBR039W	ko:K02136
sce:YBR040W	ko:K28913
sce:YBR041W	ko:K08745
sce:YBR043C	ko:K28511
sce:YBR044C	ko:K04077
sce:YBR045C	ko:K12770
sce:YBR046C	ko:K00344
sce:YBR048W	ko:K02949
sce:YBR049C	ko:K09424
sce:YBR052C	ko:K03809
sce:YBR055C	ko:K12855
sce:YBR058C	ko:K11836
sce:YBR059C	ko:K08286
sce:YBR060C	ko:K02604
sce:YBR061C	ko:K14864
sce:YBR065C	ko:K12872
sce:YBR068C	ko:K16261
sce:YBR069C	ko:K16261
sce:YBR070C	ko:K07441
sce:YBR072W	ko:K13993
sce:YBR073W	ko:K10877
sce:YBR079C	ko:K03254
sce:YBR080C	ko:K06027
sce:YBR081C	ko:K11359
