term,name,namespace,go_level,stratum,direct_genes,contained_genes,n_children,n_parents,width
GO:0031160,spore wall,cellular_component,4,2,7,12,1,1,20
GO:0031201,SNARE complex,cellular_component,3,2,27,27,0,1,20
GO:0031204,"post-translational protein targeting to membrane, translocation",biological_process,5,2,13,13,0,1,20
GO:0031207,Sec62/Sec63 complex,cellular_component,3,2,4,4,0,1,20
GO:0031298,replication fork protection complex,cellular_component,3,2,27,27,0,1,20
GO:0031314,extrinsic component of mitochondrial inner membrane,cellular_component,4,2,5,5,0,1,20
GO:0031386,protein tag activity,molecular_function,2,2,10,10,0,1,20
GO:0031390,Ctf18 RFC-like complex,cellular_component,3,2,7,7,0,1,20
GO:0031391,Elg1 RFC-like complex,cellular_component,3,2,5,5,0,1,20
GO:0031397,negative regulation of protein ubiquitination,biological_process,11,2,6,6,0,1,20
GO:0031398,positive regulation of protein ubiquitination,biological_process,11,2,6,12,1,1,20
GO:0031410,cytoplasmic vesicle,cellular_component,6,2,61,241,4,1,20
GO:0031428,box C/D methylation guide snoRNP complex,cellular_component,5,2,6,6,0,1,20
GO:0031429,box H/ACA snoRNP complex,cellular_component,3,2,4,4,0,1,20
GO:0031494,regulation of mating type switching,biological_process,4,2,2,6,1,1,20
GO:0031499,TRAMP complex,cellular_component,3,2,6,6,0,1,20
GO:0031507,heterochromatin formation,biological_process,8,2,19,19,0,1,20
GO:0031509,subtelomeric heterochromatin formation,biological_process,10,2,57,57,0,1,20
GO:0031588,nucleotide-activated protein kinase complex,cellular_component,3,2,7,7,0,1,20
GO:0031593,polyubiquitin modification-dependent protein binding,molecular_function,4,2,6,16,2,1,20
GO:0031624,ubiquitin conjugating enzyme binding,molecular_function,5,2,6,6,0,1,20
GO:0031931,TORC1 complex,cellular_component,4,2,5,5,0,1,20
GO:0031932,TORC2 complex,cellular_component,4,2,8,8,0,1,20
GO:0031942,i-AAA complex,cellular_component,4,2,4,4,0,1,20
GO:0031981,nuclear lumen,cellular_component,5,2,8,8,0,1,20
GO:0031985,Golgi cisterna,cellular_component,4,2,1,19,3,1,20
GO:0031991,regulation of actomyosin contractile ring contraction,biological_process,4,2,1,1,0,1,20
GO:0032006,regulation of TOR signaling,biological_process,6,2,1,24,3,1,20
GO:0032012,regulation of ARF protein signal transduction,biological_process,7,2,6,6,0,1,20
GO:0032045,guanyl-nucleotide exchange factor complex,cellular_component,3,2,7,13,2,1,20
GO:0032048,cardiolipin metabolic process,biological_process,8,2,5,12,2,1,20
GO:0032120,ascospore-type prospore membrane formation,biological_process,3,2,11,11,0,1,20
GO:0032160,septin filament array,cellular_component,7,2,4,4,0,1,20
GO:0032174,cellular bud neck septin collar,cellular_component,3,2,7,7,0,1,20
GO:0032177,cellular bud neck split septin rings,cellular_component,3,2,6,6,0,1,20
GO:0032196,transposition,biological_process,2,2,2,2,0,1,20
GO:0032204,regulation of telomere maintenance,biological_process,7,2,2,2,0,1,20
