term,name,namespace,go_level,stratum,direct_genes,contained_genes,n_children,n_parents,width
GO:0004386,helicase activity,molecular_function,2,2,98,106,3,1,30
GO:0004438,phosphatidylinositol-3-phosphate phosphatase activity,molecular_function,8,2,4,4,0,1,20
GO:0004439,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",molecular_function,8,2,4,4,0,1,20
GO:0004467,long-chain fatty acid-CoA ligase activity,molecular_function,4,2,5,5,0,1,20
GO:0004526,ribonuclease P activity,molecular_function,6,2,10,10,0,1,20
GO:0004556,alpha-amylase activity,molecular_function,6,2,7,7,0,1,20
GO:0004559,alpha-mannosidase activity,molecular_function,6,2,2,2,0,1,20
GO:0004748,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",molecular_function,6,2,4,4,0,1,20
GO:0004749,ribose phosphate diphosphokinase activity,molecular_function,5,2,5,5,0,1,20
GO:0004805,trehalose-phosphatase activity,molecular_function,8,2,4,4,0,1,20
GO:0005049,nuclear export signal receptor activity,molecular_function,3,2,4,4,0,1,20
GO:0005198,structural molecule activity,molecular_function,1,2,38,362,5,1,20
GO:0005227,calcium-activated cation channel activity,molecular_function,7,2,5,5,0,1,20
GO:0005315,phosphate transmembrane transporter activity,molecular_function,5,2,7,7,0,1,20
GO:0005319,lipid transporter activity,molecular_function,2,2,1,24,1,1,20
GO:0005324,long-chain fatty acid transmembrane transporter activity,molecular_function,5,2,4,4,0,1,20
GO:0005347,ATP transmembrane transporter activity,molecular_function,4,2,2,7,1,1,20
GO:0005365,myo-inositol transmembrane transporter activity,molecular_function,4,2,2,4,1,1,20
GO:0005506,iron ion binding,molecular_function,7,2,22,25,1,1,20
GO:0005507,copper ion binding,molecular_function,7,2,20,20,0,1,20
GO:0005515,protein binding,molecular_function,2,2,103,700,22,1,31
GO:0005525,GTP binding,molecular_function,4,2,106,106,0,1,32
GO:0005527,macrolide binding,molecular_function,2,2,3,3,0,1,20
GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",molecular_function,5,2,16,16,0,1,20
GO:0005641,nuclear envelope lumen,cellular_component,6,2,5,5,0,1,20
GO:0005643,nuclear pore,cellular_component,3,2,48,48,0,1,20
GO:0005655,nucleolar ribonuclease P complex,cellular_component,3,2,10,10,0,1,20
GO:0005656,nuclear pre-replicative complex,cellular_component,3,2,16,16,0,1,20
GO:0005677,chromatin silencing complex,cellular_component,3,2,4,4,0,1,20
GO:0005742,mitochondrial outer membrane translocase complex,cellular_component,4,2,7,11,1,1,20
GO:0005744,TIM23 mitochondrial import inner membrane translocase complex,cellular_component,4,2,7,7,0,1,20
GO:0005758,mitochondrial intermembrane space,cellular_component,6,2,68,68,0,1,21
GO:0005759,mitochondrial matrix,cellular_component,5,2,132,132,0,1,40
GO:0005761,mitochondrial ribosome,cellular_component,7,2,8,8,0,1,20
GO:0005762,mitochondrial large ribosomal subunit,cellular_component,3,2,47,47,0,1,20
GO:0005763,mitochondrial small ribosomal subunit,cellular_component,3,2,36,36,0,1,20
GO:0005775,vacuolar lumen,cellular_component,5,2,9,20,1,1,20
GO:0005777,peroxisome,cellular_component,6,2,141,141,0,1,43
GO:0005778,peroxisomal membrane,cellular_component,6,2,40,40,0,1,20
GO:0005782,peroxisomal matrix,cellular_component,6,2,20,20,0,1,20
GO:0005784,Sec61 translocon complex,cellular_component,4,2,5,5,0,1,20
GO:0005787,signal peptidase complex,cellular_component,3,2,4,4,0,1,20
GO:0005788,endoplasmic reticulum lumen,cellular_component,5,2,15,15,0,1,20
GO:0005795,Golgi stack,cellular_component,4,2,6,6,0,1,20
GO:0005796,Golgi lumen,cellular_component,5,2,4,4,0,1,20
GO:0005802,trans-Golgi network,cellular_component,4,2,42,42,0,1,20
GO:0005826,actomyosin contractile ring,cellular_component,3,2,4,16,1,1,20
GO:0005834,heterotrimeric G-protein complex,cellular_component,4,2,4,4,0,1,20
GO:0005839,proteasome core complex,cellular_component,3,2,15,15,0,1,20
GO:0005849,mRNA cleavage factor complex,cellular_component,3,2,3,19,1,1,20
GO:0005874,microtubule,cellular_component,6,2,57,67,3,1,20
GO:0005884,actin filament,cellular_component,6,2,9,9,0,1,20
GO:0005937,mating projection,cellular_component,4,2,8,8,0,1,20
GO:0005940,septin ring,cellular_component,7,2,12,21,1,1,20
GO:0005952,cAMP-dependent protein kinase complex,cellular_component,3,2,4,4,0,1,20
GO:0005956,protein kinase CK2 complex,cellular_component,3,2,4,4,0,1,20
GO:0005960,glycine cleavage complex,cellular_component,4,2,4,4,0,1,20
GO:0005971,ribonucleoside-diphosphate reductase complex,cellular_component,4,2,4,4,0,1,20
GO:0005991,trehalose metabolic process,biological_process,7,2,5,6,1,1,20
GO:0006020,inositol metabolic process,biological_process,6,2,5,5,0,1,20
GO:0006032,chitin catabolic process,biological_process,6,2,4,4,0,1,20
GO:0006047,UDP-N-acetylglucosamine metabolic process,biological_process,5,2,3,6,1,1,20
GO:0006067,ethanol metabolic process,biological_process,6,2,4,9,1,1,20
GO:0006071,glycerol metabolic process,biological_process,6,2,9,11,1,1,20
GO:0006074,(1->3)-beta-D-glucan metabolic process,biological_process,7,2,1,5,1,1,20
GO:0006077,(1->6)-beta-D-glucan metabolic process,biological_process,7,2,1,7,1,1,20
GO:0006102,isocitrate metabolic process,biological_process,6,2,6,6,0,1,20
GO:0006103,2-oxoglutarate metabolic process,biological_process,8,2,4,4,0,1,20
GO:0006108,malate metabolic process,biological_process,8,2,5,5,0,1,20
GO:0006112,energy reserve metabolic process,biological_process,5,2,2,25,1,1,20
GO:0006222,UMP biosynthetic process,biological_process,7,2,2,10,2,1,20
GO:0006241,CTP biosynthetic process,biological_process,7,2,3,3,0,1,20
GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,biological_process,4,2,18,18,0,1,20
GO:0006271,DNA strand elongation involved in DNA replication,biological_process,7,2,15,22,2,1,20
