project,run_id,name,state,created_at,model/num_go_terms,model/num_subsystems,model/params_total,model/params_dcell,model/params_dcell_linear,model/params_subsystems
torchcell_005-kuzmin2018-tmi_dcell,jst85wsx,run_M1-MV.local-57926631-7620-42da-8691-5e100bf51d80_a9cd26e9b8c81e51b76d0080d9aef4f836c3860526dd1804c842b39a5afdfb58,failed,2025-05-16T04:31:20Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,yz130v6d,run_M1-MV.local-4f03cb4b-b057-414b-b49c-eb2fa7eaf78a_9b5f36660d7a7ebe5e8d2a42087158d4f062afef8ddcbcf3d6106ca7cf7fae70,failed,2025-05-16T04:32:34Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,1fslgaim,run_M1-MV.local-42c51677-b259-4a17-9e7a-765e3a73edff_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,finished,2025-05-16T04:35:40Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,raywdges,run_M1-MV.local-d310ac76-0c33-47b6-ad86-440c65446e6b_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,crashed,2025-05-16T04:38:17Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,bucfi488,run_M1-MV.local-50318ddd-68de-4533-a95a-b996916cdca0_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,failed,2025-05-16T04:50:19Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,0nvoehad,run_M1-MV.local-02cbd949-9fef-44f6-862a-695062dd09f3_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,failed,2025-05-16T04:51:47Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,y0em4ogu,run_M1-MV.local-0a19e325-7dc6-4178-9a76-819c6da55af0_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,failed,2025-05-16T05:02:56Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,0rp8tdzh,run_M1-MV.local-3d183c64-8388-45d3-a27d-a6d4daedb7e8_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,finished,2025-05-16T05:03:54Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,dlfydh09,run_M1-MV.local-bbb5b6c6-2d20-41a9-a171-ccb9ab28b23c_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,finished,2025-05-16T05:06:05Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,zr9qsaby,run_M1-MV.local-a89434bd-7537-45d9-b33a-46d17e81d478_63dcb9453a3a4f3b3a2348747fdd15524189e1e141178c9bcce818f426fa92f1,finished,2025-05-20T19:12:04Z,0.0,0.0,0.0,0.0,0.0,0.0
torchcell_005-kuzmin2018-tmi_dcell,zznd8bu9,run_M1-MV.local-b6848e22-b6eb-413b-85e2-3a416aee5012_1c9821a104a4a573332fd5ea28bd093c0e676d16c28cd3951a612c76351dba54,failed,2025-05-24T22:00:51Z,,,,,,
torchcell_005-kuzmin2018-tmi_dcell,1i9h768x,run_M1-MV.local-b9028426-f671-4f48-a37e-0709d3813ad2_1c9821a104a4a573332fd5ea28bd093c0e676d16c28cd3951a612c76351dba54,failed,2025-05-24T22:06:48Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_005-kuzmin2018-tmi_dcell,3olpdfha,run_M1-MV.local-8a7ef6b1-2874-4ca8-acbd-f8eb930710d7_f177234d91d9babeeb961ca87f7163d574191ca676f5628d8391bb8a34967496,failed,2025-05-24T22:29:31Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_005-kuzmin2018-tmi_dcell,zzdni4x7,run_M1-MV.local-5e6dea48-22c3-462b-a1db-56e1867529df_f177234d91d9babeeb961ca87f7163d574191ca676f5628d8391bb8a34967496,finished,2025-05-24T22:38:11Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_005-kuzmin2018-tmi_dcell,4ipeq1qh,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:41:01Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_005-kuzmin2018-tmi_dcell,biucpv7p,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:42:21Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_005-kuzmin2018-tmi_dcell,cy3j49sj,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:43:37Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
torchcell_005-kuzmin2018-tmi_dcell,dxa1fngh,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:44:54Z,2655.0,2655.0,20613037.0,20613037.0,64084.0,20548953.0
