child,parent
GO:0000779,GO:0000775
GO:0000781,GO:0005575
GO:0000783,GO:0005575
GO:0000785,GO:0110165
GO:0000786,GO:0032993
GO:0000791,GO:0000785
GO:0000792,GO:0000785
GO:0000793,GO:0005694
GO:0000794,GO:0000228
GO:0000794,GO:0000793
GO:0000795,GO:0005575
GO:0000796,GO:0032991
GO:0000808,GO:0032991
GO:0000811,GO:0031261
GO:0000812,GO:0000118
GO:0000813,GO:0005575
GO:0000815,GO:0005575
GO:0000817,GO:0005575
GO:0000819,GO:0051276
GO:0000819,GO:0098813
GO:0000822,GO:0003674
GO:0000837,GO:0005575
GO:0000839,GO:0005575
GO:0000902,GO:0009653
GO:0000915,GO:0008150
GO:0000917,GO:0008150
GO:0000920,GO:0008150
GO:0000921,GO:0031106
GO:0000921,GO:0065003
GO:0000922,GO:0110165
GO:0000932,GO:0036464
GO:0000935,GO:0030428
GO:0000938,GO:0099023
GO:0000940,GO:0032991
GO:0000949,GO:0000955
GO:0000949,GO:0009074
GO:0000955,GO:0009063
GO:0000956,GO:0006402
GO:0000959,GO:0016070
GO:0000963,GO:0006396
GO:0000963,GO:0140053
GO:0000964,GO:0000963
GO:0000972,GO:0051276
GO:0000973,GO:0000972
GO:0000974,GO:0032991
GO:0000976,GO:0003674
GO:0000977,GO:0000976
GO:0000978,GO:0000977
GO:0000978,GO:0000987
GO:0000979,GO:0000977
GO:0000979,GO:0001046
GO:0000981,GO:0003700
GO:0000987,GO:0000976
GO:0000993,GO:0003674
GO:0000993,GO:0043175
GO:0000995,GO:0140223
GO:0001002,GO:0003674
GO:0001003,GO:0003674
GO:0001015,GO:0006366
GO:0001015,GO:0009302
GO:0001046,GO:0000976
GO:0001079,GO:0006357
GO:0001079,GO:0008150
GO:0001080,GO:0001079
GO:0001080,GO:0008150
GO:0001080,GO:0045893
GO:0001091,GO:0003674
GO:0001094,GO:0001091
GO:0001094,GO:0044877
GO:0001097,GO:0001091
GO:0001097,GO:0044877
GO:0001100,GO:0007096
GO:0001112,GO:0008150
GO:0001113,GO:0001112
GO:0001163,GO:0000976
GO:0001172,GO:0008150
GO:0001174,GO:0008150
GO:0001179,GO:0003674
GO:0001181,GO:0140223
GO:0001188,GO:0070897
GO:0001227,GO:0000981
GO:0001228,GO:0000981
GO:0001400,GO:0110165
GO:0001401,GO:0005742
GO:0001402,GO:0007165
GO:0001403,GO:0036267
GO:0001405,GO:0005575
GO:0001510,GO:0009451
GO:0001510,GO:0043414
GO:0001522,GO:0009451
GO:0001558,GO:0008150
GO:0001558,GO:0051128
GO:0001671,GO:0003674
GO:0001676,GO:0006631
GO:0001678,GO:0008150
GO:0001682,GO:0099116
GO:0001731,GO:0022618
GO:0001732,GO:0022618
GO:0001786,GO:0005543
GO:0001881,GO:0008150
GO:0001927,GO:0065003
GO:0001932,GO:0008150
GO:0001934,GO:0001932
GO:0001934,GO:0019220
GO:0002098,GO:0008150
GO:0002128,GO:0030488
GO:0002143,GO:0002098
GO:0002143,GO:0034227
GO:0002161,GO:0140101
GO:0002181,GO:0006412
GO:0002182,GO:0006414
GO:0002183,GO:0006413
GO:0002188,GO:0002183
GO:0002189,GO:0005575
GO:0002943,GO:0006400
GO:0002949,GO:0006400
GO:0002949,GO:0070525
GO:0003333,GO:0006865
GO:0003333,GO:0055085
GO:0003400,GO:0043254
GO:0003674,GO:ROOT
GO:0003676,GO:0003674
GO:0003677,GO:0003676
GO:0003678,GO:0004386
GO:0003678,GO:0008094
GO:0003682,GO:0003674
GO:0003684,GO:0003677
GO:0003688,GO:0003674
GO:0003689,GO:0008094
GO:0003690,GO:0003677
GO:0003691,GO:0003690
GO:0003691,GO:0042162
GO:0003697,GO:0003677
GO:0003700,GO:0140110
GO:0003712,GO:0030674
GO:0003712,GO:0140110
GO:0003713,GO:0003712
GO:0003714,GO:0003712
GO:0003723,GO:0003676
GO:0003724,GO:0004386
GO:0003724,GO:0008186
GO:0003725,GO:0003723
GO:0003727,GO:0003723
GO:0003729,GO:0003723
GO:0003730,GO:0003729
GO:0003735,GO:0005198
GO:0003743,GO:0003674
GO:0003746,GO:0003674
GO:0003747,GO:0008079
GO:0003755,GO:0003674
GO:0003756,GO:0003674
GO:0003774,GO:0003674
GO:0003777,GO:0003774
GO:0003779,GO:0008092
GO:0003824,GO:0003674
GO:0003825,GO:0003674
GO:0003841,GO:0042171
GO:0003873,GO:0003674
GO:0003887,GO:0003674
GO:0003899,GO:0034062
GO:0003906,GO:0003674
GO:0003916,GO:0003674
GO:0003924,GO:0017111
GO:0003938,GO:0016616
GO:0003959,GO:0016651
GO:0003968,GO:0034062
GO:0003993,GO:0016791
GO:0004017,GO:0003674
GO:0004022,GO:0018455
GO:0004026,GO:0003674
GO:0004029,GO:0004030
GO:0004030,GO:0016620
GO:0004032,GO:0008106
GO:0004033,GO:0018455
GO:0004045,GO:0052689
GO:0004045,GO:0140101
GO:0004067,GO:0016811
GO:0004090,GO:0008106
GO:0004112,GO:0008081
GO:0004128,GO:0016653
GO:0004129,GO:0009055
GO:0004129,GO:0015078
GO:0004169,GO:0000030
GO:0004175,GO:0008233
GO:0004177,GO:0003674
GO:0004180,GO:0003674
GO:0004190,GO:0004175
GO:0004197,GO:0004175
GO:0004197,GO:0008234
GO:0004222,GO:0004175
GO:0004222,GO:0008237
GO:0004252,GO:0004175
GO:0004252,GO:0008236
GO:0004322,GO:0003674
GO:0004338,GO:0008422
GO:0004340,GO:0016301
GO:0004340,GO:0016773
GO:0004359,GO:0016811
GO:0004362,GO:0015038
GO:0004362,GO:0016209
GO:0004362,GO:0016668
GO:0004364,GO:0016765
GO:0004376,GO:0000030
GO:0004386,GO:0003674
GO:0004402,GO:0061733
GO:0004407,GO:0033558
GO:0004430,GO:0052742
GO:0004438,GO:0003674
GO:0004439,GO:0003674
GO:0004467,GO:0003674
GO:0004497,GO:0016491
GO:0004518,GO:0016788
GO:0004519,GO:0004518
GO:0004520,GO:0004519
GO:0004520,GO:0004536
GO:0004521,GO:0004519
GO:0004521,GO:0004540
GO:0004526,GO:0003674
GO:0004527,GO:0004518
GO:0004534,GO:0008409
GO:0004535,GO:0000175
GO:0004536,GO:0004518
GO:0004540,GO:0004518
GO:0004553,GO:0016798
GO:0004556,GO:0003674
GO:0004559,GO:0003674
GO:0004564,GO:0004553
GO:0004574,GO:0090599
GO:0004575,GO:0004564
GO:0004575,GO:0090599
GO:0004596,GO:0034212
GO:0004601,GO:0016209
GO:0004602,GO:0004601
GO:0004620,GO:0016298
GO:0004622,GO:0004620
GO:0004622,GO:0052689
GO:0004623,GO:0004620
GO:0004623,GO:0052689
GO:0004634,GO:0016836
GO:0004659,GO:0016765
GO:0004663,GO:0008318
GO:0004672,GO:0016301
GO:0004672,GO:0016773
GO:0004674,GO:0004672
GO:0004679,GO:0004674
GO:0004683,GO:0004674
GO:0004693,GO:0004674
GO:0004707,GO:0004674
GO:0004708,GO:0004712
GO:0004709,GO:0004674
GO:0004712,GO:0004672
GO:0004713,GO:0004672
GO:0004721,GO:0016791
GO:0004722,GO:0004721
GO:0004725,GO:0004721
GO:0004737,GO:0016831
GO:0004748,GO:0003674
GO:0004749,GO:0003674
GO:0004771,GO:0016298
GO:0004771,GO:0052689
GO:0004784,GO:0016209
GO:0004792,GO:0016783
GO:0004805,GO:0003674
GO:0004806,GO:0016298
GO:0004806,GO:0052689
GO:0004812,GO:0140101
GO:0004842,GO:0019787
GO:0004843,GO:0008234
GO:0004857,GO:0030234
GO:0004860,GO:0019210
GO:0004860,GO:0019887
GO:0004861,GO:0016538
GO:0004861,GO:0030291
GO:0004864,GO:0019888
GO:0004865,GO:0004864
GO:0004866,GO:0030414
GO:0004888,GO:0038023
GO:0005034,GO:0004888
GO:0005034,GO:0140299
GO:0005048,GO:0042277
GO:0005049,GO:0003674
GO:0005078,GO:0035591
GO:0005085,GO:0030695
GO:0005092,GO:0030695
GO:0005096,GO:0008047
GO:0005096,GO:0030695
GO:0005102,GO:0005515
GO:0005198,GO:0003674
GO:0005199,GO:0005198
GO:0005200,GO:0005198
GO:0005216,GO:0015075
GO:0005216,GO:0015267
GO:0005227,GO:0003674
GO:0005244,GO:0005216
GO:0005290,GO:0015173
GO:0005290,GO:0015174
GO:0005290,GO:0015179
GO:0005290,GO:1901474
GO:0005302,GO:0015173
GO:0005302,GO:0015179
GO:0005310,GO:0046943
GO:0005313,GO:0015179
GO:0005315,GO:0003674
GO:0005319,GO:0003674
GO:0005324,GO:0003674
GO:0005342,GO:0022857
GO:0005347,GO:0003674
GO:0005351,GO:0015295
GO:0005353,GO:0015149
GO:0005354,GO:0015149
GO:0005365,GO:0003674
GO:0005366,GO:0005365
GO:0005366,GO:0015295
GO:0005375,GO:0046915
GO:0005381,GO:0046915
GO:0005384,GO:0046915
GO:0005385,GO:0046915
GO:0005471,GO:0005347
GO:0005471,GO:0015217
GO:0005471,GO:0015297
GO:0005484,GO:0030674
GO:0005506,GO:0003674
GO:0005507,GO:0003674
GO:0005509,GO:0046872
GO:0005515,GO:0003674
GO:0005516,GO:0005515
GO:0005524,GO:0003674
GO:0005524,GO:0032559
GO:0005525,GO:0003674
GO:0005527,GO:0003674
GO:0005536,GO:0048029
GO:0005537,GO:0048029
GO:0005543,GO:0008289
GO:0005546,GO:0003674
GO:0005575,GO:ROOT
GO:0005576,GO:0110165
GO:0005615,GO:0110165
GO:0005619,GO:0009277
GO:0005619,GO:0031160
GO:0005621,GO:0110165
GO:0005628,GO:0016020
GO:0005634,GO:0043231
GO:0005635,GO:0031967
GO:0005637,GO:0031965
GO:0005640,GO:0031965
GO:0005641,GO:0005575
GO:0005643,GO:0005575
GO:0005654,GO:0110165
GO:0005655,GO:0005575
GO:0005656,GO:0005575
GO:0005657,GO:0110165
GO:0005658,GO:0055029
GO:0005663,GO:0032991
GO:0005664,GO:0000808
GO:0005665,GO:0055029
GO:0005666,GO:0055029
GO:0005667,GO:0032991
GO:0005669,GO:0090575
GO:0005674,GO:0090575
GO:0005675,GO:0090575
GO:0005677,GO:0005575
GO:0005680,GO:0031461
GO:0005681,GO:1990904
GO:0005682,GO:0097525
GO:0005684,GO:0005681
GO:0005685,GO:0097525
GO:0005686,GO:0097525
GO:0005687,GO:0097525
GO:0005688,GO:0097525
GO:0005694,GO:0043232
GO:0005697,GO:1990904
GO:0005730,GO:0043232
GO:0005732,GO:1990904
GO:0005736,GO:0055029
GO:0005737,GO:0110165
GO:0005739,GO:0043231
GO:0005740,GO:0031967
GO:0005741,GO:0031966
GO:0005742,GO:0005575
GO:0005743,GO:0031966
GO:0005744,GO:0005575
GO:0005758,GO:0005575
GO:0005759,GO:0005575
GO:0005761,GO:0005575
GO:0005762,GO:0005575
GO:0005763,GO:0005575
GO:0005768,GO:0031410
GO:0005769,GO:0005768
GO:0005770,GO:0005768
GO:0005771,GO:0005770
GO:0005773,GO:0043231
GO:0005774,GO:0098588
GO:0005775,GO:0005575
GO:0005776,GO:0005773
GO:0005777,GO:0005575
GO:0005778,GO:0005575
GO:0005782,GO:0005575
GO:0005783,GO:0043231
GO:0005784,GO:0005575
GO:0005786,GO:0048500
GO:0005787,GO:0005575
GO:0005788,GO:0005575
GO:0005789,GO:0031090
GO:0005793,GO:0043231
GO:0005794,GO:0043231
GO:0005795,GO:0005575
GO:0005796,GO:0005575
GO:0005797,GO:0031985
GO:0005798,GO:0031410
GO:0005801,GO:0043231
GO:0005802,GO:0005575
GO:0005811,GO:0043232
GO:0005815,GO:0110165
GO:0005816,GO:0005815
GO:0005819,GO:0043232
GO:0005822,GO:0110165
GO:0005823,GO:0110165
GO:0005824,GO:0110165
GO:0005825,GO:0110165
GO:0005826,GO:0005575
GO:0005829,GO:0110165
GO:0005832,GO:0101031
GO:0005834,GO:0005575
GO:0005838,GO:0032991
GO:0005839,GO:0005575
GO:0005840,GO:0043232
GO:0005847,GO:0005849
GO:0005849,GO:0005575
GO:0005851,GO:0032045
GO:0005852,GO:0032991
GO:0005854,GO:0032991
GO:0005856,GO:0043232
GO:0005868,GO:0030286
GO:0005869,GO:0005875
GO:0005871,GO:0005875
GO:0005874,GO:0005575
GO:0005875,GO:0032991
GO:0005876,GO:0005874
GO:0005880,GO:0005874
GO:0005881,GO:0005874
GO:0005884,GO:0005575
GO:0005885,GO:0032991
GO:0005886,GO:0016020
GO:0005905,GO:0016020
GO:0005933,GO:0110165
GO:0005934,GO:0030427
GO:0005935,GO:0030427
GO:0005937,GO:0005575
GO:0005938,GO:0005737
GO:0005940,GO:0005575
GO:0005946,GO:1990234
GO:0005952,GO:0005575
GO:0005956,GO:0005575
GO:0005960,GO:0005575
GO:0005968,GO:1990234
GO:0005971,GO:0005575
GO:0005975,GO:0044238
GO:0005976,GO:0005975
GO:0005976,GO:0043170
GO:0005977,GO:0006112
GO:0005977,GO:0044042
GO:0005978,GO:0005977
GO:0005979,GO:0070873
GO:0005987,GO:0046352
GO:0005991,GO:0008150
GO:0005992,GO:0005991
GO:0006000,GO:0019318
GO:0006002,GO:0006796
GO:0006002,GO:0019637
GO:0006002,GO:1901135
GO:0006003,GO:0006796
GO:0006003,GO:0019637
GO:0006003,GO:1901135
GO:0006006,GO:0019318
GO:0006012,GO:0019318
GO:0006013,GO:0019318
GO:0006015,GO:0046390
GO:0006020,GO:0008150
GO:0006032,GO:0008150
GO:0006047,GO:0008150
GO:0006048,GO:0006047
GO:0006066,GO:0044281
GO:0006067,GO:0008150
GO:0006071,GO:0008150
GO:0006072,GO:0052646
GO:0006074,GO:0008150
GO:0006075,GO:0006074
GO:0006075,GO:0051274
GO:0006077,GO:0008150
GO:0006078,GO:0006077
GO:0006078,GO:0051274
