term,gene
GO:0000032,YML115C
GO:0000032,YNL029C
GO:0000032,YOR099W
GO:0000032,YPL050C
GO:0000032,YPL053C
GO:0000033,YER001W
GO:0000033,YGL065C
GO:0000033,YGL257C
GO:0000033,YIL014W
GO:0000033,YNR059W
GO:0000038,YBR041W
GO:0000038,YDL015C
GO:0000038,YMR272C
GO:0000041,YLL051C
GO:0000041,YLR214W
GO:0000045,YBL058W
GO:0000045,YBR080C
GO:0000045,YBR217W
GO:0000045,YDL149W
GO:0000045,YDR108W
GO:0000045,YDR170C
GO:0000045,YEL013W
GO:0000045,YFL038C
GO:0000045,YGL180W
GO:0000045,YJL178C
GO:0000045,YKR001C
GO:0000045,YLL014W
GO:0000045,YLR240W
GO:0000045,YLR423C
GO:0000045,YNL242W
GO:0000045,YNR007C
GO:0000045,YPL120W
GO:0000045,YPL149W
GO:0000045,YPL166W
GO:0000045,YPL250C
GO:0000045,YPR049C
GO:0000045,YPR185W
GO:0000049,YAL005C
GO:0000049,YBL024W
GO:0000049,YBL076C
GO:0000049,YDL033C
GO:0000049,YDL051W
GO:0000049,YDL104C
GO:0000049,YDL201W
GO:0000049,YDL219W
GO:0000049,YDR023W
GO:0000049,YDR037W
GO:0000049,YDR120C
GO:0000049,YDR283C
GO:0000049,YER025W
GO:0000049,YFL022C
GO:0000049,YGL105W
GO:0000049,YGL122C
GO:0000049,YGL169W
GO:0000049,YGL211W
GO:0000049,YGR054W
GO:0000049,YGR128C
GO:0000049,YHR011W
GO:0000049,YHR187W
GO:0000049,YHR196W
GO:0000049,YKL205W
GO:0000049,YLL024C
GO:0000049,YLR384C
GO:0000049,YML014W
GO:0000049,YML036W
GO:0000049,YMR312W
GO:0000049,YNL073W
GO:0000049,YNL119W
GO:0000049,YNL132W
GO:0000049,YOL021C
GO:0000049,YOL023W
GO:0000049,YOL033W
GO:0000049,YOL093W
GO:0000049,YOL124C
GO:0000049,YOR112W
GO:0000049,YOR274W
GO:0000049,YOR335C
GO:0000049,YPL009C
GO:0000049,YPL040C
GO:0000049,YPL086C
GO:0000049,YPL101W
GO:0000049,YPL169C
GO:0000049,YPR047W
GO:0000054,YDR091C
GO:0000054,YGL097W
GO:0000054,YGL099W
GO:0000054,YGR285C
GO:0000054,YLR293C
GO:0000054,YMR235C
GO:0000054,YOR185C
GO:0000054,YPL093W
GO:0000054,YPR016C
GO:0000055,YAL059W
GO:0000055,YDR361C
GO:0000055,YFR001W
GO:0000055,YFR002W
GO:0000055,YGL135W
GO:0000055,YGL172W
GO:0000055,YGR218W
GO:0000055,YGR245C
GO:0000055,YHR088W
GO:0000055,YHR170W
GO:0000055,YIL115C
GO:0000055,YIL148W
GO:0000055,YJL041W
GO:0000055,YJL061W
GO:0000055,YJR042W
GO:0000055,YKL057C
GO:0000055,YKL186C
GO:0000055,YKR094C
GO:0000055,YLL034C
GO:0000055,YLR106C
GO:0000055,YMR047C
GO:0000055,YNL227C
GO:0000055,YNR053C
GO:0000055,YOR098C
GO:0000055,YOR294W
GO:0000055,YPL146C
GO:0000055,YPL169C
GO:0000055,YPL220W
GO:0000056,YCR047C
GO:0000056,YER036C
GO:0000056,YGR081C
GO:0000056,YGR218W
GO:0000056,YIL063C
GO:0000056,YIL115C
GO:0000056,YJL010C
GO:0000056,YJL041W
GO:0000056,YJL061W
GO:0000056,YKL143W
GO:0000056,YKL186C
GO:0000056,YOR145C
GO:0000056,YPL169C
GO:0000070,YAL034W-A
GO:0000070,YBL097W
GO:0000070,YDR113C
GO:0000070,YDR130C
GO:0000070,YDR325W
GO:0000070,YFL008W
GO:0000070,YFR031C
GO:0000070,YGL216W
GO:0000070,YGR098C
GO:0000070,YIR010W
GO:0000070,YIR025W
GO:0000070,YKL049C
GO:0000070,YLR086W
GO:0000070,YLR212C
GO:0000070,YLR272C
GO:0000070,YML085C
GO:0000070,YML124C
GO:0000070,YMR190C
GO:0000070,YNL307C
GO:0000070,YPL233W
GO:0000076,YCL061C
GO:0000076,YJL090C
GO:0000076,YJR068W
GO:0000076,YMR048W
GO:0000076,YNL273W
GO:0000076,YPL194W
GO:0000077,YBL051C
GO:0000077,YBL088C
GO:0000077,YBR136W
GO:0000077,YBR274W
GO:0000077,YDL101C
GO:0000077,YDR099W
GO:0000077,YDR217C
GO:0000077,YDR283C
GO:0000077,YDR440W
GO:0000077,YDR499W
GO:0000077,YER133W
GO:0000077,YER173W
GO:0000077,YER177W
GO:0000077,YLR288C
GO:0000077,YML058W-A
GO:0000077,YOR368W
GO:0000077,YPL153C
GO:0000077,YPL194W
GO:0000077,YPR015C
GO:0000082,YBR160W
GO:0000082,YDL047W
GO:0000082,YDL132W
GO:0000082,YDL188C
GO:0000082,YDR002W
GO:0000082,YDR328C
GO:0000082,YFL009W
GO:0000082,YFR040W
GO:0000082,YGL229C
GO:0000082,YIL046W
GO:0000082,YIL153W
GO:0000082,YJL098W
GO:0000082,YJL194W
GO:0000082,YKL161C
GO:0000082,YKR028W
GO:0000082,YOL133W
GO:0000082,YPR120C
GO:0000086,YBL051C
GO:0000086,YBR133C
GO:0000086,YDL139C
GO:0000086,YDL155W
GO:0000086,YDR328C
GO:0000086,YFL029C
GO:0000086,YGR108W
GO:0000086,YGR211W
GO:0000086,YJL187C
GO:0000086,YKL101W
GO:0000086,YLL003W
GO:0000086,YLR210W
GO:0000086,YMR036C
GO:0000086,YPL020C
GO:0000086,YPR119W
GO:0000086,YPR120C
GO:0000096,YJR010W
GO:0000096,YKL001C
GO:0000096,YLL062C
GO:0000096,YNL103W
GO:0000096,YNL277W
GO:0000097,YJR137C
GO:0000103,YBR213W
GO:0000103,YFR030W
GO:0000103,YJR010W
GO:0000103,YJR137C
GO:0000103,YKL001C
GO:0000103,YKR069W
GO:0000103,YOL064C
GO:0000103,YPR167C
GO:0000104,YKL141W
GO:0000104,YMR118C
GO:0000105,YBR084W
GO:0000105,YBR248C
GO:0000105,YCL030C
GO:0000105,YER055C
GO:0000105,YFR025C
GO:0000105,YGR204W
GO:0000105,YIL020C
GO:0000105,YIL116W
GO:0000105,YOR202W
GO:0000109,YDR030C
GO:0000112,YDR311W
GO:0000112,YER171W
GO:0000112,YGR258C
GO:0000112,YIL143C
