stratum,terms,direct_genes_sum
0,1,0
1,3,5487
2,630,9311
3,530,17596
4,392,11602
5,336,6006
6,290,4109
7,212,2381
8,130,1984
9,62,746
10,54,660
11,13,76
12,2,28
