gene,n_terms
YBR069C,11
YBR070C,9
YBR071W,4
YBR072C-A,3
YBR072W,8
YBR073W,22
YBR074W,12
YBR076C-A,4
YBR076W,4
YBR077C,12
YBR078W,10
YBR079C,17
YBR080C,19
YBR081C,11
YBR082C,19
YBR083W,15
YBR084C-A,8
YBR084W,17
YBR085C-A,4
YBR085W,9
YBR086C,8
YBR087W,17
YBR088C,17
YBR089C-A,7
YBR089W,4
YBR090C,5
YBR091C,13
YBR092C,8
YBR093C,9
YBR094W,8
YBR095C,12
YBR096W,4
YBR097W,30
YBR098W,16
YBR099C,4
YBR101C,6
YBR102C,17
YBR103C-A,3
YBR103W,11
YBR104W,3
YBR105C,12
YBR106W,9
YBR107C,12
YBR108W,5
YBR109C,21
YBR109W-A,4
YBR110W,8
YBR111C,8
YBR111W-A,24
YBR112C,9
YBR113W,4
YBR114W,20
YBR115C,7
YBR116C,4
YBR117C,9
YBR118W,17
YBR119W,11
YBR120C,6
YBR121C,13
YBR121C-A,3
YBR122C,6
YBR123C,9
YBR124W,4
YBR125C,8
YBR126C,11
YBR126W-A,4
YBR126W-B,3
YBR127C,21
YBR128C,17
YBR129C,4
YBR130C,12
YBR131C-A,3
YBR131W,19
YBR132C,10
YBR133C,19
YBR134W,3
YBR135W,15
YBR136W,21
YBR137W,4
YBR138C,3
YBR139W,10
YBR140C,4
YBR141C,8
YBR141W-A,3
YBR142W,17
YBR143C,8
YBR144C,3
YBR145W,8
YBR146W,8
YBR147W,8
YBR148W,4
YBR149W,6
YBR150C,15
YBR151W,5
YBR152W,10
YBR153W,4
YBR154C,15
YBR155W,6
YBR156C,15
YBR157C,3
YBR158W,10
YBR159W,10
YBR160W,38
YBR161W,8
YBR162C,6
YBR162W-A,6
YBR163W,11
YBR164C,18
YBR165W,4
YBR166C,8
YBR167C,15
YBR168W,5
YBR169C,9
YBR170C,28
YBR171W,9
YBR172C,9
YBR173C,6
YBR174C,3
YBR175W,9
YBR176W,6
YBR177C,10
YBR178W,3
YBR179C,10
YBR180W,7
YBR181C,12
YBR182C,10
YBR182C-A,3
YBR183W,9
YBR184W,3
YBR185C,7
YBR186W,9
YBR187W,12
YBR188C,7
YBR189W,17
YBR190W,3
YBR191W,7
YBR191W-A,3
YBR192W,6
YBR193C,12
YBR194W,3
YBR195C,8
YBR196C,11
YBR196C-A,4
YBR196C-B,3
YBR197C,4
YBR198C,12
YBR199W,12
YBR200W,16
YBR200W-A,4
YBR201C-A,3
YBR201W,9
YBR202W,32
YBR203W,3
YBR204C,12
YBR205W,15
YBR206W,3
YBR207W,14
YBR208C,11
YBR209W,4
YBR210W,5
YBR211C,13
YBR212W,9
YBR213W,7
YBR214W,7
YBR215W,6
YBR216C,5
YBR217W,15
YBR218C,12
YBR219C,4
YBR220C,4
YBR221C,9
YBR221W-A,3
YBR222C,12
YBR223C,10
YBR223W-A,3
YBR224W,4
YBR225W,4
YBR226C,3
YBR227C,10
YBR228W,12
YBR229C,12
YBR230C,5
YBR230W-A,3
YBR231C,6
YBR232C,4
YBR233W,9
YBR233W-A,18
YBR234C,11
YBR235W,14
YBR236C,9
YBR237W,14
YBR238C,7
YBR239C,14
YBR240C,9
YBR241C,9
YBR242W,5
YBR243C,12
YBR244W,14
YBR245C,21
YBR246W,5
YBR247C,11
YBR248C,12
YBR249C,7
YBR250W,4
YBR251W,8
YBR252W,6
YBR253W,7
YBR254C,15
YBR255C-A,4
YBR255W,6
YBR256C,3
YBR257W,13
YBR258C,5
YBR259W,3
YBR260C,14
YBR261C,6
YBR262C,8
YBR263W,10
YBR264C,12
YBR265W,10
YBR266C,4
YBR267W,11
YBR268W,7
YBR269C,5
YBR270C,3
YBR271W,6
YBR272C,7
YBR273C,5
YBR274W,15
YBR275C,13
YBR276C,12
YBR277C,3
YBR278W,10
YBR279W,22
YBR280C,6
YBR281C,10
YBR282W,7
YBR283C,11
YBR284W,5
YBR285W,3
YBR286W,11
YBR287W,5
YBR288C,14
YBR289W,9
YBR290W,14
YBR291C,4
YBR292C,4
YBR293W,11
YBR294W,5
YBR295W,19
YBR296C,9
YBR296C-A,3
YBR297W,10
YBR298C,9
YBR298C-A,3
YBR299W,14
YBR300C,4
YBR301W,7
YBR302C,5
YCL001W,13
YCL001W-A,3
YCL001W-B,6
YCL002C,5
YCL004W,10
YCL005W,7
YCL005W-A,12
YCL007C,3
YCL008C,20
YCL009C,8
YCL010C,7
YCL011C,15
YCL012C,3
YCL014W,6
YCL016C,7
YCL017C,12
YCL018W,11
YCL021W-A,4
YCL022C,3
YCL023C,3
YCL024W,23
YCL025C,10
YCL026C-A,6
YCL026C-B,5
YCL027W,7
YCL028W,5
YCL029C,20
YCL030C,13
YCL031C,8
YCL032W,9
YCL033C,5
YCL034W,8
YCL035C,9
YCL036W,4
YCL037C,7
YCL038C,8
YCL039W,7
YCL040W,21
YCL041C,3
YCL042W,3
YCL043C,9
YCL044C,6
YCL045C,6
YCL046W,3
YCL047C,12
YCL048W,8
YCL048W-A,7
YCL049C,3
YCL050C,10
YCL051W,3
YCL052C,6
YCL054W,15
YCL054W-A,3
YCL055W,9
YCL056C,6
YCL057C-A,8
YCL057W,13
YCL058C,9
YCL058W-A,4
YCL059C,13
YCL061C,19
YCL063W,6
YCL064C,7
YCL065W,4
YCL066W,6
YCL067C,8
YCL068C,3
YCL069W,11
YCL073C,14
YCL076W,3
