gene,n_terms
YEL075W-A,3
YEL076C,3
YEL076C-A,3
YEL077C,8
YEL077W-A,4
YER001W,10
YER002W,8
YER003C,9
YER004W,8
YER005W,11
YER006C-A,3
YER006W,10
YER007C-A,6
YER007W,7
YER008C,13
YER009W,8
YER010C,3
YER011W,8
YER012W,10
YER013W,22
YER014C-A,4
YER014W,7
YER015W,14
YER016W,18
YER017C,19
YER018C,10
YER019C-A,10
YER019W,15
YER020W,22
YER021W,7
YER022W,10
YER023C-A,3
YER023W,5
YER024W,8
YER025W,17
YER026C,13
YER027C,8
YER028C,11
YER029C,16
YER030W,3
YER031C,16
YER032W,4
YER033C,8
YER034W,4
YER035W,8
YER036C,9
YER037W,6
YER038C,8
YER038W-A,3
YER039C,12
YER039C-A,4
YER040W,14
YER041W,10
YER042W,4
YER043C,6
YER044C,9
YER044C-A,8
YER045C,10
YER046W,10
YER046W-A,3
YER047C,5
YER048C,6
YER048W-A,3
YER049W,13
YER050C,8
YER051W,11
YER052C,12
YER053C,8
YER053C-A,5
YER054C,6
YER055C,9
YER056C,8
YER056C-A,9
YER057C,8
YER058W,3
YER059W,7
YER060W,6
YER060W-A,8
YER061C,6
YER062C,8
YER063W,6
YER064C,5
YER065C,10
YER066C-A,3
YER066W,3
YER067C-A,4
YER067W,7
YER068C-A,4
YER068W,18
YER069W,19
YER070W,11
YER071C,6
YER072W,17
YER073W,6
YER074W,9
YER074W-A,10
YER075C,8
YER076C,4
YER076W-A,4
YER077C,3
YER078C,13
YER078W-A,3
YER079C-A,4
YER079W,4
YER080W,3
YER081W,9
YER082C,13
YER083C,11
YER084W,5
YER084W-A,4
YER085C,3
YER086W,11
YER087C-A,3
YER087C-B,11
YER087W,10
YER088C,9
YER088C-A,3
YER088W-B,3
YER089C,8
YER090C-A,3
YER090W,7
YER091C,9
YER091C-A,3
YER092W,3
YER093C,15
YER093C-A,5
YER094C,9
YER095W,31
YER096W,6
YER097W,3
YER098W,10
YER099C,15
YER100W,12
YER101C,3
YER102W,8
YER103W,13
YER104W,11
YER105C,16
YER106W,7
YER107C,16
YER107W-A,4
YER110C,14
YER111C,8
YER112W,23
YER113C,9
YER114C,13
YER115C,5
YER116C,14
YER117W,10
YER118C,15
YER119C,19
YER119C-A,3
YER120W,15
YER121W,3
YER122C,10
YER123W,19
YER124C,8
YER125W,35
YER126C,11
YER127W,12
YER128W,6
YER129W,14
YER130C,11
YER131W,12
YER132C,7
YER133W,33
YER133W-A,3
YER134C,9
YER135C,3
YER136W,7
YER137C,4
YER137W-A,3
YER138W-A,3
YER139C,12
YER140W,7
YER141W,4
YER142C,9
YER143W,17
YER144C,9
YER145C,8
YER145C-A,3
YER146W,16
YER147C,11
YER147C-A,4
YER148W,14
YER148W-A,4
YER149C,13
YER150W,9
YER151C,13
YER152C,7
YER152W-A,3
YER153C,8
YER154W,11
YER155C,15
YER156C,4
YER157W,15
YER158C,5
YER158W-A,4
YER159C,13
YER161C,7
YER162C,13
YER163C,4
YER164W,32
YER165C-A,4
YER165W,18
YER166W,28
YER167W,5
YER168C,10
YER169W,10
YER170W,18
YER171W,29
YER172C,13
YER172C-A,3
YER173W,13
YER174C,10
YER175C,7
YER175W-A,3
YER176W,14
YER177W,12
YER178W,9
YER179W,23
YER180C,6
YER180C-A,3
YER181C,5
YER182W,5
YER183C,6
YER184C,9
YER185W,3
YER186C,3
YER187W,3
YER188C-A,3
YER188W,3
YER189W,3
YER190C-A,4
YER190C-B,4
YER190W,11
YFL001W,11
YFL002C,20
YFL003C,13
YFL004W,16
YFL005W,25
YFL007W,11
YFL008W,17
YFL009W,19
YFL010C,6
YFL010W-A,3
YFL011W,18
YFL012W,3
YFL012W-A,4
YFL013C,5
YFL013W-A,4
YFL014W,12
YFL015C,4
YFL015W-A,4
YFL016C,16
YFL017C,10
YFL017W-A,22
YFL018C,13
YFL019C,3
YFL020C,8
YFL021C-A,4
YFL021W,14
YFL022C,13
YFL023W,10
YFL024C,10
YFL025C,10
YFL026W,7
YFL027C,6
YFL028C,7
YFL029C,14
YFL030W,6
YFL031C-A,3
YFL031W,10
YFL032W,4
YFL033C,15
YFL034C-A,8
YFL034C-B,13
YFL034W,8
YFL036W,13
YFL037W,16
YFL038C,32
YFL039C,20
YFL040W,7
YFL041W,12
YFL041W-A,3
YFL042C,13
YFL044C,12
YFL045C,8
YFL046W,5
YFL047W,11
YFL048C,11
YFL049W,8
YFL050C,12
YFL051C,5
YFL052W,9
YFL053W,9
YFL054C,8
YFL055W,6
YFL058W,6
YFL059W,8
YFL060C,12
YFL061W,3
YFL062W,8
YFL063W,3
YFL064C,3
YFL065C,3
YFL066C,11
YFL067W,4
YFL068W,4
YFR001W,15
YFR002W,12
YFR003C,6
YFR004W,20
YFR005C,9
YFR006W,10
YFR007W,8
YFR008W,4
YFR009W,7
YFR009W-A,3
YFR010W,11
YFR010W-A,4
YFR011C,8
YFR012W,6
YFR012W-A,3
YFR013W,6
YFR014C,13
YFR015C,7
YFR016C,6
YFR017C,3
YFR018C,5
YFR019W,20
YFR020W,4
YFR021W,29
YFR022W,6
YFR023W,11
YFR024C-A,9
YFR025C,5
YFR026C,4
YFR027W,20
YFR028C,29
YFR029W,4
YFR030W,7
YFR031C,23
YFR031C-A,11
YFR032C,9
YFR032C-A,7
YFR032C-B,4
YFR033C,9
YFR034C,10
YFR034W-A,3
YFR035C,4
YFR036W,8
YFR036W-A,4
YFR037C,14
YFR038W,12
YFR039C,3
YFR040W,9
YFR041C,5
YFR042W,7
YFR043C,3
YFR044C,9
YFR045W,6
YFR046C,9
YFR047C,7
YFR048W,8
YFR049W,5
YFR050C,11
YFR051C,13
YFR052C-A,4
YFR052W,11
YFR053C,24
YFR054C,3
YFR055W,8
YFR056C,4
YFR057W,3
YGL001C,10
YGL002W,13
YGL003C,14
YGL004C,6
YGL005C,10
YGL006W,19
YGL006W-A,3
YGL007C-A,3
YGL007W,3
YGL008C,21
YGL009C,10
YGL010W,5
YGL011C,12
YGL012W,10
YGL013C,10
YGL014C-A,3
YGL014W,8
YGL015C,4
YGL016W,8
YGL017W,3
YGL018C,6
YGL019W,9
YGL020C,14
YGL021W,17
YGL022W,10
YGL023C,10
YGL024W,4
YGL025C,11
YGL026C,7
YGL027C,12
YGL028C,12
YGL029W,6
YGL030W,8
YGL031C,10
YGL032C,6
YGL033W,9
YGL034C,5
YGL035C,11
YGL036W,8
YGL037C,10
YGL038C,12
YGL039W,8
YGL040C,10
YGL041C,4
YGL041C-B,4
YGL041W-A,4
YGL042C,4
YGL043W,15
YGL044C,7
YGL045W,8
YGL047W,8
YGL048C,18
YGL049C,15
YGL050W,9
YGL051W,10
YGL052W,3
YGL053W,6
YGL054C,13
YGL055W,12
YGL056C,6
YGL057C,5
YGL058W,27
YGL059W,12
YGL060W,4
YGL061C,19
YGL062W,12
YGL063C-A,3
YGL063W,12
YGL064C,15
YGL065C,7
YGL066W,16
YGL067W,9
YGL068W,9
YGL069C,3
YGL070C,16
YGL071W,13
YGL072C,4
YGL073W,12
YGL074C,4
YGL075C,14
YGL076C,10
YGL077C,6
YGL078C,17
YGL079W,5
YGL080W,4
YGL081W,3
YGL082W,7
YGL083W,6
YGL084C,10
YGL085W,8
YGL086W,11
YGL087C,10
YGL088W,4
YGL089C,5
YGL090W,7
YGL091C,12
YGL092W,26
YGL093W,14
YGL094C,12
YGL095C,18
YGL096W,8
YGL097W,11
YGL098W,8
YGL099W,12
YGL100W,14
YGL101W,5
YGL102C,3
YGL103W,10
YGL104C,11
YGL105W,8
YGL106W,13
YGL107C,10
YGL108C,5
YGL109W,3
YGL110C,5
YGL111W,7
YGL112C,17
YGL113W,9
YGL114W,8
YGL115W,15
YGL116W,15
YGL117W,3
YGL118C,3
YGL119W,13
YGL120C,25
YGL121C,5
YGL122C,12
YGL123C-A,3
YGL123W,16
YGL124C,17
YGL125W,6
YGL126W,12
YGL127C,10
YGL128C,8
YGL129C,9
YGL130W,10
YGL131C,12
YGL132W,3
YGL133W,8
YGL134W,7
YGL135W,11
YGL136C,8
YGL137W,18
YGL138C,3
YGL139W,8
YGL140C,4
YGL141W,12
YGL142C,10
YGL143C,5
YGL144C,6
YGL145W,11
YGL146C,3
YGL147C,8
YGL148W,8
YGL149W,4
YGL150C,21
YGL151W,7
YGL152C,4
YGL153W,8
YGL154C,5
YGL155W,8
YGL156W,14
YGL157W,6
YGL158W,14
YGL159W,4
YGL160W,9
YGL161C,5
YGL162W,7
YGL163C,19
YGL164C,6
YGL165C,4
YGL166W,14
YGL167C,21
YGL168W,7
YGL169W,20
YGL170C,7
YGL171W,20
YGL172W,20
YGL173C,32
YGL174W,8
YGL175C,16
YGL176C,3
YGL177W,3
YGL178W,10
YGL179C,12
YGL180W,31
YGL181W,11
YGL182C,3
YGL183C,9
YGL184C,9
YGL185C,6
YGL186C,8
YGL187C,11
YGL188C,3
YGL188C-A,3
YGL189C,12
YGL190C,14
YGL191W,11
YGL192W,12
YGL193C,3
YGL194C,12
YGL194C-A,4
YGL195W,9
YGL196W,4
YGL197W,9
YGL198W,7
YGL199C,3
YGL200C,15
YGL201C,27
YGL202W,11
YGL203C,9
YGL204C,4
YGL205W,10
YGL206C,14
YGL207W,17
YGL208W,7
YGL209W,9
YGL210W,15
YGL211W,14
YGL212W,20
YGL213C,11
YGL214W,4
YGL215W,5
YGL216W,25
YGL217C,3
YGL218W,3
YGL219C,13
YGL220W,7
YGL221C,4
YGL222C,7
YGL223C,10
YGL224C,4
YGL225W,11
YGL226C-A,7
YGL226W,4
YGL227W,7
YGL228W,5
YGL229C,8
YGL230C,5
YGL231C,6
YGL232W,7
YGL233W,14
YGL234W,15
YGL235W,3
YGL236C,7
YGL237C,11
YGL238W,13
YGL239C,4
YGL240W,11
YGL241W,13
YGL242C,3
YGL243W,8
YGL244W,16
YGL245W,14
YGL246C,19
YGL247W,11
YGL248W,6
YGL249W,14
YGL250W,5
YGL251C,17
YGL252C,8
YGL253W,27
YGL254W,9
YGL255W,13
YGL256W,6
YGL257C,11
YGL258W,6
YGL258W-A,3
YGL259W,3
YGL260W,3
YGL261C,6
YGL262W,3
YGL263W,5
YGR001C,8
YGR002C,12
YGR003W,9
YGR004W,8
YGR005C,9
YGR006W,8
YGR007W,9
YGR008C,3
YGR009C,12
YGR010W,10
YGR011W,3
YGR012W,7
YGR013W,10
YGR014W,11
YGR015C,5
YGR016W,4
YGR017W,6
YGR018C,3
YGR019W,6
YGR020C,11
YGR021W,4
YGR022C,3
YGR023W,7
YGR024C,11
YGR025W,3
YGR026W,8
YGR027C,6
YGR028W,9
YGR029W,8
YGR030C,15
YGR031C-A,6
YGR031W,5
YGR032W,12
YGR033C,7
YGR034W,10
YGR035C,3
YGR035W-A,3
YGR036C,9
YGR037C,7
YGR038W,9
YGR039W,3
YGR040W,19
YGR041W,6
YGR042W,5
YGR043C,7
YGR044C,13
YGR045C,4
YGR046W,10
YGR047C,9
YGR048W,18
YGR049W,6
YGR050C,3
YGR051C,3
YGR052W,14
YGR053C,3
YGR054W,9
YGR055W,10
YGR056W,12
YGR057C,5
YGR058W,12
YGR059W,17
YGR060W,12
YGR061C,9
YGR062C,6
YGR063C,22
YGR064W,3
YGR065C,6
YGR066C,10
YGR067C,11
YGR068C,7
YGR068W-A,3
YGR069W,4
YGR070W,4
YGR071C,8
YGR072W,9
YGR073C,4
YGR074W,23
YGR075C,8
YGR076C,6
YGR077C,6
YGR078C,7
YGR079W,3
YGR080W,12
YGR081C,8
YGR082W,10
YGR083C,10
YGR084C,6
YGR085C,11
YGR086C,12
YGR087C,19
YGR088W,12
YGR089W,5
YGR090W,12
YGR091W,15
YGR092W,20
YGR093W,8
YGR094W,13
YGR095C,17
YGR096W,4
YGR097W,2
YGR098C,20
YGR099W,11
YGR100W,4
YGR101W,9
YGR102C,9
YGR103W,15
YGR104C,11
YGR105W,7
YGR106C,8
YGR107W,3
YGR108W,11
YGR109C,11
YGR110W,10
YGR111W,4
YGR112W,6
YGR113W,21
YGR114C,4
YGR115C,4
YGR116W,20
YGR117C,4
YGR118W,7
YGR119C,12
YGR120C,12
YGR121C,6
YGR121W-A,3
YGR122C-A,3
YGR122W,6
YGR123C,10
YGR124W,7
YGR125W,6
YGR126W,4
YGR127W,6
YGR128C,14
YGR129W,13
YGR130C,4
YGR131W,8
YGR132C,8
YGR133W,14
YGR134W,6
YGR135W,13
YGR136W,7
YGR137W,4
YGR138C,10
YGR139W,3
YGR140W,16
YGR141W,6
YGR142W,14
YGR143W,8
YGR144W,10
YGR145W,9
YGR146C,3
YGR146C-A,4
YGR147C,5
YGR148C,10
YGR149W,8
YGR150C,7
YGR151C,4
YGR152C,22
YGR153W,3
YGR154C,7
YGR155W,12
YGR156W,10
YGR157W,11
YGR158C,17
YGR159C,15
YGR160W,4
YGR161C,4
YGR161W-C,3
YGR162W,16
YGR163W,20
YGR164W,3
YGR165W,6
YGR166W,8
YGR167W,15
YGR168C,4
YGR169C,11
YGR169C-A,6
YGR170W,14
YGR171C,9
YGR172C,12
YGR173W,6
YGR174C,6
YGR174W-A,3
YGR175C,12
YGR176W,3
YGR177C,11
YGR178C,12
YGR179C,10
YGR180C,7
YGR181W,10
YGR182C,3
YGR183C,8
YGR184C,15
YGR185C,11
YGR186W,8
YGR187C,4
YGR188C,17
YGR189C,14
YGR190C,3
YGR191W,12
YGR192C,22
YGR193C,6
YGR194C,10
YGR195W,16
YGR196C,4
YGR197C,7
YGR198W,12
YGR199W,10
YGR200C,9
YGR201C,6
YGR202C,11
YGR203W,8
YGR204C-A,3
YGR204W,18
YGR205W,8
YGR206W,12
YGR207C,7
YGR208W,8
YGR209C,14
YGR210C,6
YGR211W,6
YGR212W,7
YGR213C,5
YGR214W,15
YGR215W,6
YGR216C,6
YGR217W,10
YGR218W,23
YGR219W,5
YGR220C,7
YGR221C,8
YGR222W,13
YGR223C,17
YGR224W,7
YGR225W,14
YGR226C,4
YGR227C-A,3
YGR227W,9
YGR228W,4
YGR229C,10
YGR230W,3
YGR231C,8
YGR232W,4
YGR233C,7
YGR234W,13
YGR235C,7
YGR236C,6
YGR237C,3
YGR238C,9
YGR239C,6
YGR240C,18
YGR240C-A,3
YGR241C,17
YGR242W,4
YGR243W,5
YGR244C,9
YGR245C,9
YGR246C,12
YGR247W,4
YGR248W,8
YGR249W,9
YGR250C,5
YGR251W,12
YGR252W,17
YGR253C,12
YGR254W,13
YGR255C,12
YGR256W,6
YGR257C,6
YGR258C,16
YGR259C,3
YGR260W,8
YGR261C,13
YGR262C,21
YGR263C,9
YGR264C,12
YGR265W,4
YGR266W,7
YGR267C,12
YGR268C,3
YGR269W,5
YGR270C-A,4
YGR270W,17
YGR271C-A,7
YGR271W,18
YGR273C,3
YGR274C,17
YGR275W,8
YGR276C,11
YGR277C,10
YGR278W,10
YGR279C,14
YGR280C,7
YGR281W,11
YGR282C,13
YGR283C,5
YGR284C,9
YGR285C,14
YGR286C,10
YGR287C,13
YGR288W,11
YGR289C,11
YGR290W,3
YGR291C,3
YGR292W,14
YGR293C,4
YGR294W,7
YGR295C,5
YGR296C-A,4
YGR296C-B,4
YGR296W,10
YHL001W,12
YHL002C-A,4
YHL002W,17
YHL003C,7
YHL004W,8
YHL005C,4
YHL006C,10
YHL006W-A,3
YHL007C,29
YHL008C,6
YHL009C,11
YHL010C,9
YHL011C,16
YHL012W,8
YHL013C,4
YHL014C,7
YHL015W,10
YHL015W-A,3
YHL016C,10
YHL017W,7
YHL018W,4
YHL019C,21
YHL019W-A,4
YHL020C,16
YHL021C,6
YHL022C,18
YHL023C,13
YHL024W,11
YHL025W,9
YHL026C,4
YHL027W,10
YHL028W,7
YHL029C,3
YHL030W,6
YHL030W-A,3
YHL031C,13
YHL032C,13
YHL033C,9
YHL034C,12
YHL034W-A,3
YHL035C,14
YHL036W,8
YHL037C,4
YHL038C,6
YHL039W,8
YHL040C,18
YHL041W,3
YHL042W,4
YHL043W,5
YHL044W,4
YHL045W,4
YHL046C,6
YHL046W-A,3
YHL047C,14
YHL048C-A,3
YHL048W,5
YHL049C,3
YHL050C,7
YHL050W-A,4
YHR001W,18
YHR001W-A,6
YHR002W,4
YHR003C,7
YHR004C,16
YHR005C,19
YHR005C-A,11
YHR006W,12
YHR007C,14
YHR007C-A,4
YHR008C,11
YHR009C,7
YHR010W,7
YHR011W,11
YHR012W,7
YHR013C,6
YHR014W,8
YHR015W,11
YHR016C,8
YHR017W,5
YHR018C,5
YHR019C,10
YHR020W,12
YHR021C,12
YHR021W-A,5
YHR022C,15
YHR022C-A,3
YHR023W,19
YHR024C,6
YHR025W,11
YHR026W,10
YHR027C,12
YHR028C,12
YHR028W-A,3
YHR029C,7
YHR030C,25
YHR031C,22
YHR032C-A,3
YHR032W,8
YHR032W-A,3
YHR033W,13
YHR034C,11
YHR035W,11
YHR036W,10
YHR037W,8
YHR038W,6
YHR039C,6
YHR039C-A,10
YHR040W,9
YHR041C,10
YHR042W,19
YHR043C,7
YHR044C,6
YHR045W,4
YHR046C,7
YHR047C,13
YHR048W,10
YHR049C-A,4
YHR049W,7
YHR050W,18
YHR050W-A,3
YHR051W,9
YHR052C-B,3
YHR052W,17
YHR052W-A,4
YHR053C,6
YHR054C,7
YHR054C-B,3
YHR054W-A,4
YHR055C,6
YHR056C,15
YHR056W-A,4
YHR057C,9
YHR058C,8
YHR059W,6
YHR060W,4
YHR061C,12
YHR062C,12
YHR063C,5
YHR063W-A,4
YHR064C,15
YHR065C,16
YHR066W,10
YHR067W,5
YHR068W,2
YHR069C,16
YHR069C-A,4
YHR070C-A,3
YHR070W,11
YHR071C-A,3
YHR071W,8
YHR072W,11
YHR072W-A,12
YHR073C-B,3
YHR073W,21
YHR073W-A,3
YHR074W,7
YHR075C,3
YHR076W,8
YHR077C,5
YHR078W,4
YHR079C,27
YHR079C-A,10
YHR080C,12
YHR081W,17
YHR082C,18
YHR083W,8
YHR084W,13
YHR085W,10
YHR086W,14
YHR086W-A,3
YHR087W,5
YHR088W,14
YHR089C,9
YHR090C,16
YHR091C,11
YHR092C,16
YHR093W,3
YHR094C,17
YHR095W,3
YHR096C,14
YHR097C,6
YHR098C,18
YHR099W,11
YHR100C,9
YHR101C,7
YHR102W,13
YHR103W,6
YHR104W,10
YHR105W,8
YHR106W,7
YHR107C,27
YHR108W,15
YHR109W,8
YHR110W,12
YHR111W,20
YHR112C,7
YHR113W,13
YHR114W,15
YHR115C,14
YHR116W,5
YHR117W,7
YHR118C,10
YHR119W,21
YHR120W,16
YHR121W,5
YHR122W,6
YHR123W,15
YHR124W,10
YHR125W,3
YHR126C,7
YHR127W,4
YHR128W,9
YHR129C,10
YHR130C,4
YHR131C,4
YHR131W-A,3
YHR132C,8
YHR132W-A,4
YHR133C,8
YHR134W,18
YHR135C,19
YHR136C,4
YHR137C-A,3
YHR137W,12
YHR138C,3
YHR139C,4
YHR139C-A,3
YHR140W,7
YHR141C,10
YHR142W,11
YHR143W,10
YHR143W-A,19
YHR144C,10
YHR145C,4
YHR146W,7
YHR147C,9
YHR148W,13
YHR149C,6
YHR150W,6
YHR151C,4
YHR152W,6
YHR153C,8
YHR154W,10
YHR155W,9
YHR156C,6
YHR157W,5
YHR158C,12
YHR159W,3
YHR160C,6
YHR161C,16
YHR162W,4
YHR163W,8
YHR164C,31
YHR165C,21
YHR165W-A,3
YHR166C,12
YHR167W,8
YHR168W,10
YHR169W,18
YHR170W,9
YHR171W,16
YHR172W,16
YHR173C,3
YHR174W,14
YHR175W,10
YHR175W-A,4
YHR176W,7
YHR177W,3
YHR178W,12
YHR179W,7
YHR180C-B,3
YHR180W,4
YHR180W-A,4
YHR181W,12
YHR182C-A,3
YHR182W,7
YHR183W,8
YHR184W,10
YHR185C,8
YHR186C,17
YHR187W,10
YHR188C,6
YHR189W,4
YHR190W,19
YHR191C,9
YHR192W,9
YHR193C,10
YHR193C-A,3
YHR194W,8
YHR195W,10
YHR196W,14
YHR197W,9
YHR198C,4
YHR199C,4
YHR199C-A,7
YHR200W,8
YHR201C,7
YHR202W,6
YHR203C,11
YHR204W,13
YHR205W,18
YHR206W,12
YHR207C,10
YHR208W,13
YHR209W,8
YHR210C,9
YHR211W,7
YHR212C,3
YHR212W-A,3
YHR213W,4
YHR213W-A,4
YHR213W-B,3
YHR214C-D,4
YHR214C-E,3
YHR214W,6
YHR214W-A,3
YHR215W,6
YHR216W,12
YHR217C,3
YHR218W,5
YHR218W-A,3
YHR219C-A,4
YHR219W,4
YIL001W,4
YIL002C,15
YIL002W-A,3
YIL003W,10
YIL004C,16
YIL005W,9
YIL006W,5
YIL007C,5
YIL008W,10
YIL009C-A,9
YIL009W,13
YIL010W,13
YIL011W,10
YIL012W,3
YIL013C,10
YIL014C-A,3
YIL014W,10
YIL015W,11
YIL016W,10
YIL017C,9
YIL018W,9
YIL019W,6
YIL020C,7
YIL020C-A,4
YIL021C-A,3
YIL021W,15
YIL022W,11
YIL023C,13
YIL024C,3
YIL025C,3
YIL026C,14
YIL027C,7
YIL028W,3
YIL029C,3
YIL029W-A,3
YIL030C,14
YIL030W-A,4
YIL031W,10
YIL032C,3
YIL033C,10
YIL034C,16
YIL035C,16
YIL036W,11
YIL037C,3
YIL038C,10
YIL039W,5
YIL040W,9
YIL041W,9
YIL042C,14
YIL043C,10
YIL044C,9
YIL045W,6
YIL046W,14
YIL046W-A,4
YIL047C,12
YIL047C-A,3
YIL048W,27
YIL049W,11
YIL050W,10
YIL051C,6
YIL052C,8
YIL053W,7
YIL054W,4
YIL055C,3
YIL056W,7
YIL057C,3
YIL058W,3
YIL059C,3
YIL060W,4
YIL061C,13
YIL062C,12
YIL063C,11
YIL064W,7
YIL065C,10
YIL066C,11
YIL066W-A,4
YIL067C,6
YIL068C,9
YIL068W-A,3
YIL069C,8
YIL070C,5
YIL071C,7
YIL071W-A,4
YIL072W,11
YIL073C,6
YIL074C,9
YIL075C,10
YIL076W,16
YIL077C,5
YIL078W,12
YIL079C,10
YIL082W,7
YIL083C,6
YIL084C,15
YIL085C,11
YIL086C,3
YIL087C,5
YIL088C,17
YIL089W,7
YIL090W,9
YIL091C,10
YIL092W,5
YIL093C,6
YIL094C,11
YIL095W,15
YIL096C,9
YIL097W,11
YIL098C,5
YIL099W,10
YIL100C-A,4
YIL100W,3
YIL101C,9
YIL102C,3
YIL102C-A,7
YIL103W,6
YIL104C,5
YIL105C,9
YIL105W-A,3
YIL106W,18
YIL107C,12
YIL108W,8
YIL109C,21
YIL110W,8
YIL111W,8
YIL112W,3
YIL113W,9
YIL114C,9
YIL115C,17
YIL115W-A,3
YIL116W,7
YIL117C,5
YIL118W,13
YIL119C,5
YIL120W,6
YIL121W,10
YIL122W,6
YIL123W,12
YIL124W,13
YIL125W,9
YIL126W,24
YIL127C,4
YIL128W,7
YIL129C,9
YIL130W,10
YIL131C,15
YIL132C,11
YIL133C,13
YIL134C-A,4
YIL134W,7
YIL135C,3
YIL136W,5
YIL137C,14
YIL138C,10
YIL139C,7
YIL140W,10
YIL141W,3
YIL142C-A,3
YIL142W,10
YIL143C,24
YIL144W,12
YIL145C,6
YIL146C,9
YIL147C,14
YIL148W,16
YIL149C,18
YIL150C,17
YIL151C,7
YIL152W,3
YIL153W,13
YIL154C,4
YIL155C,9
YIL156W,10
YIL156W-A,4
YIL156W-B,7
YIL157C,6
YIL158W,9
YIL159W,11
YIL160C,11
YIL161W,3
YIL162W,13
YIL163C,3
YIL164C,3
YIL165C,5
YIL166C,9
YIL169C,12
YIL171W-A,4
YIL172C,14
YIL173W,12
YIL176C,6
YIL177C,8
YIL177W-A,4
YIR001C,5
YIR002C,17
YIR003W,7
YIR004W,10
YIR005W,14
YIR006C,21
YIR007W,13
YIR008C,12
YIR009W,9
YIR010W,11
YIR011C,7
YIR012W,5
YIR013C,7
YIR014W,9
YIR015W,11
YIR016W,5
YIR017C,12
YIR017W-A,4
YIR018C-A,3
YIR018W,9
YIR019C,12
YIR020C,3
YIR020C-B,3
YIR020W-A,3
YIR021W,12
YIR021W-A,4
YIR022W,10
YIR023C-A,4
YIR023W,10
YIR024C,4
YIR025W,10
YIR026C,10
YIR027C,9
YIR028W,9
YIR029W,4
YIR030C,2
YIR030W-A,3
YIR031C,10
YIR032C,4
YIR033W,7
YIR034C,8
YIR035C,4
YIR036C,4
YIR036W-A,4
YIR037W,14
YIR038C,12
YIR039C,11
YIR040C,3
YIR041W,6
YIR042C,4
YJL001W,14
YJL002C,9
YJL003W,6
YJL004C,10
YJL005W,11
YJL006C,13
YJL007C,4
YJL008C,9
YJL009W,3
YJL010C,12
YJL011C,10
YJL012C,19
YJL013C,8
YJL014W,9
YJL015C,3
YJL016W,3
YJL019W,24
YJL020C,5
YJL020W-A,3
YJL022W,3
YJL023C,5
YJL024C,13
YJL025W,9
YJL026C-A,3
YJL026W,8
YJL027C,3
YJL028W,4
YJL029C,12
YJL030W,10
YJL031C,11
YJL032W,3
YJL033W,16
YJL034W,21
YJL035C,11
YJL036W,20
YJL037W,4
YJL038C,5
YJL039C,8
YJL041W,17
YJL042W,7
YJL043W,4
YJL044C,6
YJL045W,11
YJL046W,7
YJL047C,16
YJL047C-A,3
YJL048C,5
YJL049W,11
YJL050W,29
YJL051W,6
YJL052C-A,3
YJL052W,15
YJL053W,10
YJL054W,11
YJL055W,6
YJL056C,9
YJL057C,12
YJL058C,12
YJL059W,8
YJL060W,8
YJL061W,15
YJL062W,10
YJL062W-A,5
YJL063C,7
YJL064W,3
YJL065C,9
YJL066C,6
YJL067W,4
YJL068C,6
YJL069C,12
YJL070C,5
YJL071W,7
YJL072C,13
YJL073W,10
YJL074C,17
YJL075C,3
YJL076W,9
YJL077C,4
YJL077W-A,3
YJL077W-B,3
YJL078C,10
YJL079C,9
YJL080C,19
YJL081C,17
YJL082W,5
YJL083W,3
YJL084C,8
YJL085W,18
YJL086C,4
YJL087C,19
YJL088W,8
YJL089W,10
YJL090C,13
YJL091C,9
YJL092W,17
YJL093C,8
YJL094C,14
YJL095W,18
YJL096W,8
YJL097W,16
YJL098W,8
YJL099W,9
YJL100W,19
YJL101C,7
YJL102W,9
YJL103C,12
YJL104W,8
YJL105W,10
YJL106W,14
YJL107C,5
YJL108C,6
YJL109C,18
YJL110C,13
YJL111W,9
YJL112W,6
YJL115W,12
YJL116C,6
YJL117W,6
YJL118W,4
YJL119C,3
YJL120W,4
YJL121C,9
YJL122W,5
YJL123C,7
YJL124C,14
YJL125C,7
YJL126W,6
YJL127C,11
YJL127C-B,6
YJL127W-A,3
YJL128C,23
YJL129C,14
YJL130C,17
YJL131C,3
YJL132W,6
YJL133C-A,5
YJL133W,7
YJL134W,9
YJL135W,3
YJL136C,9
YJL136W-A,3
YJL137C,5
YJL138C,20
YJL139C,12
YJL140W,18
YJL141C,12
YJL142C,5
YJL143W,7
YJL144W,4
YJL145W,19
YJL146W,6
YJL147C,3
YJL148W,7
YJL149W,5
YJL150W,3
YJL151C,12
YJL152W,4
YJL153C,4
YJL154C,12
YJL155C,11
YJL156C,7
YJL156W-A,4
YJL157C,12
YJL158C,10
YJL159W,8
YJL160C,7
YJL161W,5
YJL162C,7
YJL163C,6
YJL164C,21
YJL165C,12
YJL166W,6
YJL167W,10
YJL168C,17
YJL169W,3
YJL170C,5
YJL171C,8
YJL172W,12
YJL173C,20
YJL174W,8
YJL175W,4
YJL176C,12
YJL177W,9
YJL178C,22
YJL179W,7
YJL180C,5
YJL181W,3
YJL182C,4
YJL183W,10
YJL184W,10
YJL185C,5
YJL186W,7
YJL187C,20
YJL188C,3
YJL189W,7
YJL190C,7
YJL191W,14
YJL192C,6
YJL193W,7
YJL194W,22
YJL195C,4
YJL196C,10
YJL197C-A,3
YJL197W,8
YJL198W,8
YJL199C,3
