pair,f_i,f_j,f_ij,mult,add
FKH1-GCN5,0.9168421551749054,1.0580767907963284,1.5291077090557397,0.9700894052142532,0.974918945971234
FKH1-MED4,0.9168421551749054,0.6856565140873089,0.7041407948182581,0.6286387960855212,0.6024986692622143
FKH1-OPI1,0.9168421551749054,0.8408572711869856,1.4873808060032758,0.7709333927095657,0.757699426361891
FKH1-RFX1,0.9168421551749054,0.9136686175493705,1.6261426401512902,0.8376899044296412,0.830510772724276
FKH1-RGR1,0.9168421551749054,0.9121109966844412,1.482014043627414,0.836261811958894,0.8289531518593467
FKH1-RPD3,0.9168421551749054,0.5245219492978349,1.2931647006822407,0.48090383443076945,0.4413641044727403
FKH1-SPT3,0.9168421551749054,0.8907531667337314,1.5673819686735069,0.8166800531170262,0.8075953219086367
FKH1-TFC7,0.9168421551749054,0.777617428881443,1.263525411002303,0.712952439397231,0.6944595840563483
FKH1-YAP6,0.9168421551749054,0.8684785485718479,1.6193543023182928,0.7962577441957868,0.7853207037467533
GCN5-MED4,1.0580767907963284,0.6856565140873089,0.9425285934061008,0.7254772440140973,0.7437333048836372
GCN5-OPI1,1.0580767907963284,0.8408572711869856,0.8604994155795861,0.8896915630152837,0.8989340619833142
GCN5-RFX1,1.0580767907963284,0.9136686175493705,1.0302478078957,0.9667315587079559,0.9717454083456989
GCN5-RGR1,1.0580767907963284,0.9121109966844412,0.9441231404177625,0.965083476221914,0.9701877874807696
GCN5-RPD3,1.0580767907963284,0.5245219492978349,0.7392215760417185,0.5549845008152876,0.5825987400941632
GCN5-SPT3,1.0580767907963284,0.8907531667337314,1.0874820362577737,0.9424852520492933,0.9488299575300598
GCN5-TFC7,1.0580767907963284,0.777617428881443,1.8013462941834988,0.8227789536181694,0.8356942196777715
GCN5-YAP6,1.0580767907963284,0.8684785485718479,1.0601888072529837,0.918916995548354,0.9265553393681762
MED4-OPI1,0.6856565140873089,0.8408572711869856,1.4600980670120252,0.5765392654070355,0.5265137852742945
MED4-RFX1,0.6856565140873089,0.9136686175493705,1.1787334299194023,0.6264628393398719,0.5993251316366792
MED4-RGR1,0.6856565140873089,0.9121109966844412,1.2065282309647662,0.6253948464473549,0.5977675107717499
MED4-RPD3,0.6856565140873089,0.5245219492978349,1.0664621276410557,0.35964189131783364,0.2101784633851438
MED4-SPT3,0.6856565140873089,0.8907531667337314,1.0895032312814152,0.6107507112148817,0.5764096808210404
MED4-TFC7,0.6856565140873089,0.777617428881443,1.1429431925170803,0.533178455580386,0.463273942968752
MED4-YAP6,0.6856565140873089,0.8684785485718479,1.169734037560744,0.5954779741733788,0.5541350626591568
OPI1-RFX1,0.8408572711869856,0.9136686175493705,1.0858222433105054,0.7682649005217492,0.7545258887363562
OPI1-RGR1,0.8408572711869856,0.9121109966844412,0.7789430353292615,0.7669551636917209,0.7529682678714269
OPI1-RPD3,0.8408572711869856,0.5245219492978349,0.9249419395612837,0.4410480949642559,0.3653792204848205
OPI1-SPT3,0.8408572711869856,0.8907531667337314,1.0354219827164848,0.7489962770808913,0.7316104379207169
OPI1-TFC7,0.8408572711869856,0.777617428881443,0.8804047521385177,0.6538652692766901,0.6184747000684285
OPI1-YAP6,0.8408572711869856,0.8684785485718479,0.9905665224370995,0.730266502436558,0.7093358197588335
RFX1-RGR1,0.9136686175493705,0.9121109966844412,1.033343888300517,0.8333671933922517,0.8257796142338116
RFX1-RPD3,0.9136686175493705,0.5245219492978349,1.061270707627734,0.4792392442892538,0.43819056684720525
RFX1-SPT3,0.9136686175493705,0.8907531667337314,1.0635130373330814,0.8138532144273323,0.8044217842831018
RFX1-TFC7,0.9136686175493705,0.777617428881443,0.960252948976639,0.7104846412284039,0.6912860464308135
RFX1-YAP6,0.9136686175493705,0.8684785485718479,0.9940723953832248,0.7935015948449241,0.7821471661212183
RGR1-RPD3,0.9121109966844412,0.5245219492978349,0.8439213619220303,0.47842223795691413,0.436632945982276
RGR1-SPT3,0.9121109966844412,0.8907531667337314,1.043866930768184,0.8124657587093259,0.8028641634181726
RGR1-TFC7,0.9121109966844412,0.777617428881443,1.1143103595541453,0.7092734080962455,0.6897284255658842
RGR1-YAP6,0.9121109966844412,0.8684785485718479,0.9902798170515658,0.7921488345369251,0.780589545256289
RPD3-SPT3,0.5245219492978349,0.8907531667337314,0.8701657519569722,0.46721958735839614,0.4152751160315664
RPD3-TFC7,0.5245219492978349,0.777617428881443,0.752175313782936,0.407877409604865,0.30213937817927805
RPD3-YAP6,0.5245219492978349,0.8684785485718479,0.8548333792880367,0.4555360612202601,0.39300049786968283
SPT3-TFC7,0.8907531667337314,0.777617428881443,1.128788331987169,0.6926651872834876,0.6683705956151744
SPT3-YAP6,0.8907531667337314,0.8684785485718479,1.1923105602609056,0.7736000173806883,0.7592317153055794
TFC7-YAP6,0.777617428881443,0.8684785485718479,1.1970334696385556,0.6753440559791278,0.6460959774532911
