gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
F_MED4,digenic,C14:0,-2.1202865411845098,0.5922530628551824,0.34193746526781993,0.02503529469392718,0.08633802185623442,2.1202865411845098,True,False
F_MED4,digenic,C16:0,0.13389437422677736,0.11963969948868523,0.06907401270555835,0.1921478626184714,0.26643524622389597,0.13389437422677736,False,False
F_MED4,digenic,C18:0,0.12312248503553536,0.10989046195631574,0.06344528779185123,0.19183118053792714,0.26643524622389597,0.12312248503553536,False,False
F_MED4,digenic,C16:1,-0.3451455024122374,0.22308378559170342,0.12879748366321073,0.11560152009052937,0.18690066122420917,0.3451455024122374,False,False
F_MED4,digenic,C18:1,0.23003590520298056,0.14697719917304833,0.08485732550729669,0.11339562990109386,0.18668792727619113,0.23003590520298056,False,False
F_MED4,digenic,Total Titer,0.07550199873273677,0.12227681491286618,0.07059655200559334,0.3968191631036704,0.450173000159626,0.07550199873273677,False,False
GCN5_RPD3,digenic,C14:0,-1.0303233431422072,0.4633501997079294,0.26767219354931626,0.16181310437059349,0.23617466545667654,1.0303233431422072,False,False
GCN5_RPD3,digenic,C16:0,0.1921397679465666,0.13391522137582382,0.0776957069881887,0.244632988054986,0.31603304676959915,0.1921397679465666,False,False
GCN5_RPD3,digenic,C18:0,0.19504356240943624,0.10530775093486892,0.06081761735475017,0.1924254556061471,0.26643524622389597,0.19504356240943624,False,False
GCN5_RPD3,digenic,C16:1,-0.5889840350900823,0.2651917123428805,0.1620183777746443,0.17089523650286398,0.24674713291857367,0.5889840350900823,False,False
GCN5_RPD3,digenic,C18:1,0.1918793120192367,0.16008529976185568,0.09793359825537597,0.30043762996269496,0.36375856542568447,0.1918793120192367,False,False
GCN5_RPD3,digenic,Total Titer,0.18423707522643074,0.1568569188466998,0.0917951372277483,0.2942726157823963,0.35951858036763346,0.18423707522643074,False,False
RPD3_TFC7,digenic,C14:0,-0.5331864504180803,0.7832515311807142,0.452210482370372,0.3596375077213336,0.4149663550630773,0.5331864504180803,False,False
RPD3_TFC7,digenic,C16:0,0.5033391140356189,0.06494301578675388,0.03749486764646846,0.005503331008916312,0.06662778638829758,0.5033391140356189,True,False
RPD3_TFC7,digenic,C18:0,0.4997712172684362,0.0713408879992327,0.04118868089058394,0.006723816428653828,0.06662778638829758,0.4997712172684362,True,False
RPD3_TFC7,digenic,C16:1,-0.21595857174230149,0.27287937779847515,0.15754698222824723,0.3040117033547327,0.3664426781507939,0.21595857174230149,False,False
RPD3_TFC7,digenic,C18:1,0.16148837797534915,0.031809142480816205,0.0183650169739904,0.01268741890607461,0.06713427497908597,0.16148837797534915,True,False
RPD3_TFC7,digenic,Total Titer,0.34429790417807093,0.054310187780121456,0.03135600153459225,0.008192379901063696,0.06662778638829758,0.34429790417807093,True,False
OPI1_RGR1,digenic,C14:0,-1.9704892175000672,0.9458073542010873,0.5460621305495255,0.06894774619261845,0.1389245632239327,1.9704892175000672,False,False
OPI1_RGR1,digenic,C16:0,0.15565222725283068,0.09417750440893338,0.05437340752210486,0.10343919755961917,0.17698559464804392,0.15565222725283068,False,False
OPI1_RGR1,digenic,C18:0,0.1559088142800258,0.11782986456261868,0.06802910402380503,0.14898502897793997,0.22472602136337314,0.1559088142800258,False,False
OPI1_RGR1,digenic,C16:1,-0.6100455380597347,0.16811420414568667,0.0970607810181119,0.02439176006999122,0.08633802185623442,0.6100455380597347,True,False
OPI1_RGR1,digenic,C18:1,-0.10200688795604762,0.0663918422755609,0.03833134800979025,0.11694724527293854,0.18795092990293694,0.10200688795604762,False,False
OPI1_RGR1,digenic,Total Titer,0.011987871637540448,0.055710558165728494,0.03216450575368765,0.7451591487271767,0.7664621307517051,0.011987871637540448,False,False
