gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,df_effective,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RPD3_SPT3_YAP6,trigenic,C14:0,0.8867026378541345,1.0582211630910714,0.610964273372789,0.23487396125214377,3.2900471782471206,0.29472760691393785,0.8867026378541345,False,False
RPD3_SPT3_YAP6,trigenic,C16:0,-0.9347061890204297,0.0876210223957266,0.050588020866842984,9.4995316723967e-08,7.846111836592969,9.689522305844633e-06,0.9347061890204297,True,True
RPD3_SPT3_YAP6,trigenic,C18:0,-1.1037946629720092,0.09485246982963999,0.05476309898944351,4.0177338234137494e-07,6.5257224795588,2.390551624931181e-05,1.1037946629720092,True,True
RPD3_SPT3_YAP6,trigenic,C16:1,0.03371811620356091,0.35313023660174025,0.20387983716101096,0.8778343008713707,3.4643682216941247,0.8938223478947624,0.03371811620356091,False,False
RPD3_SPT3_YAP6,trigenic,C18:1,-0.4398039627526877,0.07496076162597631,0.043278615903416806,0.0005065988292194401,4.032751207417905,0.003897700758375001,0.4398039627526877,True,True
RPD3_SPT3_YAP6,trigenic,Total Titer,-0.8405384408201078,0.061345907475555544,0.035418076194693865,1.4600105702200494e-07,6.503177854370618,1.017798099328166e-05,0.8405384408201078,True,True
RPD3_TFC7_YAP6,trigenic,C14:0,1.0665389438876272,1.7331526562566113,1.0006361526364695,0.3486839497194334,3.8519446433961093,0.4128695524041052,1.0665389438876272,False,False
RPD3_TFC7_YAP6,trigenic,C16:0,-0.8491122163242046,0.07405466917488744,0.04275548318286994,1.430908280752874e-09,10.338687220924594,6.81679808600677e-07,0.8491122163242046,True,True
RPD3_TFC7_YAP6,trigenic,C18:0,-0.9986394405456948,0.0780555949410288,0.045065418750959374,1.5513612217077366e-07,6.722191530930166,1.017798099328166e-05,0.9986394405456948,True,True
RPD3_TFC7_YAP6,trigenic,C16:1,0.2921703544586991,0.5197026270504351,0.3000504516261244,0.38332577705272564,4.161648090873199,0.44795234930220473,0.2921703544586991,False,False
RPD3_TFC7_YAP6,trigenic,C18:1,-0.2888577984627492,0.05903980309934606,0.03408664621230995,0.0038404055521177316,2.915652724997015,0.013779143538754072,0.2888577984627492,True,True
RPD3_TFC7_YAP6,trigenic,Total Titer,-0.7406107855146467,0.04821444757242412,0.027836624284768165,2.598921522434239e-09,8.277479605171152,6.81679808600677e-07,0.7406107855146467,True,True
RPD3_SPT3_TFC7,trigenic,C14:0,1.2021550305217765,1.4227391612798659,0.8214188377515529,0.24798186624164997,2.732257604425214,0.3073941883620453,1.2021550305217765,False,False
RPD3_SPT3_TFC7,trigenic,C16:0,-0.8581610369880002,0.14697893830832623,0.08485832959751755,0.0024090461370147587,2.89116115133715,0.010446435542437812,0.8581610369880002,True,True
RPD3_SPT3_TFC7,trigenic,C18:0,-0.9777832275377566,0.155094167937703,0.08954365960857386,0.0018039278417367743,2.9384523917117757,0.008363665448052317,0.9777832275377566,True,True
RPD3_SPT3_TFC7,trigenic,C16:1,0.21259277412786415,0.38399671204375957,0.22170060506639577,0.38270171728177393,4.87548520630625,0.44795234930220473,0.21259277412786415,False,False
RPD3_SPT3_TFC7,trigenic,C18:1,-0.2560287790206414,0.09754721295437825,0.05631890965790803,0.011173971371569946,3.8860912981057427,0.02847411968032005,0.2560287790206414,True,True
