gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
RPD3_SPT3_YAP6,trigenic,C14:0,0.3626801193643039,0.4780013288031863,0.2759741958575184,0.2587279372210898,0.31578076440317626,0.3626801193643039,False,False
RPD3_SPT3_YAP6,trigenic,C16:0,-1.5258094687408374,0.21710029271778566,0.1253429124417601,1.1505585597593182e-06,4.020836288288976e-05,1.5258094687408374,True,True
RPD3_SPT3_YAP6,trigenic,C18:0,-1.6594949167328399,0.21948219363135524,0.1267181035753925,3.237624734309108e-06,7.223950188427197e-05,1.6594949167328399,True,True
RPD3_SPT3_YAP6,trigenic,C16:1,0.04588708219810833,0.36087030397416886,0.20834856714202846,0.8397565637364215,0.8652037323344949,0.04588708219810833,False,False
RPD3_SPT3_YAP6,trigenic,C18:1,-0.7241893615640345,0.37678072881407165,0.21753445520626766,0.06690292518636376,0.09849214140837881,0.7241893615640345,False,False
RPD3_SPT3_YAP6,trigenic,Total Titer,-1.1430759577658418,0.1133072838355356,0.06541799082359182,1.0021354190925535e-08,1.9880150998741186e-06,1.1430759577658418,True,True
RPD3_TFC7_YAP6,trigenic,C14:0,0.5632548982280712,0.7565253117104194,0.4367800923647762,0.252692343398512,0.3089423513468109,0.5632548982280712,False,False
RPD3_TFC7_YAP6,trigenic,C16:0,-1.625133293911642,0.19338548875524147,0.11165116399020603,1.325830274456763e-06,4.020836288288976e-05,1.625133293911642,True,True
RPD3_TFC7_YAP6,trigenic,C18:0,-1.7056044558275827,0.1983167071073133,0.11449820423320752,1.1585059069396664e-05,0.00016543464351098436,1.7056044558275827,True,True
RPD3_TFC7_YAP6,trigenic,C16:1,0.2668426126132153,0.453170981095133,0.26163838792420185,0.36323263200496725,0.42308009665831425,0.2668426126132153,False,False
RPD3_TFC7_YAP6,trigenic,C18:1,-0.5994342596763089,0.11424129481809399,0.06595724231579797,0.0003680111524271279,0.002136259860430645,0.5994342596763089,True,True
RPD3_TFC7_YAP6,trigenic,Total Titer,-1.1366487946714625,0.09940350844010666,0.05739064235628882,8.125859984886574e-10,5.801864029209014e-07,1.1366487946714625,True,True
RPD3_SPT3_TFC7,trigenic,C14:0,0.6902523048766023,0.6427767904848999,0.37110735301530073,0.15092786419481907,0.197006389460879,0.6902523048766023,False,False
RPD3_SPT3_TFC7,trigenic,C16:0,-1.510715356277631,0.21299307255346095,0.12297160777426618,2.1830672414235863e-06,5.566821465630145e-05,1.510715356277631,True,True
RPD3_SPT3_TFC7,trigenic,C18:0,-1.5729128407019273,0.20919647164284685,0.12077963921651753,2.978347010795801e-06,6.85980569583291e-05,1.5729128407019273,True,True
RPD3_SPT3_TFC7,trigenic,C16:1,0.20996867113393103,0.39121701318364305,0.22586924787313767,0.40187110985911834,0.4608653033817164,0.20996867113393103,False,False
RPD3_SPT3_TFC7,trigenic,C18:1,-0.5683319140359113,0.3941291553970463,0.22755057396396455,0.09737011243766647,0.13473306255909662,0.5683319140359113,False,False
RPD3_SPT3_TFC7,trigenic,Total Titer,-1.0582169769989402,0.12569753772819564,0.07257150724384691,1.8603520057780543e-08,2.6565826642510613e-06,1.0582169769989402,True,True
MED4_RPD3_YAP6,trigenic,C14:0,2.149098505608353,0.49003607439485813,0.28292245946449884,0.001269198713456765,0.004948277277899395,2.149098505608353,True,True
MED4_RPD3_YAP6,trigenic,C16:0,-1.6892396800618519,0.19452810161650094,0.1123108518332337,1.3073627862514314e-06,4.020836288288976e-05,1.6892396800618519,True,True
MED4_RPD3_YAP6,trigenic,C18:0,-1.281264273970764,0.1926318268742626,0.11121603710034492,9.136259737263508e-05,0.0008053443768402648,1.281264273970764,True,True
MED4_RPD3_YAP6,trigenic,C16:1,-0.13422210023898318,0.3940090488167091,0.22748123039747542,0.5858838163924744,0.640614157586871,0.13422210023898318,False,False
MED4_RPD3_YAP6,trigenic,C18:1,-4.085824496562538,0.6308881434815133,0.36424343946759496,0.001584920247474031,0.00568155119552,4.085824496562538,True,True
MED4_RPD3_YAP6,trigenic,Total Titer,-1.4330000237080802,0.15182314072014322,0.08765513116398913,1.1672773458926144e-07,9.26040027741474e-06,1.4330000237080802,True,True
MED4_RFX1_YAP6,trigenic,C14:0,2.4459746275710152,0.4826880967620575,0.278680102600202,0.0007856627095481628,0.0034393605977980114,2.4459746275710152,True,True
MED4_RFX1_YAP6,trigenic,C16:0,-1.589331081601264,0.28577033087622855,0.16498957745779902,4.9381098677026e-05,0.00047773809110369215,1.589331081601264,True,True
MED4_RFX1_YAP6,trigenic,C18:0,-1.023264475288276,0.292545703977852,0.16890134094188147,0.0007442952216454302,0.003345785481281986,1.023264475288276,True,True
MED4_RFX1_YAP6,trigenic,C16:1,0.4123310550732002,0.38377926973496174,0.22157506469087815,0.14100369396247725,0.18575025367012687,0.4123310550732002,False,False
MED4_RFX1_YAP6,trigenic,C18:1,-4.3709278095647495,0.6291476258922113,0.36323855116888215,0.0013054831168703984,0.0050113706744379805,4.3709278095647495,True,True
MED4_RFX1_YAP6,trigenic,Total Titer,-1.235016899314382,0.20953476699935164,0.12097495413166116,1.8277496562468798e-05,0.00023667017910472543,1.235016899314382,True,True
MED4_RFX1_TFC7,trigenic,C14:0,2.556989441235457,0.6382555429376403,0.36849700952681747,0.004741542632330731,0.012005182409518233,2.556989441235457,True,True
MED4_RFX1_TFC7,trigenic,C16:0,-1.6433079494768983,0.2523671870496378,0.145704263377737,2.1466202530406875e-05,0.00025977743401204255,1.6433079494768983,True,True
MED4_RFX1_TFC7,trigenic,C18:0,-1.0443927480958717,0.23753753632319285,0.1371423605388359,0.0005575770648247325,0.002905912586020868,1.0443927480958717,True,True
MED4_RFX1_TFC7,trigenic,C16:1,0.2986383992823818,0.3823787148641797,0.22076645395921732,0.24661111385324763,0.3030465879933481,0.2986383992823818,False,False
MED4_RFX1_TFC7,trigenic,C18:1,-4.031405991576843,0.5242123435839154,0.3026541376806982,0.00039881310656753044,0.0022421461266867457,4.031405991576843,True,True
MED4_RFX1_TFC7,trigenic,Total Titer,-1.2486517084919417,0.16825921520582118,0.09714450319271604,6.373203288445595e-06,0.00012298559859324741,1.2486517084919417,True,True
GCN5_OPI1_TFC7,trigenic,C14:0,-0.25573985662256504,,,,,0.25573985662256504,False,False
GCN5_OPI1_TFC7,trigenic,C16:0,-1.2230676682615527,,,,,1.2230676682615527,False,False
GCN5_OPI1_TFC7,trigenic,C18:0,-0.8429487982463006,,,,,0.8429487982463006,False,False
GCN5_OPI1_TFC7,trigenic,C16:1,-0.6293437004210656,,,,,0.6293437004210656,False,False
GCN5_OPI1_TFC7,trigenic,C18:1,-3.4664037460319745,,,,,3.4664037460319745,False,False
GCN5_OPI1_TFC7,trigenic,Total Titer,-1.202041606706334,,,,,1.202041606706334,False,False
MED4_RGR1_YAP6,trigenic,C14:0,3.0421148255207147,0.73759845999802,0.4258526694337103,0.0005712820551966313,0.0029557636768869186,3.0421148255207147,True,True
MED4_RGR1_YAP6,trigenic,C16:0,-1.7312057632110442,0.2899412208208412,0.16739764189008136,0.00014973068407697632,0.0010908949839893989,1.7312057632110442,True,True
MED4_RGR1_YAP6,trigenic,C18:0,-1.2600798559461361,0.26961053540694807,0.1556597151935606,0.0002500684972652767,0.001614699555278154,1.2600798559461361,True,True
MED4_RGR1_YAP6,trigenic,C16:1,0.9114725236472685,0.4124109143077775,0.23810555239233502,0.013764148838471213,0.027374936687098735,0.9114725236472685,True,True
MED4_RGR1_YAP6,trigenic,C18:1,-3.7952555567043293,0.6936946264240748,0.4005047793013365,0.00092068832810277,0.0038668909780316344,3.7952555567043293,True,True
MED4_RGR1_YAP6,trigenic,Total Titer,-1.194261280580582,0.2292409367377922,0.1323523165348463,0.00040506536346929245,0.002259505230602147,1.194261280580582,True,True
MED4_TFC7_YAP6,trigenic,C14:0,1.7201601766084043,0.743162956584428,0.4290653330357777,0.011125874094864097,0.023364335599214605,1.7201601766084043,True,True
MED4_TFC7_YAP6,trigenic,C16:0,-2.099755443551359,0.21379348626870365,0.12343372684822461,6.458932675368345e-07,2.562043294562777e-05,2.099755443551359,True,True
MED4_TFC7_YAP6,trigenic,C18:0,-1.5893335271946405,0.1995170699661404,0.11519123405287657,3.271678957039725e-05,0.0003707902817978355,1.5893335271946405,True,True
MED4_TFC7_YAP6,trigenic,C16:1,0.6708477537604676,0.4866036280845492,0.28094073566326305,0.05949653560962953,0.08962136376640398,0.6708477537604676,False,False
MED4_TFC7_YAP6,trigenic,C18:1,-3.427200479049572,0.739379369986186,0.42688087829478044,0.0011875897189279616,0.004710772551747581,3.427200479049572,True,True
MED4_TFC7_YAP6,trigenic,Total Titer,-1.4717690677106017,0.13659369966841156,0.0788624092731643,3.177989627012323e-08,3.7818076561446645e-06,1.4717690677106017,True,True
GCN5_MED4_RFX1,trigenic,C14:0,0.42361218958684965,0.4530284581819764,0.2695772025009267,0.16093891722735898,0.20704574216276453,0.42361218958684965,False,False
GCN5_MED4_RFX1,trigenic,C16:0,-0.6346317648195805,0.23062865491693618,0.14197438160925366,0.009370232725202321,0.02077747256457906,0.6346317648195805,True,True
GCN5_MED4_RFX1,trigenic,C18:0,-0.48437021171891614,0.19600676813712173,0.11338308186571727,0.028914372365643537,0.04880582002144086,0.48437021171891614,True,True
GCN5_MED4_RFX1,trigenic,C16:1,-0.5843477838843789,0.36887448235200415,0.2403744866820026,0.07496397938653465,0.10791185742335835,0.5843477838843789,False,False
GCN5_MED4_RFX1,trigenic,C18:1,-2.850107352373771,0.44597946194216126,0.3010759077063467,0.004287152677290296,0.011090677578207503,2.850107352373771,True,True
GCN5_MED4_RFX1,trigenic,Total Titer,-0.781268554414428,0.20784214333474632,0.1316929157156852,0.0018854073269798377,0.006320097800298611,0.781268554414428,True,True
MED4_SPT3_TFC7,trigenic,C14:0,2.291545807804768,0.6875581074955741,0.3969618584460794,0.0037506062706498255,0.01020424435369647,2.291545807804768,True,True
MED4_SPT3_TFC7,trigenic,C16:0,-1.9607153562776312,0.24704920923780874,0.14263392745653306,2.150697875347163e-06,5.566821465630145e-05,1.9607153562776312,True,True
MED4_SPT3_TFC7,trigenic,C18:0,-1.4602308440795875,0.1803815055435591,0.10414331078240383,7.324978048561803e-07,2.7526496456174355e-05,1.4602308440795875,True,True
MED4_SPT3_TFC7,trigenic,C16:1,0.726592048626685,0.3945691865355785,0.2278046260602479,0.028793379645014605,0.048716760821185846,0.726592048626685,True,True
MED4_SPT3_TFC7,trigenic,C18:1,-2.771055856175542,0.6561364342779844,0.37882054695551554,0.00037833538847720227,0.002168860020812055,2.771055856175542,True,True
MED4_SPT3_TFC7,trigenic,Total Titer,-1.2918791706328983,0.14874920395086547,0.08588039294277473,1.9387389138536548e-07,1.1535496537429246e-05,1.2918791706328983,True,True
GCN5_MED4_YAP6,trigenic,C14:0,-0.29040109278119797,0.6784564417536973,0.39710786265993536,0.4887487876947487,0.5444097260749619,0.29040109278119797,False,False
GCN5_MED4_YAP6,trigenic,C16:0,-0.6379495751794044,0.30319353561683643,0.18184876378558146,0.01573857682873059,0.030453506384047802,0.6379495751794044,True,True
GCN5_MED4_YAP6,trigenic,C18:0,-0.5318567625907327,0.15793607595099787,0.0914554913447771,0.01606148135862351,0.03074503402160103,0.5318567625907327,True,True
GCN5_MED4_YAP6,trigenic,C16:1,-0.9058234538066596,0.5826607722726229,0.35438438328919025,0.03337942298596919,0.054537546938173906,0.9058234538066596,True,False
GCN5_MED4_YAP6,trigenic,C18:1,-2.538887227334266,0.7709437760338882,0.47166256721473104,0.002453653750687179,0.007551330939614853,2.538887227334266,True,True
GCN5_MED4_YAP6,trigenic,Total Titer,-0.8416549181762703,0.26986761970312434,0.1649840878866248,0.0018352247512847253,0.006268640216991959,0.8416549181762703,True,True
MED4_RFX1_RPD3,trigenic,C14:0,2.395235614246901,0.25582289383776385,0.15443047269279617,7.070938764508483e-06,0.00012945257122715532,2.395235614246901,True,True
MED4_RFX1_RPD3,trigenic,C16:0,-1.6448096046965328,0.23406940062332146,0.13895076161299683,4.015924320110997e-05,0.00041805985454883467,1.6448096046965328,True,True
MED4_RFX1_RPD3,trigenic,C18:0,-1.1800785138293948,0.23163241518188254,0.1393458917853108,0.0006223873878723474,0.003107584580005986,1.1800785138293948,True,True
MED4_RFX1_RPD3,trigenic,C16:1,0.16695842231043745,0.22730453330669076,0.13551603603743184,0.2692513616787773,0.32528844710430965,0.16695842231043745,False,False
MED4_RFX1_RPD3,trigenic,C18:1,-5.320322980126683,0.3139094000343964,0.1822272625318169,1.088031036378112e-07,9.26040027741474e-06,5.320322980126683,True,True
MED4_RFX1_RPD3,trigenic,Total Titer,-1.4456925016538813,0.18024200114203978,0.10604213346641635,1.3408421726257558e-06,4.020836288288976e-05,1.4456925016538813,True,True
MED4_SPT3_YAP6,trigenic,C14:0,2.1739682953181068,0.5123899327612791,0.2958284656097787,0.0007388252371689497,0.003345785481281986,2.1739682953181068,True,True
