triple,tau_multiplicative,p_multiplicative,fdr_multiplicative,sig_multiplicative,tau_additive,p_additive,fdr_additive,sig_additive,tau_glm_log_link,p_glm_log_link,fdr_glm_log_link,sig_glm_log_link,tau_log_ols,p_log_ols,fdr_log_ols,sig_log_ols,n_models_sig,sign_concordant,consensus,direction,abs_tau,readout,rank_in_sign,notable
GCN5-MED4-TFC7,-1.2770607345894311,0.0058281515380658,0.012237933295202275,True,-1.5934624319488786,0.0086284066133868,0.015325080402881032,True,-1.4931580527840105,2.968494678976658e-14,2.1193790321030773e-13,True,-1.479407261524096,1.0961022632804e-12,6.92275113650779e-12,True,4,True,True,negative,1.2770607345894311,Total Titer,11.0,False
FKH1-OPI1-RFX1,-1.2329805454434677,0.0001388833263467,0.0007512325379662409,True,-1.4478588518339175,7.932434866964044e-06,5.1502161066413187e-05,True,-1.2389207670052775,2.2086644819444528e-11,6.79589071367524e-11,True,-1.2370462518935663,1.9565923025095247e-10,6.178712534240604e-10,True,4,True,True,negative,1.2329805454434677,Total Titer,12.0,False
FKH1-RFX1-RPD3,-1.225493953249593,0.0053050545730222,0.011911348946974373,True,-1.7223235282559717,0.0009144193783618,0.002760252689637345,True,-1.726499823883202,1.1100935867957714e-20,6.660561520774629e-19,True,-1.7227927384609512,5.781387963337642e-18,3.4688327780025854e-16,True,4,True,True,negative,1.225493953249593,Total Titer,13.0,False
FKH1-OPI1-YAP6,-1.2131328569002693,0.0058618672086263,0.012237933295202275,True,-1.4617374320381904,0.0054147181111949,0.010739190920536552,True,-1.260896015883604,9.745718628852308e-12,3.4396653984184616e-11,True,-1.24467087576112,1.5369895018978878e-10,5.123298339659626e-10,True,4,True,True,negative,1.2131328569002693,Total Titer,14.0,False
FKH1-RGR1-SPT3,-1.2092229777203105,0.0046930526699238,0.010930721806836609,True,-1.3657890779797723,0.0023303970429582,0.005939455371153689,True,-1.1729423077769792,2.3709018354593203e-10,5.927254588648301e-10,True,-1.180746133229164,1.1241191905072044e-09,2.8700915502311602e-09,True,4,True,True,negative,1.2092229777203105,Total Titer,15.0,False
FKH1-OPI1-SPT3,-1.2074479498805784,7.117324309424689e-05,0.0004457692593797568,True,-1.4304506256497396,8.699263656097855e-06,5.176061875378223e-05,True,-1.246157839104957,1.6895716871084093e-11,5.406911016161362e-11,True,-1.2418587994448078,1.6803060514527767e-10,5.449641247954951e-10,True,4,True,True,negative,1.2074479498805784,Total Titer,16.0,False
FKH1-TFC7-YAP6,-1.1825469877394124,0.0041324370469402,0.010103317923596214,True,-1.4838162474396088,0.0043694793630801,0.009122246389588279,True,-1.3421544354616326,4.195730201304289e-13,2.0978651006521445e-12,True,-1.3287608975069016,9.995979967557138e-12,4.4914245700154574e-11,True,4,True,True,negative,1.1825469877394124,Total Titer,17.0,False
MED4-OPI1-RFX1,-1.1555209651412544,0.0071103705910691,0.014215801264611135,True,-1.4238305177552415,0.0027074799971424,0.006443802393198912,True,-1.416634553105508,1.988552079045408e-14,1.5908416632363263e-13,True,-1.4118576925293864,5.937642119760408e-13,4.951917333330297e-12,True,4,True,True,negative,1.1555209651412544,Total Titer,18.0,False
MED4-OPI1-SPT3,-1.1304440443614063,0.0089064831852097,0.016560492172499285,True,-1.3986612079624074,0.0041623977222726,0.008845095159829276,True,-1.428388518063128,1.2112426974007776e-14,1.4534912368809332e-13,True,-1.4093925750448124,6.467371284342607e-13,4.951917333330297e-12,True,4,True,True,negative,1.1304440443614063,Total Titer,19.0,False
GCN5-RGR1-TFC7,-1.1237633118081962,0.0278650204679211,0.040937499205958156,True,-1.1804490505238672,0.0266095717582004,0.03958173799032309,True,-0.9974038960557376,3.862391289650427e-07,7.991154392380193e-07,True,-0.9781530502775466,1.5530041085108857e-06,3.2131119486432118e-06,True,4,True,True,negative,1.1237633118081962,Total Titer,20.0,False
FKH1-GCN5-RGR1,-1.1022262285449076,0.0003936742551202,0.001615421943424269,True,-1.1116870929639284,0.0003050462017033,0.0011709838065384743,True,-0.9276431403920118,1.174831043977567e-06,2.389486869106916e-06,True,-0.9220968870754628,3.055217550525245e-06,6.11043510105049e-06,True,4,True,True,negative,1.1022262285449076,Total Titer,21.0,False
FKH1-RFX1-TFC7,-1.0989151072455428,1.8565915314905368e-05,0.0001783550203300685,True,-1.3441516875443915,1.3891587953285267e-06,1.2716145895699591e-05,True,-1.2164795820532524,5.02100110656285e-11,1.3693639381535046e-10,True,-1.220730952739542,3.2675917136243987e-10,9.118860596161112e-10,True,4,True,True,negative,1.0989151072455428,Total Titer,22.0,False
MED4-TFC7-YAP6,-1.090683772808967,5.234090642236566e-06,7.785709830326892e-05,True,-1.4717690677106017,3.177989627012323e-08,7.563615312289329e-07,True,-1.587982005189609,9.75247594686667e-18,1.9504951893733338e-16,True,-1.5892209365740924,9.811365829674504e-16,1.9622731659349006e-14,True,4,True,True,negative,1.090683772808967,Total Titer,23.0,False
FKH1-SPT3-TFC7,-1.0869709594099397,0.0011805281511112,0.00401379571377808,True,-1.352349681840812,8.223034119847483e-06,5.1502161066413187e-05,True,-1.236638734641599,2.4026137067882324e-11,7.032040117428972e-11,True,-1.2357576621919375,2.0378411709728371e-10,6.270280526070267e-10,True,4,True,True,negative,1.0869709594099397,Total Titer,24.0,False
FKH1-RGR1-YAP6,-1.0700484523881937,0.0097524449061612,0.017321506624375864,True,-1.2447572503693425,0.0061027098297987,0.011905286389279433,True,-1.0454888239558515,1.6348473712848854e-08,3.7727247029651196e-08,True,-1.05221125198069,4.825223379713676e-08,1.1135130876262329e-07,True,4,True,True,negative,1.0700484523881937,Total Titer,25.0,False
FKH1-RGR1-TFC7,-1.0666768931697002,0.0003360517784496,0.0014282200584108,True,-1.2939775630626809,9.78171828736052e-06,5.5429736961709615e-05,True,-1.207328062397082,6.989439105410568e-11,1.823331940541887e-10,True,-1.205366666780612,5.272035249016526e-10,1.4058760664044067e-09,True,4,True,True,negative,1.0666768931697002,Total Titer,26.0,False
MED4-OPI1-YAP6,-1.0573938601989183,0.0134692472508903,0.02289772032651351,True,-1.3533925125985715,0.0076729491510316,0.014140797308073662,True,-1.3546310904132517,1.2769161979669938e-12,5.472497991287116e-12,True,-1.3366102879168693,2.8978931894900897e-11,1.1217651056090668e-10,True,4,True,True,negative,1.0573938601989183,Total Titer,27.0,False
FKH1-GCN5-OPI1,-1.0481317864861897,0.0001966099394887,0.0009358633119662121,True,-1.0922903759159683,0.0002115761616467,0.0009325023420724926,True,-0.9069159229393672,2.021650757099758e-06,3.9770178828191965e-06,True,-0.9082775542183428,4.239351094583714e-06,8.339707071312226e-06,True,4,True,True,negative,1.0481317864861897,Total Titer,28.0,False
MED4-RFX1-YAP6,-1.0461878345083269,2.255418676022636e-05,0.00019171058746192407,True,-1.235016899314382,1.82774965624688e-05,9.45661778666864e-05,True,-1.3707469882522765,1.3261773541908066e-13,7.233694659222582e-13,True,-1.3700328063541545,2.4960836857699797e-12,1.4263335347257028e-11,True,4,True,True,negative,1.0461878345083269,Total Titer,29.0,False
FKH1-GCN5-RPD3,-1.0194918247865496,0.0055548542735162,0.012130938359362544,True,-1.2511436712903916,0.0009278160301302,0.002760252689637345,True,-1.2650811967278024,3.410905849989625e-11,9.51880702322686e-11,True,-1.246843883084075,4.651233681852176e-10,1.2685182768687753e-09,True,4,True,True,negative,1.0194918247865496,Total Titer,30.0,False
MED4-SPT3-YAP6,-1.004617748602945,2.528652907063389e-06,4.298709942007761e-05,True,-1.2664551451243031,6.788136985846904e-08,1.3463138355263027e-06,True,-1.3533288582075995,2.682448041524985e-13,1.3995381086217312e-12,True,-1.354387156763337,4.238411973799133e-12,2.2113453776343302e-11,True,4,True,True,negative,1.004617748602945,Total Titer,31.0,False
SPT3-TFC7-YAP6,-1.0027913839823572,2.8642008764734332e-09,1.7041995215016928e-07,True,-1.2134530364042444,6.297970367441508e-09,3.747292368627697e-07,True,-1.2494519541157691,1.4948597949260618e-11,5.12523358260364e-11,True,-1.2504044018826557,1.2809497813553575e-10,4.391827821789797e-10,True,4,True,True,negative,1.0027913839823572,Total Titer,32.0,False
MED4-RGR1-YAP6,-1.001444210318359,0.0010220806684162,0.0036856848345917514,True,-1.194261280580582,0.0004050653634692,0.001460690250085903,True,-1.2929476533464443,2.882796407751237e-12,1.0482896028186315e-11,True,-1.2851493610549285,4.1910240597457936e-11,1.5249237684804892e-10,True,4,True,True,negative,1.001444210318359,Total Titer,33.0,False
MED4-RFX1-RGR1,-0.9925686302700634,0.002414092247202,0.007559920458343105,True,-1.1565236679712596,0.0003345997937245,0.0012442929829129844,True,-1.2313162286719157,2.9220657085899845e-11,8.348759167399956e-11,True,-1.2327792166353486,2.238520568035721e-10,6.662364561421955e-10,True,4,True,True,negative,0.9925686302700634,Total Titer,34.0,False
MED4-RFX1-TFC7,-0.9886465281549192,2.5391760249959816e-08,7.554048674363045e-07,True,-1.2486517084919415,6.373203288445595e-06,4.461242301911916e-05,True,-1.397963734772672,4.335123181782345e-14,2.737972535862534e-13,True,-1.404210953599013,7.737408560203166e-13,5.461700160143412e-12,True,4,True,True,negative,0.9886465281549192,Total Titer,35.0,False
MED4-RGR1-TFC7,-0.9768961813853664,0.0024894747308441,0.007596089563344817,True,-1.2931862977689392,0.0006457119776752,0.002182044007763414,True,-1.379442378409342,9.299559871706445e-14,5.579735923023867e-13,True,-1.375381254564494,2.080807293132743e-12,1.2484843758796458e-11,True,4,True,True,negative,0.9768961813853664,Total Titer,36.0,False
MED4-SPT3-TFC7,-0.9740687715160375,3.960992777840566e-05,0.0002945988378518921,True,-1.2918791706328985,1.938738913853655e-07,2.5634436749842774e-06,True,-1.4200504565092484,1.7224358424678645e-14,1.5731506113948788e-13,True,-1.42243687349848,4.1099522464347954e-13,4.483584268837959e-12,True,4,True,True,negative,0.9740687715160375,Total Titer,37.0,False
MED4-OPI1-TFC7,-0.9486625771151772,0.013788591639799,0.02311045641036734,True,-1.3245262849535857,0.0069117257788238,0.013079430948482967,True,-1.3446733685306618,1.859705310375524e-12,7.198859265969769e-12,True,-1.339467969308,2.646753684465648e-11,1.0587014737862592e-10,True,4,True,True,negative,0.9486625771151772,Total Titer,38.0,False
MED4-RFX1-RPD3,-0.9262180061832072,7.097018701185398e-05,0.0004457692593797568,True,-1.4456925016538813,1.3408421726257558e-06,1.2716145895699591e-05,True,-1.7075704431891428,3.6918916328590976e-19,1.1075674898577292e-17,True,-1.7150269969918277,5.815952514433357e-17,1.744785754330007e-15,True,4,True,True,negative,0.9262180061832072,Total Titer,39.0,False
MED4-RGR1-SPT3,-0.9261942347647109,0.0007839910764551,0.0030095141321986093,True,-1.1075159485554145,0.0011436695792912,0.0033194312179427514,True,-1.1971925990672785,1.0053719025302632e-10,2.566906985183651e-10,True,-1.1764029829458504,1.2832011091020775e-09,3.2080027727551937e-09,True,4,True,True,negative,0.9261942347647109,Total Titer,40.0,False
MED4-RPD3-YAP6,-0.9218176888505896,7.755070530923724e-05,0.00046142669658996157,True,-1.4330000237080802,1.1672773458926144e-07,1.9843714880174446e-06,True,-1.7736116608276822,9.758150379080182e-22,1.170978045489622e-19,True,-1.774095218986831,7.545426259663414e-19,9.054511511596097e-17,True,4,True,True,negative,0.9218176888505896,Total Titer,41.0,False
FKH1-RPD3-SPT3,-0.9185842467693364,0.0112062011627029,0.019610852034730078,True,-1.4020911825752758,0.0032386306574501,0.007271642419557771,True,-1.4185418325175911,1.835342379960692e-14,1.5731506113948788e-13,True,-1.4097213838528866,6.39410769045917e-13,4.951917333330297e-12,True,4,True,True,negative,0.9185842467693364,Total Titer,42.0,False
MED4-OPI1-RGR1,-0.9003318685702306,0.0166664130859144,0.026096094173997546,True,-1.0786351225788935,0.0111119037335123,0.019164007888231357,True,-1.0334604614153418,2.3802882101525386e-08,5.389331796571786e-08,True,-1.0120519016275238,1.4580196271219736e-07,3.240043615826608e-07,True,4,True,True,negative,0.9003318685702306,Total Titer,43.0,False
MED4-RFX1-SPT3,-0.8956887114770449,1.2877541107680912e-05,0.0001393115810740026,True,-1.078797539166235,4.040921958159416e-06,3.0054357063810655e-05,True,-1.1660952079966638,3.0115792230110207e-10,7.37529605635352e-10,True,-1.1744839139726344,1.3603275453614412e-09,3.3314143968035296e-09,True,4,True,True,negative,0.8956887114770449,Total Titer,44.0,False
FKH1-RPD3-YAP6,-0.8888307691850286,0.0069137060443071,0.014185017573664568,True,-1.4254298713365738,0.0032255136890366,0.007271642419557771,True,-1.423059408144394,1.5172663945714792e-14,1.5379989836042572e-13,True,-1.3992642899749936,9.178021240199218e-13,6.118680826799479e-12,True,4,True,True,negative,0.8888307691850286,Total Titer,45.0,False
FKH1-OPI1-TFC7,-0.8722879148599461,3.0218157527128756e-05,0.00023973071638188815,True,-1.1410145564364351,2.506465976326311e-06,2.1304960798773642e-05,True,-1.061355290787,9.897735720508045e-09,2.3288789930607163e-08,True,-1.059972068973693,3.881837741805679e-08,9.133735863072186e-08,True,4,True,True,negative,0.8722879148599461,Total Titer,46.0,False
FKH1-RGR1-RPD3,-0.8586630139489684,0.0071676308897199,0.014215801264611135,True,-1.2709620511581394,0.0018628953710855,0.004985854931346582,True,-1.3096970019777467,1.507614550458111e-12,6.030458201832444e-12,True,-1.2851308774505743,4.1935403633213456e-11,1.5249237684804892e-10,True,4,True,True,negative,0.8586630139489684,Total Titer,47.0,False
FKH1-OPI1-RPD3,-0.842883440921237,0.0097338409786684,0.017321506624375864,True,-1.3593359009508892,0.0028277118278863,0.006597994265068034,True,-1.4199996343010723,1.0124883478078436e-13,5.785647701759107e-13,True,-1.4065501071698086,3.030108742924e-12,1.6527865870494548e-11,True,4,True,True,negative,0.842883440921237,Total Titer,48.0,False
RPD3-SPT3-YAP6,-0.8405384408201078,1.4600105702200494e-07,3.4748251571237175e-06,True,-1.1430759577658418,1.0021354190925535e-08,3.975137162400462e-07,True,-1.494376031068235,6.957943488984705e-16,1.1927903123973781e-14,True,-1.4951636260597545,3.117812891310509e-14,5.344822099389444e-13,True,4,True,True,negative,0.8405384408201078,Total Titer,49.0,False
GCN5-MED4-OPI1,-0.8322715434619927,0.0342590470572321,0.04796266588012494,True,-0.803417747089346,0.0271961460710477,0.0399548318821565,True,-0.7962468804657381,5.064370450356485e-05,8.68177791489683e-05,True,-0.7820143595387339,0.0001110760858868,0.00019041614723451427,True,4,True,True,negative,0.8322715434619927,Total Titer,50.0,False
MED4-OPI1-RPD3,-0.8254124639504409,0.0026992192821693,0.007834319379954798,True,-1.5339054775083394,0.0051389549877165,0.010365010907428194,True,-1.70420389878471,3.43095728452835e-20,1.3723829138113398e-18,True,-1.6902986888476388,2.0623217251238858e-17,8.249286900495543e-16,True,4,True,True,negative,0.8254124639504409,Total Titer,51.0,False
GCN5-MED4-YAP6,-0.8044521487971548,0.0026603102275974,0.007834319379954798,True,-0.8416549181762703,0.0018352247512847,0.004985854931346582,True,-0.947549055919172,1.4161732897002083e-06,2.8323465794004167e-06,True,-0.966107085423342,2.056097081588692e-06,4.181892369332933e-06,True,4,True,True,negative,0.8044521487971548,Total Titer,52.0,False
RGR1-TFC7-YAP6,-0.7926120849788043,9.876649154083594e-07,1.958868748893246e-05,True,-0.9383653571037692,3.4432556628161137e-07,4.097474238751175e-06,True,-0.9796142133734048,1.2166175181444485e-07,2.6544382214060696e-07,True,-0.9772413533461868,3.699660247079603e-07,8.071985993628225e-07,True,4,True,True,negative,0.7926120849788043,Total Titer,53.0,False
RGR1-SPT3-TFC7,-0.787584658499066,0.008448255843888,0.015957816594010667,True,-0.9237589063625018,0.0078045453033417,0.014140797308073662,True,-0.9766975446098968,1.3259099054127037e-07,2.841235511598651e-07,True,-0.961714343480892,5.55820015147352e-07,1.1910428896014685e-06,True,4,True,True,negative,0.787584658499066,Total Titer,54.0,False
GCN5-MED4-RFX1,-0.7762144667018898,0.0041601897332455,0.010103317923596214,True,-0.781268554414428,0.0018854073269798,0.004985854931346582,True,-0.884408575425487,6.75230552456932e-06,1.286153433251299e-05,True,-0.8886444039251024,1.1967176210557057e-05,2.279462135344201e-05,True,4,True,True,negative,0.7762144667018898,Total Titer,55.0,False
MED4-RGR1-RPD3,-0.7626042651245302,0.0003173033238517,0.0013984850199389742,True,-1.2290706205248965,0.0002587775613493,0.001061880337950576,True,-1.4638515429158054,2.649618625901492e-15,3.5328248345353225e-14,True,-1.4438051507387502,1.9437931985471845e-13,2.5917242647295795e-12,True,4,True,True,negative,0.7626042651245302,Total Titer,56.0,False
RPD3-TFC7-YAP6,-0.7406107855146467,2.5989215224342392e-09,1.7041995215016928e-07,True,-1.1366487946714623,8.125859984886573e-10,9.669773382015022e-08,True,-1.4755198342678688,1.5943281441422944e-15,2.3914922162134414e-14,True,-1.4770611197849113,5.971719712034756e-14,8.957579568052134e-13,True,4,True,True,negative,0.7406107855146467,Total Titer,57.0,False
FKH1-OPI1-RGR1,-0.727465766622204,0.0038303318345116,0.00969807421929533,True,-0.8953603936710466,0.0009206196340716,0.002760252689637345,True,-0.7243103641444463,9.15109787461502e-05,0.00015251829791025035,True,-0.727710786925061,0.0001346823716573,0.00022447061942883334,True,4,True,True,negative,0.727465766622204,Total Titer,58.0,False
MED4-RPD3-SPT3,-0.7165865553051326,1.94841618847974e-05,0.0001783550203300685,True,-1.1644326510277772,1.506314151189514e-07,2.240642299894402e-06,True,-1.422737716462922,1.5379989836042574e-14,1.5379989836042572e-13,True,-1.424364703351782,3.842673192304118e-13,4.483584268837959e-12,True,4,True,True,negative,0.7165865553051326,Total Titer,59.0,False
RPD3-SPT3-TFC7,-0.712076789362621,1.2774322267761208e-05,0.0001393115810740026,True,-1.0582169769989402,1.8603520057780546e-08,5.534547217189712e-07,True,-1.4031298316186742,3.497723289041324e-14,2.3318155260275496e-13,True,-1.4087953881882955,6.602556444440395e-13,4.951917333330297e-12,True,4,True,True,negative,0.712076789362621,Total Titer,60.0,False
GCN5-MED4-RGR1,-0.6725387491459516,0.0077103267374933,0.014798852931640365,True,-0.6496715618980615,0.0069244046197851,0.013079430948482967,True,-0.7216457596504331,0.0002397748870741,0.0003888241412012432,True,-0.7141555361845953,0.0004061480224133,0.0006676405847889864,True,4,True,True,negative,0.6725387491459516,Total Titer,61.0,False
RFX1-TFC7-YAP6,-0.6704519405199565,0.0001805704336459,0.0008953284001609208,True,-0.7954684765350093,0.0002237100211446,0.00095076758986455,True,-0.844532256055234,5.08156095442642e-06,9.83527926663178e-06,True,-0.8440155325230356,1.025332368767754e-05,1.9845142621311368e-05,True,4,True,True,negative,0.6704519405199565,Total Titer,62.0,False
GCN5-MED4-SPT3,-0.6584476436921622,0.0029756880540185,0.008235043684376778,True,-0.6979397840746007,0.0023831695230343,0.005939455371153689,True,-0.7857823363864234,6.350993343698536e-05,0.00010734073256955272,True,-0.7810783746844681,0.0001131536267585,0.00019124556635239436,True,4,True,True,negative,0.6584476436921622,Total Titer,63.0,False
RGR1-SPT3-YAP6,-0.6563338826696479,0.0145727868123568,0.023771853789920243,True,-0.7464761511328404,0.0127689635104595,0.021401502221756064,True,-0.7701981488067313,3.1837714514963994e-05,5.701080308376925e-05,True,-0.7517499008407728,8.11304464732803e-05,0.00014317137612931816,True,4,True,True,negative,0.6563338826696479,Total Titer,64.0,False
GCN5-SPT3-YAP6,-0.6152594207037851,0.000164602552831,0.0008516392950821303,True,-0.6246112767970322,0.0005975781700691,0.00209152359524185,True,-0.6264554782312721,0.0010309487650032,0.0016278138394787368,True,-0.6216511844850149,0.0015034363535074,0.0023738468739590525,True,4,True,True,negative,0.6152594207037851,Total Titer,65.0,False
MED4-RPD3-TFC7,-0.5823164306465605,0.0009759091119656,0.0036291620101220755,True,-1.1708965454079556,6.235520544350948e-07,6.745699497979661e-06,True,-1.406793554212781,3.0024536288126926e-14,2.1193790321030773e-13,True,-1.413950225316308,5.521727809668714e-13,4.951917333330297e-12,True,4,True,True,negative,0.5823164306465605,Total Titer,66.0,False
FKH1-RPD3-TFC7,-0.5621605571325933,0.0212102701994687,0.03235925838124071,True,-1.0420025987953043,0.0051316168295267,0.010365010907428194,True,-1.1426032895595406,6.773097056179368e-10,1.6255432934830484e-09,True,-1.1324185469432824,4.802251876520869e-09,1.1525404503650086e-08,True,4,True,True,negative,0.5621605571325933,Total Titer,67.0,False
OPI1-RFX1-RPD3,-0.5527728926422673,0.0093958347179472,0.01720160509901103,True,-0.8446983374140462,0.0006601141536091,0.002182044007763414,True,-1.025389338565222,3.0556684887706773e-08,6.790374419490394e-08,True,-1.0343850582629284,7.915700615489737e-08,1.7922341016203179e-07,True,4,True,True,negative,0.5527728926422673,Total Titer,68.0,False
GCN5-MED4-RPD3,-0.5467949562371648,0.0007542654786054,0.0029919197318014202,True,-0.6581816259780795,0.0038308239376798,0.008288509974252657,True,-0.8649397021735982,1.071289244870088e-05,1.9777647597601623e-05,True,-0.8523758693119119,2.6202376970544987e-05,4.8373619022544594e-05,True,4,True,True,negative,0.5467949562371648,Total Titer,69.0,False
RGR1-RPD3-YAP6,-0.4235273630563068,0.0265466337861508,0.039987967348758806,True,-0.6063953033318943,0.0098656907288396,0.0172649587754693,True,-0.7934040867656583,3.230612174746924e-05,5.701080308376925e-05,True,-0.775992744842189,7.951350219948639e-05,0.00014241224274534877,True,4,True,True,negative,0.4235273630563068,Total Titer,70.0,False
FKH1-MED4-SPT3,-0.3557998275878842,0.0033814222089423,0.00874759223617682,True,-0.6426941927220091,9.766601466321134e-05,0.000464890229796886,True,-0.5610949631131292,0.0024413092338851,0.003804637767093662,True,-0.5570900087943237,0.003328858078422,0.005187830771566752,True,4,True,True,negative,0.3557998275878842,Total Titer,71.0,False
RGR1-RPD3-TFC7,-0.3462284979335791,0.032915710808935,0.047192404653774285,True,-0.6596485228404614,0.0078427951456543,0.014140797308073662,True,-0.8208676514451012,9.268220196558985e-06,1.7377912868548097e-05,True,-0.8070133664584711,2.4056333245437733e-05,4.510562483519575e-05,True,4,True,True,negative,0.3462284979335791,Total Titer,72.0,False
GCN5-RPD3-SPT3,-0.3196716896810241,0.0207644019271762,0.03209043934199958,True,-0.3823232067354332,0.0223645764522271,0.035485127970867,True,-0.5206999425476591,0.0063739231283371,0.00968190854937281,True,-0.5077215241165138,0.0093569724691081,0.014213122737885721,True,4,True,True,negative,0.3196716896810241,Total Titer,73.0,False
