triple,tau_multiplicative,p_multiplicative,fdr_multiplicative,sig_multiplicative,tau_additive,p_additive,fdr_additive,sig_additive,tau_glm_log_link,p_glm_log_link,fdr_glm_log_link,sig_glm_log_link,tau_log_ols,p_log_ols,fdr_log_ols,sig_log_ols,n_models_sig,sign_concordant,consensus,direction,abs_tau,readout,rank_in_sign,notable
FKH1-GCN5-TFC7,-1.7992078920182242,0.0018739989384304,0.006027185774951827,True,-1.971849853805585,0.0015020928176208,0.0042559296499256,True,-1.668545861977594,2.3032871504810556e-18,5.5278891611545335e-17,True,-1.6708165743676768,2.9992259742861837e-16,7.198142338286842e-15,True,4,True,True,negative,1.7992078920182242,Total Titer,1.0,True
FKH1-GCN5-RFX1,-1.534155795976318,4.405835788223733e-05,0.0003084085051756613,True,-1.5414907478405353,1.4736964540462694e-05,7.971358092341183e-05,True,-1.3421789535621826,2.042511505374977e-12,7.659418145156164e-12,True,-1.3455384098871284,2.182150535908949e-11,9.029588424450823e-11,True,4,True,True,negative,1.534155795976318,Total Titer,2.0,True
FKH1-GCN5-YAP6,-1.5338153182097685,0.0017777719989462,0.005876524107627718,True,-1.5706480814804498,0.0008884187989846,0.002760252689637345,True,-1.36698304373044,7.980096404347365e-13,3.546709513043273e-12,True,-1.385206772204613,6.0880690163414015e-12,2.9222731278438723e-11,True,4,True,True,negative,1.5338153182097685,Total Titer,3.0,True
FKH1-GCN5-SPT3,-1.526906885646961,9.74173013861268e-05,0.0005520313745213852,True,-1.5559095150268636,3.43611306470315e-05,0.00017037393945819787,True,-1.3757389157760165,5.704375481215928e-13,2.6327886836381205e-12,True,-1.3695566817011962,1.010570528253478e-11,4.4914245700154574e-11,True,4,True,True,negative,1.526906885646961,Total Titer,4.0,True
FKH1-RFX1-SPT3,-1.384354749464666,6.7531094050110604e-09,2.6787333973210536e-07,True,-1.5568453184173785,3.885780883061685e-06,3.0054357063810655e-05,True,-1.311565636242756,1.4017347645841002e-12,5.800281784485932e-12,True,-1.315963130771728,1.5276674397595823e-11,6.54714617039821e-11,True,4,True,True,negative,1.384354749464666,Total Titer,5.0,True
FKH1-SPT3-YAP6,-1.3555318869877286,0.0042586107999502,0.010135493703881476,True,-1.5801998883446855,0.0023957467043309,0.005939455371153689,True,-1.335175418823161,5.538019790233236e-13,2.6327886836381205e-12,True,-1.3456458279207146,5.686823307731545e-12,2.8434116538657724e-11,True,4,True,True,negative,1.3555318869877286,Total Titer,6.0,True
FKH1-RFX1-YAP6,-1.3534951410011318,0.0056067362165121,0.012130938359362544,True,-1.545875898268303,0.0025581850361455,0.006212735087781929,True,-1.2843607282392346,1.712188488451098e-11,5.406911016161362e-11,True,-1.270389498416978,2.276307891819168e-10,6.662364561421955e-10,True,4,True,True,negative,1.3534951410011318,Total Titer,7.0,True
GCN5-TFC7-YAP6,-1.342379241869823,0.0158612478796793,0.02516651330242449,True,-1.4705015460591166,0.0146520875844402,0.02356214084524843,True,-1.286494539845056,1.585776319185677e-11,5.285921063952257e-11,True,-1.2669438099613233,2.529109038164077e-10,7.226025823325935e-10,True,4,True,True,negative,1.342379241869823,Total Titer,8.0,True
GCN5-SPT3-TFC7,-1.3158051931584998,0.0155738221604377,0.0250443896904336,True,-1.428215749375065,0.0132011904426248,0.021818634203782657,True,-1.251794453410839,5.4521644178761125e-11,1.45391051143363e-10,True,-1.2355882111732737,6.521890213189201e-10,1.7013626643102263e-09,True,4,True,True,negative,1.3158051931584998,Total Titer,9.0,False
FKH1-RFX1-RGR1,-1.3110999626024606,0.0032212491125456,0.008518414319842809,True,-1.453405568281057,0.000290847917219,0.0011536967383020335,True,-1.2378050472701316,2.301493343592024e-11,6.904480030776072e-11,True,-1.254815258720818,1.1129343879220035e-10,3.9280037220776596e-10,True,4,True,True,negative,1.3110999626024606,Total Titer,10.0,False
