triple,order,order_idx,gene_1,gene_2,gene_3,f_base,f_single,f_double,f_triple,se_single,se_double,se_triple,n_single,n_double,n_triple,tau_multiplicative,monotone,monotone_within_se,min_rung,valley_depth
RPD3-TFC7-YAP6,YAP6>RPD3>TFC7,4,YAP6,RPD3,TFC7,1.0,0.8684785485718481,0.8548333792880367,0.4967754412869396,0.01674239597127202,0.01830836136031523,0.013699541722572222,3,3,3,-0.7406107855146467,False,False,0.4967754412869396,0.1451666207119633
RPD3-TFC7-YAP6,YAP6>TFC7>RPD3,5,YAP6,TFC7,RPD3,1.0,0.8684785485718481,1.1970334696385558,0.4967754412869396,0.01674239597127202,0.023099073238032578,0.013699541722572222,3,3,3,-0.7406107855146467,False,False,0.4967754412869396,0.13152145142815186
RPD3-SPT3-TFC7,RPD3>SPT3>TFC7,0,RPD3,SPT3,TFC7,1.0,0.5245219492978349,0.8701657519569723,0.5000198758151277,0.026794921037720753,0.028233570792598292,0.031490242929495475,3,3,3,-0.712076789362621,False,False,0.5000198758151277,0.4754780507021651
RPD3-SPT3-TFC7,RPD3>TFC7>SPT3,1,RPD3,TFC7,SPT3,1.0,0.5245219492978349,0.752175313782936,0.5000198758151277,0.026794921037720753,0.016946885046647278,0.031490242929495475,3,3,3,-0.712076789362621,False,False,0.5000198758151277,0.4754780507021651
RPD3-SPT3-TFC7,SPT3>RPD3>TFC7,2,SPT3,RPD3,TFC7,1.0,0.8907531667337315,0.8701657519569723,0.5000198758151277,0.03756851678710308,0.028233570792598292,0.031490242929495475,3,3,3,-0.712076789362621,False,False,0.5000198758151277,0.12983424804302768
RPD3-SPT3-TFC7,SPT3>TFC7>RPD3,3,SPT3,TFC7,RPD3,1.0,0.8907531667337315,1.1287883319871692,0.5000198758151277,0.03756851678710308,0.010465324025435879,0.031490242929495475,3,3,3,-0.712076789362621,False,False,0.5000198758151277,0.1092468332662685
RPD3-SPT3-TFC7,TFC7>RPD3>SPT3,4,TFC7,RPD3,SPT3,1.0,0.7776174288814431,0.752175313782936,0.5000198758151277,0.030850811617237003,0.016946885046647278,0.031490242929495475,3,3,3,-0.712076789362621,False,False,0.5000198758151277,0.247824686217064
RPD3-SPT3-TFC7,TFC7>SPT3>RPD3,5,TFC7,SPT3,RPD3,1.0,0.7776174288814431,1.1287883319871692,0.5000198758151277,0.030850811617237003,0.010465324025435879,0.031490242929495475,3,3,3,-0.712076789362621,False,False,0.5000198758151277,0.22238257111855686
MED4-RPD3-YAP6,MED4>RPD3>YAP6,0,MED4,RPD3,YAP6,1.0,0.6856565140873089,1.0664621276410557,0.5793725088247645,0.042580554488161365,0.04908308114312141,0.007961166112002056,3,3,3,-0.9218176888505896,False,False,0.5793725088247645,0.3143434859126911
MED4-RPD3-YAP6,MED4>YAP6>RPD3,1,MED4,YAP6,RPD3,1.0,0.6856565140873089,1.1697340375607441,0.5793725088247645,0.042580554488161365,0.04543476275403326,0.007961166112002056,3,3,3,-0.9218176888505896,False,False,0.5793725088247645,0.3143434859126911
MED4-RPD3-YAP6,RPD3>MED4>YAP6,2,RPD3,MED4,YAP6,1.0,0.5245219492978349,1.0664621276410557,0.5793725088247645,0.026794921037720753,0.04908308114312141,0.007961166112002056,3,3,3,-0.9218176888505896,False,False,0.5245219492978349,0.4754780507021651
MED4-RPD3-YAP6,RPD3>YAP6>MED4,3,RPD3,YAP6,MED4,1.0,0.5245219492978349,0.8548333792880367,0.5793725088247645,0.026794921037720753,0.01830836136031523,0.007961166112002056,3,3,3,-0.9218176888505896,False,False,0.5245219492978349,0.4754780507021651
MED4-RPD3-YAP6,YAP6>MED4>RPD3,4,YAP6,MED4,RPD3,1.0,0.8684785485718481,1.1697340375607441,0.5793725088247645,0.01674239597127202,0.04543476275403326,0.007961166112002056,3,3,3,-0.9218176888505896,False,False,0.5793725088247645,0.13152145142815186
MED4-RPD3-YAP6,YAP6>RPD3>MED4,5,YAP6,RPD3,MED4,1.0,0.8684785485718481,0.8548333792880367,0.5793725088247645,0.01674239597127202,0.01830836136031523,0.007961166112002056,3,3,3,-0.9218176888505896,False,False,0.5793725088247645,0.1451666207119633
MED4-RFX1-YAP6,MED4>RFX1>YAP6,0,MED4,RFX1,YAP6,1.0,0.6856565140873089,1.1787334299194023,0.6397192833404621,0.042580554488161365,0.011362188117163293,0.009395864219307045,3,3,3,-1.0461878345083269,False,False,0.6397192833404621,0.3143434859126911
MED4-RFX1-YAP6,MED4>YAP6>RFX1,1,MED4,YAP6,RFX1,1.0,0.6856565140873089,1.1697340375607441,0.6397192833404621,0.042580554488161365,0.04543476275403326,0.009395864219307045,3,3,3,-1.0461878345083269,False,False,0.6397192833404621,0.3143434859126911
MED4-RFX1-YAP6,RFX1>MED4>YAP6,2,RFX1,MED4,YAP6,1.0,0.9136686175493707,1.1787334299194023,0.6397192833404621,0.06729492863706489,0.011362188117163293,0.009395864219307045,3,3,3,-1.0461878345083269,False,False,0.6397192833404621,0.08633138245062932
MED4-RFX1-YAP6,RFX1>YAP6>MED4,3,RFX1,YAP6,MED4,1.0,0.9136686175493707,0.9940723953832252,0.6397192833404621,0.06729492863706489,0.07570483084822907,0.009395864219307045,3,3,3,-1.0461878345083269,False,False,0.6397192833404621,0.08633138245062932
MED4-RFX1-YAP6,YAP6>MED4>RFX1,4,YAP6,MED4,RFX1,1.0,0.8684785485718481,1.1697340375607441,0.6397192833404621,0.01674239597127202,0.04543476275403326,0.009395864219307045,3,3,3,-1.0461878345083269,False,False,0.6397192833404621,0.13152145142815186
