triple,f_triple,se_triple,tau_multiplicative,n_monotone,n_monotone_within_se,max_valley_depth,intermediate_spread
RFX1-RPD3-YAP6,2.044525625674097,0.2225548916221627,0.6528055660110111,0,0,0.4754780507021651,0.536748758329899
FKH1-MED4-OPI1,2.016009741747559,0.1963825431599066,0.12260704267213263,0,0,0.3143434859126911,0.801724291915967
OPI1-RFX1-SPT3,1.8573005785096324,0.12456427481813505,0.41847452085864545,0,0,0.1591427288130144,0.24496497212351998
OPI1-RFX1-YAP6,1.8492985818346093,0.053037919090812055,0.4998058805148803,0,0,0.1591427288130144,0.24496497212351998
OPI1-SPT3-YAP6,1.8362908513766438,0.1603638735625351,0.3531101990478286,0,0,0.1591427288130144,0.3514532890739205
RFX1-SPT3-YAP6,1.827812500913411,0.06055264348469497,0.34295248326261274,0,0,0.13152145142815186,0.32383201168905795
RFX1-SPT3-TFC7,1.8092409224846462,0.034394382122710426,0.3612807070326387,0,0,0.22238257111855686,0.3511709031057261
OPI1-RPD3-TFC7,1.7479560224856527,0.13062022306112567,0.620374722253212,0,0,0.4754780507021651,0.4004199902634489
OPI1-TFC7-YAP6,1.7331577961098616,0.13293764539479067,0.3274649857494297,0,0,0.22238257111855686,0.4194160407571127
RFX1-RPD3-TFC7,1.731109093217898,0.059310964435648,0.4602633444167803,0,0,0.4754780507021651,0.536748758329899
OPI1-SPT3-TFC7,1.730029661081628,0.1779390851791173,0.3563594019678895,0,0,0.22238257111855686,0.3511709031057261
FKH1-GCN5-MED4,1.7294668052777438,0.10259510757679191,0.40213540434452544,1,1,0.3143434859126911,0.843451194968431
RFX1-RGR1-TFC7,1.7259923406662752,0.38455759676672063,0.32456015148029416,0,0,0.22238257111855686,0.3366929306727021
OPI1-RFX1-TFC7,1.720390540281165,0.0347370270903195,0.4590347254068815,0,0,0.22238257111855686,0.30820481442906245
RFX1-RGR1-YAP6,1.7101215639928178,0.03981128468904372,0.44871567003335855,0,0,0.13152145142815186,0.16486533972866912
FKH1-MED4-RPD3,1.7003639352684976,0.008621689011188469,0.12605209011495722,0,0,0.4754780507021651,0.768642751384406
OPI1-RFX1-RGR1,1.6382904005983534,0.09127215858353932,0.46879519194228525,0,0,0.22105696467073843,0.306879207981244
OPI1-RPD3-SPT3,1.637195704355694,0.19709249362278516,0.32424396079803075,0,0,0.4754780507021651,0.5109000334186501
OPI1-RGR1-TFC7,1.5967575140811385,0.02623810745308966,0.4438304144690267,0,0,0.22238257111855686,0.3366929306727021
RFX1-RGR1-RPD3,1.596250615841739,0.08663221696460438,0.18941668781926913,0,0,0.4754780507021651,0.536748758329899
OPI1-RPD3-YAP6,1.5843832927535446,0.14457253467540213,0.3088059324144289,0,0,0.4754780507021651,0.46604457313926484
FKH1-MED4-TFC7,1.5705701533458114,0.03457140323713712,0.0864560388845792,0,0,0.3143434859126911,0.5778688969149942
OPI1-RGR1-SPT3,1.565941783997306,0.04188753962165412,0.41626841464237463,0,0,0.22105696467073843,0.2649238954389225
RFX1-RPD3-SPT3,1.5632737156309975,0.17534797162036586,0.11883214992236757,0,0,0.4754780507021651,0.5389910880352465
FKH1-MED4-YAP6,1.5579971089132965,0.08143961878411675,-0.1443977501385607,0,0,0.3143434859126911,0.9336977882309844
FKH1-MED4-RFX1,1.543954260942822,0.02607600592478152,-0.14634979842305285,0,0,0.3143434859126911,0.9404861260639813
OPI1-RGR1-YAP6,1.539691418227097,0.07995993172911137,0.4591737135096594,0,0,0.22105696467073843,0.21162348710783818
RFX1-RGR1-SPT3,1.4998965613215993,0.05660239160708336,0.1403007616160219,0,0,0.1092468332662685,0.17275987059934994
FKH1-MED4-RGR1,1.4282118683948237,0.0021942799162774315,-0.18961450260800028,0,0,0.3143434859126911,0.7963575295401054
FKH1-MED4-SPT3,1.2250799660552256,0.027407802395162367,-0.3557998275878842,0,0,0.3143434859126911,0.8817254545861982
FKH1-OPI1-RGR1,1.1831670682425723,0.08903038455955926,-0.727465766622204,0,0,0.22105696467073843,0.7084377706740143
FKH1-RGR1-YAP6,1.1494592121967357,0.17246223571599087,-1.0700484523881935,0,0,0.13152145142815186,0.7508757537464451
GCN5-RFX1-SPT3,1.1399247966707362,0.006286417308679745,-0.17440997632060484,1,2,0.1092468332662685,0.19672886952404245
FKH1-SPT3-YAP6,1.1227730724275355,0.17254809946560828,-1.3555318869877286,0,0,0.13152145142815186,0.7508757537464451
FKH1-OPI1-RFX1,1.0801187937198922,0.017684046318209513,-1.2329805454434677,0,0,0.1591427288130144,0.7852853689643046
FKH1-OPI1-RPD3,1.0639301696361851,0.04818131420058791,-0.842883440921237,0,0,0.4754780507021651,0.9628588567054409
GCN5-RPD3-TFC7,1.0563952221398394,0.049846499567609545,-0.3960100297185697,0,0,0.4754780507021651,1.276824344885664
FKH1-RPD3-TFC7,1.0478812933179915,0.05856969651819743,-0.5621605571325933,0,0,0.4754780507021651,0.768642751384406
GCN5-RGR1-YAP6,1.0467428832727805,0.14309570926737467,-0.11170117850407335,0,1,0.13152145142815186,0.19171025868113578
GCN5-RFX1-RPD3,1.0440254176600519,0.0653006747998749,-0.2805277874923646,0,1,0.4754780507021651,0.536748758329899
GCN5-OPI1-SPT3,1.0393553480719648,0.06408116349119697,-0.1521192230489905,0,1,0.1591427288130144,0.24662476507078834
GCN5-RPD3-YAP6,1.035152165278445,0.08103001934442565,-0.10343330708614362,0,1,0.4754780507021651,0.535666857955149
FKH1-TFC7-YAP6,1.0331588028913468,0.03769457217942989,-1.1825469877394124,0,0,0.22238257111855686,0.8417368734368501
FKH1-RPD3-YAP6,1.032079857907408,0.01671531451216523,-0.8888307691850286,0,0,0.4754780507021651,1.0948323530204584
GCN5-RFX1-TFC7,1.0277477096533134,0.04016668936188811,-0.9317512605714549,0,1,0.22238257111855686,1.0237288653020555
FKH1-SPT3-TFC7,1.022133279032087,0.009619766998355905,-1.0869709594099397,0,0,0.22238257111855686,0.789764539792064
GCN5-RFX1-YAP6,1.0129419811316163,0.032340191617383,-0.22310106959884957,0,2,0.13152145142815186,0.19171025868113578
FKH1-OPI1-SPT3,1.0112815386479057,0.05497959767360343,-1.2074479498805784,0,0,0.1591427288130144,0.7265246974865215
FKH1-OPI1-YAP6,1.0093862237867393,0.020583648816437483,-1.2131328569002693,0,0,0.1591427288130144,0.7784970311313076
FKH1-RGR1-SPT3,1.0077675464962546,0.16161081033557792,-1.2092229777203103,0,0,0.1092468332662685,0.6766288019397756
GCN5-RFX1-RGR1,1.0065052698515389,0.04350201958488019,-0.12563498358521263,0,1,0.0878890033155586,0.14596579411188726
FKH1-RPD3-SPT3,0.9965039675309724,0.0498942378167146,-0.9185842467693364,0,0,0.4754780507021651,1.0428600193756723
FKH1-RFX1-YAP6,0.9947041182883808,0.013419049409912343,-1.3534951410011318,0,0,0.13152145142815186,0.757664091579442
FKH1-RGR1-RPD3,0.994662953916364,0.058319252563851294,-0.8586630139489684,0,0,0.4754780507021651,0.9574920943295794
FKH1-RFX1-SPT3,0.9789283882824926,0.012356001482625265,-1.384354749464666,0,0,0.1092468332662685,0.7353894734175587
GCN5-OPI1-RPD3,0.9762845476254736,0.06338705872205433,-0.14198021370766745,0,0,0.4754780507021651,0.5335548414984937
FKH1-GCN5-OPI1,0.9689213375644138,0.08086861169341715,-1.0481317864861897,0,0,0.1591427288130144,0.6882504378687543
FKH1-RGR1-TFC7,0.9593016703803915,0.02081651092687806,-1.0666768931697002,0,0,0.22238257111855686,0.7043966147459712
FKH1-GCN5-RGR1,0.9565278574813124,0.03153016548499011,-1.1022262285449076,0,0,0.0878890033155586,0.6169967123712985
FKH1-OPI1-TFC7,0.954979557464327,0.049970720666606676,-0.8722879148599461,0,0,0.22238257111855686,0.7097633771218327
OPI1-RFX1-RPD3,0.9482887150512859,0.09405532643079328,-0.5527728926422673,0,0,0.4754780507021651,0.5613002940126707
FKH1-RFX1-RGR1,0.9454732343894472,0.10848485917652366,-1.3110999626024606,0,0,0.0878890033155586,0.7140316434668488
GCN5-RGR1-TFC7,0.9315255272693261,0.011619898418995855,-1.1237633118081962,0,0,0.22238257111855686,1.0237288653020555
GCN5-RGR1-RPD3,0.9293700243478739,0.035533923413725604,-0.12061408807613039,0,0,0.4754780507021651,0.5335548414984937
MED4-OPI1-RGR1,0.9283094287684238,0.014386597484666915,-0.9003318685702306,0,0,0.3143434859126911,0.7744415529247165
GCN5-RGR1-SPT3,0.9134752180737413,0.028128658756432213,-0.30459882991895704,0,0,0.1092468332662685,0.19672886952404245
GCN5-OPI1-RGR1,0.9050222482469824,0.06671575860263816,0.12509183067302176,0,0,0.22105696467073843,0.2791337554670671
FKH1-RFX1-RPD3,0.9032217981831817,0.05348046450592749,-1.225493953249593,0,0,0.4754780507021651,1.1016206908534554
RGR1-RPD3-SPT3,0.9000023058543695,0.04793776188242569,-0.34062994139221847,0,0,0.4754780507021651,0.5193449814703491
GCN5-SPT3-YAP6,0.8980616208727238,0.038333362943858904,-0.6152594207037851,0,0,0.13152145142815186,0.32383201168905795
FKH1-RFX1-TFC7,0.8976411109801212,0.05370295419845779,-1.0989151072455428,0,0,0.22238257111855686,0.848525211269847
GCN5-TFC7-YAP6,0.8838942567663025,0.01839419037512444,-1.342379241869823,0,0,0.22238257111855686,1.0237288653020555
GCN5-OPI1-YAP6,0.879831406321094,0.04647583420468217,-0.26170071706037823,0,0,0.1591427288130144,0.2193315360659983
GCN5-MED4-OPI1,0.8751177528377436,0.04918254662734032,-0.8322715434619927,0,0,0.3143434859126911,0.7744415529247165
MED4-OPI1-YAP6,0.8720137805651553,0.02338672198119007,-1.0573938601989183,0,0,0.3143434859126911,0.7744415529247165
FKH1-GCN5-TFC7,0.869593185583279,0.13565426146870685,-1.7992078920182242,0,0,0.22238257111855686,1.0237288653020555
MED4-OPI1-RPD3,0.8665609221338962,0.036420724520210807,-0.8254124639504409,0,0,0.4754780507021651,0.9355761177141905
GCN5-SPT3-TFC7,0.8629535266418741,0.042576360040684276,-1.3158051931584998,0,0,0.22238257111855686,1.0237288653020555
MED4-OPI1-RFX1,0.860640819663027,0.08056048779049163,-1.1555209651412544,0,0,0.3143434859126911,0.7744415529247165
GCN5-OPI1-RFX1,0.8584782855095892,0.02329099024617248,-0.31714118004482894,0,0,0.1591427288130144,0.24496497212351998
MED4-OPI1-TFC7,0.8547885125583001,0.11666017130224585,-0.9486625771151773,0,0,0.3143434859126911,0.7744415529247165
GCN5-RPD3-SPT3,0.8411942506931367,0.04260804564525166,-0.3196716896810241,0,0,0.4754780507021651,0.562960086959939
RGR1-RPD3-TFC7,0.8365081375549307,0.03110963135569357,-0.3462284979335791,0,0,0.4754780507021651,0.5897884102563103
GCN5-MED4-RPD3,0.8217754169293231,0.037023690305783015,-0.5467949562371648,0,0,0.4754780507021651,0.5419401783432208
FKH1-GCN5-RPD3,0.8109094192202382,0.0831392700956866,-1.0194918247865496,0,0,0.4754780507021651,1.004585759757905
OPI1-RGR1-RPD3,0.8100277417014414,0.09063391951427822,-0.3472424704648377,0,0,0.4754780507021651,0.4004199902634489
RGR1-SPT3-YAP6,0.8086384449577949,0.01310107944934383,-0.6563338826696479,0,0,0.13152145142815186,0.32383201168905795
RGR1-TFC7-YAP6,0.8050513150027655,0.007344885802417123,-0.7926120849788043,0,0,0.22238257111855686,0.4194160407571127
MED4-RPD3-TFC7,0.8028881962665296,0.055607437633470334,-0.5823164306465605,0,0,0.4754780507021651,0.6184212432192456
RFX1-TFC7-YAP6,0.7961257424607494,0.04598156220447694,-0.6704519405199565,0,0,0.22238257111855686,0.4194160407571127
