triple,gene_i,gene_j,gene_k,f_base,f_single_mean,f_double_mean,f_triple,sd_triple,tau_multiplicative
FKH1-GCN5-TFC7,FKH1,GCN5,TFC7,1.0,0.9175121249508925,1.5313264714138473,0.869593185583279,0.23496007312703332,-1.7992078920182242
FKH1-GCN5-RFX1,FKH1,GCN5,RFX1,1.0,0.962862521173535,1.3951660523675768,0.7554198457415905,0.08198849974617105,-1.5341557959763181
FKH1-GCN5-YAP6,FKH1,GCN5,YAP6,1.0,0.9477991648476941,1.4028836062090058,0.7946052426034851,0.24975123009223682,-1.5338153182097685
FKH1-GCN5-SPT3,FKH1,GCN5,SPT3,1.0,0.955224037568322,1.3946572379956736,0.7623900862551919,0.023053553692762872,-1.526906885646961
FKH1-RFX1-SPT3,FKH1,RFX1,SPT3,1.0,0.907087979819336,1.4190125487192928,0.9789283882824926,0.021401222346303334,-1.384354749464666
FKH1-SPT3-YAP6,FKH1,SPT3,YAP6,1.0,0.8920246234934951,1.4596822770842355,1.1227730724275355,0.2988620750238818,-1.3555318869877286
FKH1-RFX1-YAP6,FKH1,RFX1,YAP6,1.0,0.8996631070987081,1.4131897792842694,0.9947041182883808,0.018977401669652713,-1.3534951410011318
GCN5-TFC7-YAP6,GCN5,TFC7,YAP6,1.0,0.9013909227498732,1.3528561903583463,0.8838942567663025,0.031859672293809954,-1.342379241869823
GCN5-SPT3-TFC7,GCN5,SPT3,TFC7,1.0,0.9088157954705011,1.339205554142814,0.8629535266418741,0.07374441879181047,-1.3158051931584998
FKH1-RFX1-RGR1,FKH1,RFX1,RGR1,1.0,0.9142072564695726,1.380500190693074,0.9454732343894472,0.18790128794569372,-1.3110999626024606
GCN5-MED4-TFC7,GCN5,MED4,TFC7,1.0,0.8404502445883603,1.2956060267022267,0.7720049143927209,0.07372206338214521,-1.2770607345894311
FKH1-OPI1-RFX1,FKH1,OPI1,RFX1,1.0,0.8904560146370873,1.3997818964883573,1.0801187937198922,0.030629666706540215,-1.2329805454434677
FKH1-RFX1-RPD3,FKH1,RFX1,RPD3,1.0,0.7850109073407038,1.3268593494870882,0.9032217981831817,0.09263088173665039,-1.225493953249593
FKH1-OPI1-YAP6,FKH1,OPI1,YAP6,1.0,0.8753926583112465,1.3657672102528897,1.0093862237867393,0.03565192555522471,-1.2131328569002693
FKH1-RGR1-SPT3,FKH1,RGR1,SPT3,1.0,0.9065687728643596,1.3644209810230352,1.0077675464962546,0.2799181345535984,-1.2092229777203103
FKH1-OPI1-SPT3,FKH1,OPI1,SPT3,1.0,0.8828175310318742,1.3633949191310892,1.0112815386479057,0.09522745655037677,-1.2074479498805784
FKH1-TFC7-YAP6,FKH1,TFC7,YAP6,1.0,0.8543127108760656,1.359971060986384,1.0331588028913468,0.06528891418434488,-1.1825469877394124
MED4-OPI1-RFX1,MED4,OPI1,RFX1,1.0,0.8133941342745551,1.241551246747311,0.860640819663027,0.1395348579356637,-1.1555209651412544
MED4-OPI1-SPT3,MED4,OPI1,SPT3,1.0,0.805755650669342,1.1950077603366418,0.7690951210394923,0.06213683520513864,-1.1304440443614063
GCN5-RGR1-TFC7,GCN5,RGR1,TFC7,1.0,0.9159350721207377,1.2865932647184688,0.9315255272693261,0.016433017937541625,-1.1237633118081962
FKH1-GCN5-RGR1,FKH1,GCN5,RGR1,1.0,0.9623433142185586,1.3184149643669723,0.9565278574813124,0.05461184859105746,-1.1022262285449076
FKH1-RFX1-TFC7,FKH1,RFX1,TFC7,1.0,0.8693760672019065,1.2833070000434108,0.8976411109801212,0.09301624518827324,-1.0989151072455428
