gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,df_effective,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
FKH1_MED4,digenic,C14:0,-2.1202865411845098,0.5922530628551824,0.34193746526781993,0.0026537415118796925,4.321276474930929,0.011556616261411565,2.1202865411845098,True,True
FKH1_MED4,digenic,C16:0,0.13389437422677736,0.11963969948868523,0.06907401270555835,0.1581064906031009,2.6989148086561605,0.20136203991904358,0.13389437422677736,False,False
FKH1_MED4,digenic,C18:0,0.12312248503553536,0.10989046195631574,0.06344528779185123,0.1813797716844383,2.176962517554638,0.22483389058263992,0.12312248503553536,False,False
FKH1_MED4,digenic,C16:1,-0.3451455024122374,0.22308378559170342,0.12879748366321073,0.06193481588238847,3.5907172849210163,0.09610574878301659,0.3451455024122374,False,False
FKH1_MED4,digenic,C18:1,0.23003590520298056,0.14697719917304833,0.08485732550729669,0.04125319357102031,5.1144125479619476,0.07327869910641764,0.23003590520298056,True,False
FKH1_MED4,digenic,Total Titer,0.07550199873273677,0.12227681491286618,0.07059655200559334,0.342987191726442,4.156252488462601,0.38747507015121063,0.07550199873273677,False,False
GCN5_RPD3,digenic,C14:0,-1.0303233431422072,0.4633501997079294,0.26767219354931626,0.03201838895067377,2.9434448519572687,0.06483145360159397,1.0303233431422072,True,False
GCN5_RPD3,digenic,C16:0,0.1921397679465666,0.13391522137582382,0.0776957069881887,0.10572832416540301,2.526250646448993,0.14868045585759798,0.1921397679465666,False,False
GCN5_RPD3,digenic,C18:0,0.19504356240943624,0.10530775093486892,0.06081761735475017,0.08072318787033761,2.0806811584126783,0.11873084727174467,0.19504356240943624,False,False
GCN5_RPD3,digenic,C16:1,-0.5889840350900823,0.2651917123428805,0.1620183777746443,0.03077633865042917,3.2884530069996587,0.06392008796627598,0.5889840350900823,True,False
GCN5_RPD3,digenic,C18:1,0.1918793120192367,0.16008529976185568,0.09793359825537597,0.1414628696486504,3.1183383234987807,0.18761234263059404,0.1918793120192367,False,False
GCN5_RPD3,digenic,Total Titer,0.18423707522643074,0.1568569188466998,0.0917951372277483,0.14317686540120378,2.8500210467509843,0.18857440808939033,0.18423707522643074,False,False
RPD3_TFC7,digenic,C14:0,-0.5331864504180803,0.7832515311807142,0.452210482370372,0.35558918254077043,2.081273058287006,0.40003783035836676,0.5331864504180803,False,False
RPD3_TFC7,digenic,C16:0,0.5033391140356189,0.06494301578675388,0.03749486764646846,2.209662250884925e-05,5.447879851617146,0.0015820919865083827,0.5033391140356189,True,True
RPD3_TFC7,digenic,C18:0,0.4997712172684362,0.0713408879992327,0.04118868089058394,5.859599950031047e-05,5.104688712551993,0.0015820919865083827,0.4997712172684362,True,True
RPD3_TFC7,digenic,C16:1,-0.21595857174230149,0.27287937779847515,0.15754698222824723,0.29915435653182954,2.088656164977754,0.3481537769982499,0.21595857174230149,False,False
RPD3_TFC7,digenic,C18:1,0.16148837797534915,0.031809142480816205,0.0183650169739904,0.00622444969947078,2.4836954263316584,0.021546172036629625,0.16148837797534915,True,True
RPD3_TFC7,digenic,Total Titer,0.34429790417807093,0.054310187780121456,0.03135600153459225,4.796507428261876e-05,5.694161513336084,0.0015820919865083827,0.34429790417807093,True,True
OPI1_RGR1,digenic,C14:0,-1.9704892175000672,0.9458073542010873,0.5460621305495255,0.03859360153481539,2.9011619007232508,0.07167600379738337,1.9704892175000672,True,False
OPI1_RGR1,digenic,C16:0,0.15565222725283068,0.09417750440893338,0.05437340752210486,0.03439677444379852,5.113529347153067,0.06778926350237664,0.15565222725283068,True,False
OPI1_RGR1,digenic,C18:0,0.1559088142800258,0.11782986456261868,0.06802910402380503,0.08087141840611256,4.177913216328494,0.11873084727174467,0.1559088142800258,False,False
OPI1_RGR1,digenic,C16:1,-0.6100455380597347,0.16811420414568667,0.0970607810181119,0.004743414418306946,3.5721610762518474,0.017307052607336153,0.6100455380597347,True,True
OPI1_RGR1,digenic,C18:1,-0.10200688795604762,0.0663918422755609,0.03833134800979025,0.045043956164451115,4.975240231096179,0.0764897368830302,0.10200688795604762,True,False
OPI1_RGR1,digenic,Total Titer,0.011987871637540448,0.055710558165728494,0.03216450575368765,0.7240077995130498,5.226266344118927,0.7432779690818382,0.011987871637540448,False,False
RGR1_RPD3,digenic,C14:0,-2.0209371337643276,0.8077483180128774,0.4663537088422022,0.023828247773586497,2.9272728297512116,0.054316233734999,2.0209371337643276,True,False
RGR1_RPD3,digenic,C16:0,0.4669095805080649,0.16481962468432276,0.09515865467922685,0.023759864481599724,2.5351042332832057,0.054316233734999,0.4669095805080649,True,False
RGR1_RPD3,digenic,C18:0,0.5435036629395806,0.1709966671582527,0.09872497181434604,0.021053665326996596,2.381601409739869,0.04900422101973345,0.5435036629395806,True,True
