gene_set,interaction_type,ffa_type,interaction_score,standard_deviation,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
FKH1_MED4,digenic,C14:0,-1.251097540407355,0.33053251844753956,0.1908330385016119,0.0014106501166446517,0.007934906906126166,1.251097540407355,True,True
FKH1_MED4,digenic,C16:0,0.23035317358266205,0.12662296902303558,0.07310580525103923,0.045387025372826795,0.07251181568439784,0.23035317358266205,True,False
FKH1_MED4,digenic,C18:0,0.21443737347753644,0.1188879569763338,0.06863999396369097,0.055391917319744355,0.08449614506401681,0.21443737347753644,False,False
FKH1_MED4,digenic,C16:1,-0.2804469049356353,0.18930657937443568,0.1092962045611977,0.0818942914537999,0.11699184493399986,0.2804469049356353,False,False
FKH1_MED4,digenic,C18:1,0.2689963800577352,0.168058476430919,0.09702860660698946,0.036844092734738654,0.06418003250567378,0.2689963800577352,True,False
FKH1_MED4,digenic,Total Titer,0.10164212555604357,0.13077979701868028,0.07550575101329968,0.237839272338785,0.2866812657654998,0.10164212555604357,False,False
GCN5_RPD3,digenic,C14:0,-0.42407725615733094,0.4226086905631569,0.24408367590043603,0.21540664939606224,0.26764194525256507,0.42407725615733094,False,False
GCN5_RPD3,digenic,C16:0,0.4276826269916283,0.14981099592823793,0.08841584195551531,0.009973795433634525,0.029592579858036504,0.4276826269916283,True,True
GCN5_RPD3,digenic,C18:0,0.6266563957454899,0.12072698086775879,0.06978493458045452,0.0021192248160062377,0.010038433338976915,0.6266563957454899,True,True
GCN5_RPD3,digenic,C16:1,-0.8256712611207435,0.26997939674127763,0.1675138211756837,0.0164302059119783,0.04012927075259518,0.8256712611207435,True,True
GCN5_RPD3,digenic,C18:1,-0.2657260709226892,0.2515647550381662,0.16876614559379297,0.2862207041067544,0.33310168150355035,0.2657260709226892,False,False
GCN5_RPD3,digenic,Total Titer,0.156622835947555,0.16704270484780526,0.10059245216253178,0.20750305596262208,0.26303204276952097,0.156622835947555,False,False
