Name,IO:total worker,Workers,Chunk Size,Loader Batch Size,IO Workers,process Workers,Runtime (min),Event,No OOM,,
io_41-pw_23-cs_4e4,0.63,64,40000,1000,41,23,268.38,16,,,
io_40-pw_24-cs_3e4_r1,0.62,64,30000,1000,40,24,275.68,16,,,
io_40-pw_24-cs_3e4_r2,0.62,64,30000,1000,40,24,358.32,16,,,
io_40-pw_24-cs_2e4,0.62,64,20000,1000,40,24,358.70,16,x,,
io_32-pw_32-cs_1e4,0.5,64,10000,1000,32,32,358.53,15,x,,
io_48-pw_16-cs_2e4,0.75,64,20000,1000,48,16,358.05,9,x,,
