,Query Strain ID,Query allele name,Array Strain ID,Array allele name,Arraytype/Temp,Genetic interaction score (ε),P-value,Query single mutant fitness (SMF),Array SMF,Double mutant fitness,Double mutant fitness standard deviation,Query Systematic Name,Array Systematic Name,Temperature,query_perturbation_type,array_perturbation_type,combined_name
1392266,YAL001C_tsq508,tfc3-g349e,YGL113W_tsa1119,sld3-5001,TSA30,0.0048,0.4962,0.8285,0.7886,0.6582,0.0406,YAL001C,YGL113W,30,temperature sensitive,temperature sensitive,YAL001C_YGL113W
1689619,YGL113W_tsq1382,sld3-5001,YAL001C_tsa508,tfc3-g349e,TSA26,0.0481,0.02446,1.0478,0.8658,0.9553,0.0202,YGL113W,YAL001C,26,temperature sensitive,temperature sensitive,YAL001C_YGL113W
1393039,YAL025C_tsq1295,mak16-5001,YGL113W_tsa1119,sld3-5001,TSA26,0.0231,0.1311,0.6862,0.7931,0.5673,0.0154,YAL025C,YGL113W,26,temperature sensitive,temperature sensitive,YAL025C_YGL113W
1689620,YGL113W_tsq1382,sld3-5001,YAL025C_tsa1066,mak16-5001,TSA26,-0.0368,0.1022,1.0478,0.6862,0.6822,0.0224,YGL113W,YAL025C,26,temperature sensitive,temperature sensitive,YAL025C_YGL113W
1393817,YAL032C_tsq2549,prp45-5002,YGL113W_tsa1119,sld3-5001,TSA26,0.0274,0.01525,0.9091,0.7931,0.7484,0.0094,YAL032C,YGL113W,26,temperature sensitive,temperature sensitive,YAL032C_YGL113W
1395373,YAL033W_tsq2934,pop5-5006,YGL113W_tsa1119,sld3-5001,TSA26,-0.0425,0.2156,,0.7931,0.7506,0.0517,YAL033W,YGL113W,26,temperature sensitive,temperature sensitive,YAL033W_YGL113W
1394595,YAL033W_tsq2933,pop5-5005,YGL113W_tsa1119,sld3-5001,TSA26,0.0645,0.02025,,0.7931,0.8576,0.0288,YAL033W,YGL113W,26,temperature sensitive,temperature sensitive,YAL033W_YGL113W
1396151,YAL034W-A_tsq1259,mtw1-ts,YGL113W_tsa1119,sld3-5001,TSA26,0.0497,0.09983,0.887,0.7931,0.7532,0.0356,YAL034W-A,YGL113W,26,temperature sensitive,temperature sensitive,YAL034W-A_YGL113W
1689621,YGL113W_tsq1382,sld3-5001,YAL034W-A_tsa235,mtw1-ts,TSA26,0.0747,0.06854,1.0478,0.887,1.0041,0.0492,YGL113W,YAL034W-A,26,temperature sensitive,temperature sensitive,YAL034W-A_YGL113W
1689622,YGL113W_tsq1382,sld3-5001,YAL038W_tsa34,cdc19-1,TSA26,-0.0267,0.2274,1.0478,0.9005,0.9168,0.0298,YGL113W,YAL038W,26,temperature sensitive,temperature sensitive,YAL038W_YGL113W
1396929,YAL038W_tsq26,cdc19-1,YGL113W_tsa1119,sld3-5001,TSA26,0.0067,0.4688,0.9005,0.7931,0.7209,0.0284,YAL038W,YGL113W,26,temperature sensitive,temperature sensitive,YAL038W_YGL113W
