run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,svr.kernel,svr.C,svr.gamma,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
e0pt084l,True,1000,sum,['random_1'],rbf,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajd41hwy,True,1000,sum,['random_1'],poly,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ul091a8,True,1000,sum,['random_1'],linear,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r41oatp1,True,1000,sum,['random_1'],sigmoid,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mtewi2he,True,1000,sum,['one_hot_gene'],rbf,0.1,0.1,43.0,0.04546690751418436,0.04211576554855179,0.43751258503931106,0.2841644540600743,0.5090831641282548,0.2729658835552306,0.03247186488178607,0.042765232515380266,0.0016268982890417624,0.004162629590811509,0.04033482724695573,0.06451844380339244,-0.07587554188153312,0.06577259032714611,-0.02382281149665499,0.09933704585327764,-0.03149922906790903,0.04238469944138401,-0.1216716755996754,0.09103815036170416,-0.2738828674949172,0.06048916813794036,0.24424788142550288,0.579668142604187,0.08450076062406635,0.5886805405993667,0.10482363762231443,0.5672650565789374,0.225123636111703,0.5901648208298067,0.23891247379262567,0.5900252706920872,0.43577349560447826,0.4171366640161484,0.263342885431399,0.4432662844051012,0.2682257350722425,0.4450949929371356,0.3141583713074239,0.4173776256293033,0.363635411350644,0.4427698982207471,0.004302654414033441,0.003068602181993093,0.0039886338736677225,0.002978590635931598,0.004668000838235441,0.003013054243109783,0.0030375973910722128,0.003278162684229276,0.00247755411547493,0.0035645178934586253,0.04408034205699632,0.041472433139735754,0.043257194294769194,0.03858268936624161,0.04306778343368228,0.0415597793059032,0.04281092731127664,0.04087121068645064,0.03975472831771153,0.04364186698915902,0.0655946218377196,0.05539496531268066,0.06315563216109647,0.05457646595311571,0.06832276954453355,0.05489129478441716,0.055114402755289046,0.05725524154371612,0.04977503506251834,0.059703583589753015,-0.10535042510813794,0.10202828901025214,0.07180433082429045,0.023226707265639097,0.17952167791524248,0.07811059242127923,0.583160766260877,0.009893408367927061,0.32902717975323753,0.07215405273192366,0.43312909304168706,0.014515139039355108,0.0036948881264967496,0.0009105695991054165,0.0031805855277444754,0.00024409747043242945,0.04259419508288719,0.001656957383201096,0.041225595897498045,0.0018111817256816307,0.0603924922722314,0.007716459975696438,0.05636431023673653,0.002136018282164415
ibijeih1,True,1000,sum,['one_hot_gene'],poly,0.1,0.1,48.0,-0.06811385372219081,-0.003887356647004792,0.20467603267597,0.2851747126440862,0.09519163863181278,0.07165208743913876,0.03425583940677994,0.04313500971475758,0.001820484396823841,0.004362543057213433,0.04266713485604395,0.0660495500152229,-0.08424280222477543,-0.06787362696761878,-0.0218832598948544,-0.0522549892581925,-0.024138652968316077,-0.08075696514958453,-0.08364216754770215,-0.030140512581902312,-0.29621927374933277,-0.08445212290336812,0.14990448931204656,0.590199154141692,0.024918056717940965,0.54138546657442,0.0702860148134743,0.5839257542077996,0.13562064406520077,0.583954593480414,0.046299020225799625,0.5785905354947788,0.11985971347663324,0.22945412196245393,-0.060526827819195925,0.22988890628228517,0.03665626857579976,0.20514953047767867,0.026520403629760388,0.2153437807322762,0.013699779435754414,0.26828609387154173,0.004336116862288615,0.003507582102470323,0.003981077721243887,0.0034799220320836845,0.0046346909002010295,0.0034005089076112605,0.0029346097370595765,0.0037151924354169663,0.002520995829507376,0.004114427280233629,0.04317071653024818,0.04169806367272537,0.043029268387576335,0.04004791807206894,0.04230217086641956,0.04146864889038663,0.04105896811762046,0.04021197622001648,0.03936950381895632,0.044671421588403086,0.0658491978864482,0.059224843625545545,0.06309578211928185,0.05899086397132767,0.06807856417552466,0.05831388263193646,0.054172038332146746,0.06095237842297022,0.0502095193116542,0.06414380157297843,-0.10202523127699617,0.11275474779856323,-0.06309564337213325,0.0223294147883055,0.08540564502689243,0.054996196921003146,0.5756111007798209,0.01956929802614066,0.027241867459750373,0.06433107506924057,0.22962448666524712,0.02396758673691946,0.003681498210060097,0.0009126140934527433,0.0036435265515631725,0.00028774485333195944,0.04178612554416417,0.0015888374356914138,0.041619605688720106,0.001857023598481759,0.06028102036501113,0.007721463091054211,0.060325154044951666,0.002345831679816514
6pdtcaw3,True,1000,sum,['one_hot_gene'],linear,0.1,0.1,57.0,-0.03912512381125155,-0.04885928176103138,0.2630989643842877,0.08181652583169549,0.19973734226357992,0.16510677523719328,0.033407318734248535,0.04643545364055783,0.0017710762459018218,0.004557975302053135,0.04208415670893052,0.06751277880559453,-0.1463692849499172,0.18643360627946728,-0.19659449842193433,0.28521931520533284,-0.10732744142221984,0.07455163762461914,-0.363155127750761,0.21871195706092073,-0.4422216995266066,0.22543233393097417,0.11801079025924131,0.5389088392015078,-0.023690138590853706,0.5749636120000925,0.04201665332154501,0.5105814767182154,0.04998441712469397,0.5596329988483546,0.014713417245157723,0.5497756877309322,0.16689053884822552,0.2121314627997486,-0.05303707171882568,0.2185288081846294,0.0716880690207229,0.1847361730614284,0.05384575656396879,0.20505803894065233,0.02973652897754997,0.22983840905464603,0.004584573839624696,0.002672273993589315,0.004661722024412776,0.002363857694681355,0.00501115781679341,0.0029118437366315465,0.00369155836753093,0.00281770825587079,0.0028049535779659496,0.0029387211001340495,0.04601604872405897,0.041663165870772616,0.04740734020773971,0.037383895486892305,0.04616815199711561,0.044393507351381166,0.04703776616065291,0.04250681358737998,0.04060645219895544,0.0431644576120685,0.06770948116493507,0.051694042147904386,0.06827680443908293,0.04861951968789238,0.07078953183058502,0.053961502357065136,0.060758195887723083,0.0530820897843217,0.052961812449782625,0.054209972331057774,-0.2511336104142878,0.14464937868347164,0.19806977002026283,0.07772062524302059,0.04020702787195686,0.05216576844840716,0.5467725228998205,0.024190792103150047,0.0538247643383283,0.07921909894191366,0.21005857840822095,0.016833842030869184,0.004150793125265552,0.0008960499568032919,0.0027408809561814108,0.0002351195886481263,0.045447151857704524,0.0027680430930600536,0.041822367981698916,0.0026742200461391517,0.06409916515442174,0.007253460533748471,0.05231342526164827,0.002287600701431312
wk8vtsuj,True,1000,sum,['one_hot_gene'],sigmoid,0.1,0.1,45.0,-0.015060506663808091,0.01648728251804432,0.25217971504573367,0.16673956335626597,0.10773314791212672,0.08040789524884204,0.033191489125776664,0.04294763972299004,0.0017300607119493383,0.004274002007219943,0.04159399850879136,0.06537585186611294,-0.0920892294210356,0.009444844857520727,-0.04414168954000863,0.029053987374474732,-0.035104577241160895,-0.011974910714918074,-0.12020151281119196,0.04424864388293326,-0.3093758757438292,0.00363268544881612,0.12656375756712157,0.48928491974290256,-0.03188146792330398,0.47966283528497056,0.025039727928047893,0.4510485723322807,0.0732986817265611,0.4891804651088497,0.03953927284831889,0.4946248637548387,0.12956204221544904,0.22184237306740895,-0.06977836104428697,0.22840737073812545,0.009791702032822407,0.18907048444018024,0.0133519149912547,0.20435381265268335,0.02816878230341984,0.2502773167584176,0.004367496388354743,0.003253618636086826,0.004067792654199454,0.0032110243769728573,0.0046843166703956635,0.0031840920846518883,0.003033616045418315,0.0034469086158800343,0.0025465838912113775,0.003780232223758395,0.043992436474959755,0.04166276038759291,0.0438709690420922,0.03975679688968069,0.0428006711623236,0.04171418238166847,0.04216797432367245,0.040499252533626046,0.03987847490523615,0.043991553921975006,0.06608703646218933,0.05704049996350686,0.06377924940134883,0.056665901360278895,0.06844206798742761,0.056427759876251406,0.05507827199012615,0.05871037911545142,0.050463688838722216,0.06148359312660895,-0.12018257695144526,0.11135957910637655,0.014881050169765353,0.02202639542482129,0.04651199442934909,0.05869630186905081,0.48076033124476847,0.017462714852865324,0.0222192160997318,0.07115916313399577,0.21879027153136313,0.023371537325188235,0.00373996112991591,0.0009105155144181701,0.0033751751874700003,0.00024872229662408233,0.04254210518165683,0.0016711595177169767,0.04152490922290862,0.001606032083338224,0.06077006293596282,0.007661639892593775,0.058065626688419504,0.002108964423332168
bbiflqh5,True,1000,sum,['one_hot_gene'],rbf,0.1,0.01,49.0,-0.06711061760112091,-0.0009396610207326184,0.22312931869839325,0.17605448181514696,0.3680014168684154,0.2342175545661517,0.0343651195938467,0.04329864237827911,0.0018187744894966648,0.004349733403815542,0.04264709239205722,0.0659525086999391,-0.07516387082634046,-0.04287770853575368,-0.028167167968675463,-0.042241948744054625,-0.02620946928295864,-0.0686861161020711,-0.09497364549874464,-0.020473410895683664,-0.28236053874658906,-0.06206427958196637,0.12390952724231208,0.5023662037092474,-0.004095167619935607,0.4957030749763437,0.04323311411939344,0.4792591506014048,0.08867170256928802,0.4987724741604541,0.048136170100364216,0.5107602390266286,0.35525133191204294,0.3836849390404295,0.21157305339699953,0.4058249494725577,0.2154872705221253,0.3869286885394673,0.2871570773958866,0.3670119335685549,0.27873939452582636,0.3982323833613063,0.004299808290585361,0.003425479469806396,0.00400555872354312,0.0034468078148559194,0.00464406228121633,0.003362529018485291,0.0029652964955913697,0.003680328120677,0.0024940422007103695,0.004029487473891086,0.042734653227163355,0.04122841639760694,0.04347615877395919,0.0402340205609312,0.04238616847387571,0.041563717755592935,0.041453632653181714,0.04045428219892479,0.03914550007538678,0.0442410589804032,0.06557292345614431,0.058527595797251024,0.06328948351458652,0.05870952064917512,0.0681473571110159,0.05798731773832353,0.054454536042384656,0.060665707946722255,0.049940386469373356,0.063478244098991,-0.10137493846466165,0.10546683074085932,-0.04726869277190589,0.01897466363382642,0.05997106928228443,0.04857097757373694,0.4973722284948157,0.011586726960270419,0.26964162555057614,0.05920987146893586,0.3883365787964631,0.01485034055486491,0.00368175359832931,0.0009133521373205113,0.0035889263795431383,0.00027414261797491745,0.04183922264071335,0.0016722235557278156,0.04154429917869181,0.0016029378897030233,0.06028093731870095,0.007742915657889867,0.059873677246092584,0.00225531388443862
djedsljk,True,1000,sum,['one_hot_gene'],poly,0.1,0.01,48.0,-0.0656145210900323,-0.004359329308255999,0.2046760326758424,0.2850931775256328,0.09519163863181278,0.07706874959903012,0.03414338932403891,0.04303940362586714,0.0018162245550069208,0.0043645940851927195,0.04261718614604818,0.06606507462489329,-0.08462084981519147,-0.07635163952481117,-0.02210245882882189,-0.06029124500396921,-0.02589918710628769,-0.09337896937979108,-0.08378316354310211,-0.03806091939674494,-0.3000086285959924,-0.0941670540870887,0.14893533515004878,0.5943908261503359,0.024918056717706093,0.5413854665746578,0.07028601481323032,0.5839257542077816,0.14073469178094816,0.5797788993726549,0.04358825898466181,0.5775850612877464,0.10777051148329753,0.23060191877076047,-0.060526827819195925,0.22988890628228517,0.03665626857579976,0.20514953047767867,0.02871331761789161,0.2143052508442672,0.0021810620538211616,0.2685446717797331,0.00433762875476158,0.00353542933491352,0.00398193168179573,0.0035064988064498503,0.004642658113942159,0.0034402229591517786,0.002934991568104342,0.003743757310911647,0.002528365684252184,0.004151285871815227,0.04316166515966786,0.04177765024190617,0.04303925838838383,0.040145277803038365,0.04242499713325996,0.04170015576227428,0.041050591422864206,0.04028044651778412,0.03943549615494117,0.044839285387953814,0.06586067684712617,0.05945947640968192,0.06310254893263607,0.0592156972976748,0.06813705389831702,0.058653413874656765,0.05417556246227945,0.06118625099572327,0.05028285676303788,0.06443047316150353,-0.10328285757787911,0.1140263425491753,-0.07244996547848101,0.02374510042244534,0.08569247148931904,0.056420206768992474,0.5754132015186354,0.02008903200737957,0.022958866382322828,0.06085911182729562,0.22969805563094492,0.024235725206599664,0.0036851151605711992,0.0009126222247410427,0.0036754388566484046,0.0002892091450009652,0.0418224016518234,0.0015756345749869112,0.04174856314259135,0.001889553097683088,0.060311739780679316,0.007714370129733782,0.060589062347848055,0.0023463749852127283
