hgnc.symbol:AP1	'AP1'	'DNA-binding'	'hgnc.symbol:AP1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:NFE2L3	'NFE2L3'	'DNA-binding'	'hgnc.symbol:NFE2L3'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:NFKB	'NFKB'	'DNA-binding'	'hgnc.symbol:NFKB'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:CARF	'CARF'	'DNA-binding'	'hgnc.symbol:CARF'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:KAT7	'KAT7'	'DNA-binding'	'hgnc.symbol:KAT7'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:TFAP2B	'TFAP2B'	'DNA-binding'	'hgnc.symbol:TFAP2B'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:DMTF1	'DMTF1'	'DNA-binding'	'hgnc.symbol:DMTF1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:HIVEP2	'HIVEP2'	'DNA-binding'	'hgnc.symbol:HIVEP2'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:SP140	'SP140'	'DNA-binding'	'hgnc.symbol:SP140'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
hgnc.symbol:RFX1	'RFX1'	'DNA-binding'	'hgnc.symbol:RFX1'	'id'	'BiologicalEntity|Entity|Gene|NamedThing|ThingWithTaxon|TranscriptionFactor'
