genes,n_triples,worst_triple,mean_triple,median_triple,n_above_zero,gene_names
"(38, 136, 199, 399, 486)",10,-0.032562255859375,0.031110000610351563,0.035736083984375,7,"YCR033W, YER059W, YGL096W, YLR386W, YPL089C"
"(14, 136, 199, 399, 486)",10,-0.01348876953125,0.03104534149169922,0.035736083984375,7,"YBR028C, YER059W, YGL096W, YLR386W, YPL089C"
"(14, 136, 199, 246, 492)",10,0.0138092041015625,0.04958953857421875,0.0356597900390625,10,"YBR028C, YER059W, YGL096W, YGR121C, YPL256C"
"(136, 193, 246, 275, 492)",10,0.0060272216796875,0.1017730712890625,0.03521728515625,10,"YER059W, YGL060W, YGR121C, YGR279C, YPL256C"
"(136, 193, 246, 486, 492)",10,-0.0021991729736328125,0.15048370361328126,0.03521728515625,9,"YER059W, YGL060W, YGR121C, YPL089C, YPL256C"
"(14, 38, 136, 199, 360)",10,0.0135345458984375,0.0354339599609375,0.03460693359375,10,"YBR028C, YCR033W, YER059W, YGL096W, YKL166C"
"(136, 199, 246, 399, 488)",10,-0.0285186767578125,0.08692626953125,0.0344696044921875,7,"YER059W, YGL096W, YGR121C, YLR386W, YPL181W"
"(136, 199, 246, 399, 486)",10,-0.025634765625,0.05914039611816406,0.0344696044921875,7,"YER059W, YGL096W, YGR121C, YLR386W, YPL089C"
"(14, 136, 199, 246, 399)",10,-0.025634765625,0.03945465087890625,0.0344696044921875,8,"YBR028C, YER059W, YGL096W, YGR121C, YLR386W"
"(136, 246, 275, 365, 502)",10,0.0015735626220703125,0.04586582183837891,0.034454345703125,10,"YER059W, YGR121C, YGR279C, YKR028W, YPL177C"
"(14, 136, 199, 275, 488)",10,-0.005580902099609375,0.050008964538574216,0.0339813232421875,9,"YBR028C, YER059W, YGL096W, YGR279C, YPL181W"
"(14, 38, 136, 199, 246)",10,-0.01371002197265625,0.03884906768798828,0.03392791748046875,8,"YBR028C, YCR033W, YER059W, YGL096W, YGR121C"
"(136, 199, 246, 275, 488)",10,-0.0022487640380859375,0.11048622131347656,0.03376007080078125,9,"YER059W, YGL096W, YGR121C, YGR279C, YPL181W"
"(136, 199, 246, 486, 492)",10,0.0005664825439453125,0.06161975860595703,0.03253173828125,10,"YER059W, YGL096W, YGR121C, YPL089C, YPL256C"
"(38, 136, 199, 246, 492)",10,-0.01371002197265625,0.030039405822753905,0.03253173828125,9,"YCR033W, YER059W, YGL096W, YGR121C, YPL256C"
"(12, 136, 365, 488, 498)",10,-0.006824493408203125,0.08620548248291016,0.03240966796875,9,"YBR001C, YER059W, YKR028W, YPL181W, YPR008W"
"(14, 136, 193, 479, 488)",10,0.0020389556884765625,0.10734500885009765,0.03228759765625,10,"YBR028C, YER059W, YGL060W, YOR371C, YPL181W"
"(12, 136, 365, 408, 488)",10,-0.0018138885498046875,0.08916435241699219,0.0317535400390625,9,"YBR001C, YER059W, YKR028W, YML100W, YPL181W"
"(14, 136, 199, 486, 492)",10,-0.0002727508544921875,0.031457138061523435,0.0313720703125,9,"YBR028C, YER059W, YGL096W, YPL089C, YPL256C"
"(136, 246, 292, 479, 488)",10,0.00463104248046875,0.21908187866210938,0.03125,10,"YER059W, YGR121C, YHR003C, YOR371C, YPL181W"
"(14, 136, 246, 486, 492)",10,-0.0002727508544921875,0.07214546203613281,0.030975341796875,9,"YBR028C, YER059W, YGR121C, YPL089C, YPL256C"
"(14, 136, 246, 275, 492)",10,0.0060272216796875,0.050994873046875,0.030975341796875,10,"YBR028C, YER059W, YGR121C, YGR279C, YPL256C"
"(136, 246, 292, 486, 492)",10,-0.00830841064453125,0.1435831069946289,0.030517578125,9,"YER059W, YGR121C, YHR003C, YPL089C, YPL256C"
"(14, 136, 199, 246, 275)",10,-0.005580902099609375,0.047168540954589847,0.0302734375,8,"YBR028C, YER059W, YGL096W, YGR121C, YGR279C"
"(136, 199, 246, 399, 492)",10,-0.1444091796875,-0.00408935546875,0.0302734375,6,"YER059W, YGL096W, YGR121C, YLR386W, YPL256C"
