query_gene,query_systematic,graph,gene_set,n_graph_nodes,set_size_in_graph,degree,neighbors_in_set,expected_in_set,fold_enrichment,hypergeom_p,shortest_path_to_set,set_neighbors,frac_genes_with_any_set_neighbor
GEA1,YJR031C,string12_0_neighborhood,go_GO_0008299_isoprenoid_biosynthetic_process,2191,16,0,0,0.0,,1.0,,,0.358740301232314
VPS1,YKR001C,string12_0_neighborhood,mva_ggpp_backbone,2191,10,16,0,0.0730260155180283,0.0,1.0,2.0,,0.30260155180282977
VPS1,YKR001C,string12_0_neighborhood,mva_ggpp_plus_squalene_branch,2191,12,16,0,0.08763121862163396,0.0,1.0,2.0,,0.3258785942492013
VPS1,YKR001C,string12_0_neighborhood,go_GO_0008299_isoprenoid_biosynthetic_process,2191,16,16,0,0.11684162482884528,0.0,1.0,2.0,,0.358740301232314
PCT1,YGR202C,string12_0_neighborhood,mva_ggpp_backbone,2191,10,75,0,0.34230944774075767,0.0,1.0,2.0,,0.30260155180282977
PCT1,YGR202C,string12_0_neighborhood,mva_ggpp_plus_squalene_branch,2191,12,75,0,0.4107713372889092,0.0,1.0,2.0,,0.3258785942492013
PCT1,YGR202C,string12_0_neighborhood,go_GO_0008299_isoprenoid_biosynthetic_process,2191,16,75,1,0.5476951163852122,1.8258333333333334,0.42835629646927276,1.0,YDL193W,0.358740301232314
HXK2,YGL253W,string12_0_neighborhood,mva_ggpp_backbone,2191,10,3,0,0.013692377909630305,0.0,1.0,2.0,,0.30260155180282977
HXK2,YGL253W,string12_0_neighborhood,mva_ggpp_plus_squalene_branch,2191,12,3,0,0.016430853491556367,0.0,1.0,2.0,,0.3258785942492013
HXK2,YGL253W,string12_0_neighborhood,go_GO_0008299_isoprenoid_biosynthetic_process,2191,16,3,0,0.02190780465540849,0.0,1.0,2.0,,0.358740301232314
GEA1,YJR031C,string12_0_fusion,mva_ggpp_backbone,3081,10,2,0,0.006491398896462187,0.0,1.0,3.0,,0.02596559558584875
GEA1,YJR031C,string12_0_fusion,mva_ggpp_plus_squalene_branch,3081,12,2,0,0.007789678675754625,0.0,1.0,3.0,,0.029535864978902954
GEA1,YJR031C,string12_0_fusion,go_GO_0008299_isoprenoid_biosynthetic_process,3081,16,2,0,0.0103862382343395,0.0,1.0,3.0,,0.03537812398571892
VPS1,YKR001C,string12_0_fusion,mva_ggpp_backbone,3081,10,16,0,0.0519311911716975,0.0,1.0,3.0,,0.02596559558584875
VPS1,YKR001C,string12_0_fusion,mva_ggpp_plus_squalene_branch,3081,12,16,0,0.062317429406037,0.0,1.0,3.0,,0.029535864978902954
VPS1,YKR001C,string12_0_fusion,go_GO_0008299_isoprenoid_biosynthetic_process,3081,16,16,0,0.083089905874716,0.0,1.0,3.0,,0.03537812398571892
PCT1,YGR202C,string12_0_fusion,mva_ggpp_backbone,3081,10,6,0,0.019474196689386564,0.0,1.0,3.0,,0.02596559558584875
PCT1,YGR202C,string12_0_fusion,mva_ggpp_plus_squalene_branch,3081,12,6,0,0.023369036027263874,0.0,1.0,3.0,,0.029535864978902954
PCT1,YGR202C,string12_0_fusion,go_GO_0008299_isoprenoid_biosynthetic_process,3081,16,6,0,0.0311587147030185,0.0,1.0,3.0,,0.03537812398571892
HXK2,YGL253W,string12_0_fusion,mva_ggpp_backbone,3081,10,18,2,0.05842259006815969,34.233333333333334,0.0014113751422157143,1.0,YLR450W;YML075C,0.02596559558584875
HXK2,YGL253W,string12_0_fusion,mva_ggpp_plus_squalene_branch,3081,12,18,2,0.07010710808179163,28.527777777777775,0.00205572283752648,1.0,YLR450W;YML075C,0.029535864978902954
HXK2,YGL253W,string12_0_fusion,go_GO_0008299_isoprenoid_biosynthetic_process,3081,16,18,2,0.0934761441090555,21.395833333333336,0.0036862671533480925,1.0,YLR450W;YML075C,0.03537812398571892
GEA1,YJR031C,string12_0_cooccurence,mva_ggpp_backbone,2601,7,1,0,0.002691272587466359,0.0,1.0,,,0.0034602076124567475
GEA1,YJR031C,string12_0_cooccurence,mva_ggpp_plus_squalene_branch,2601,9,1,0,0.0034602076124567475,0.0,1.0,,,0.005382545174932718
GEA1,YJR031C,string12_0_cooccurence,go_GO_0008299_isoprenoid_biosynthetic_process,2601,11,1,0,0.004229142637447136,0.0,1.0,,,0.006535947712418301
VPS1,YKR001C,string12_0_cooccurence,mva_ggpp_backbone,2601,7,4,0,0.010765090349865437,0.0,1.0,2.0,,0.0034602076124567475
VPS1,YKR001C,string12_0_cooccurence,mva_ggpp_plus_squalene_branch,2601,9,4,0,0.01384083044982699,0.0,1.0,2.0,,0.005382545174932718
VPS1,YKR001C,string12_0_cooccurence,go_GO_0008299_isoprenoid_biosynthetic_process,2601,11,4,0,0.016916570549788543,0.0,1.0,2.0,,0.006535947712418301
PCT1,YGR202C,string12_0_cooccurence,mva_ggpp_backbone,2601,7,3,0,0.008073817762399077,0.0,1.0,,,0.0034602076124567475
PCT1,YGR202C,string12_0_cooccurence,mva_ggpp_plus_squalene_branch,2601,9,3,0,0.010380622837370242,0.0,1.0,,,0.005382545174932718
PCT1,YGR202C,string12_0_cooccurence,go_GO_0008299_isoprenoid_biosynthetic_process,2601,11,3,0,0.012687427912341407,0.0,1.0,,,0.006535947712418301
HXK2,YGL253W,string12_0_cooccurence,mva_ggpp_backbone,2601,7,3,0,0.008073817762399077,0.0,1.0,,,0.0034602076124567475
HXK2,YGL253W,string12_0_cooccurence,mva_ggpp_plus_squalene_branch,2601,9,3,0,0.010380622837370242,0.0,1.0,,,0.005382545174932718
HXK2,YGL253W,string12_0_cooccurence,go_GO_0008299_isoprenoid_biosynthetic_process,2601,11,3,0,0.012687427912341407,0.0,1.0,,,0.006535947712418301
GEA1,YJR031C,string12_0_coexpression,mva_ggpp_backbone,6474,10,161,0,0.24868705591597157,0.0,1.0,2.0,,0.27293790546802593
GEA1,YJR031C,string12_0_coexpression,mva_ggpp_plus_squalene_branch,6474,12,161,0,0.29842446709916587,0.0,1.0,2.0,,0.29703429101019463
GEA1,YJR031C,string12_0_coexpression,go_GO_0008299_isoprenoid_biosynthetic_process,6474,18,161,0,0.44763670064874883,0.0,1.0,2.0,,0.3396663577386469
VPS1,YKR001C,string12_0_coexpression,mva_ggpp_backbone,6474,10,553,0,0.8541859746679024,0.0,1.0,2.0,,0.27293790546802593
VPS1,YKR001C,string12_0_coexpression,mva_ggpp_plus_squalene_branch,6474,12,553,0,1.0250231696014829,0.0,1.0,2.0,,0.29703429101019463
VPS1,YKR001C,string12_0_coexpression,go_GO_0008299_isoprenoid_biosynthetic_process,6474,18,553,0,1.5375347544022242,0.0,1.0,2.0,,0.3396663577386469
PCT1,YGR202C,string12_0_coexpression,mva_ggpp_backbone,6474,10,291,2,0.4494902687673772,4.449484536082474,0.0713890569245495,1.0,YML126C;YPL069C,0.27293790546802593
PCT1,YGR202C,string12_0_coexpression,mva_ggpp_plus_squalene_branch,6474,12,291,2,0.5393883225208527,3.7079037800687282,0.09875889498138259,1.0,YML126C;YPL069C,0.29703429101019463
PCT1,YGR202C,string12_0_coexpression,go_GO_0008299_isoprenoid_biosynthetic_process,6474,18,291,3,0.809082483781279,3.7079037800687282,0.04445905700294613,1.0,YDL193W;YML126C;YPL069C,0.3396663577386469
HXK2,YGL253W,string12_0_coexpression,mva_ggpp_backbone,6474,10,571,6,0.8819894964473278,6.802802101576182,7.07448986042793e-05,1.0,YJL167W;YML075C;YML126C;YMR208W;YNR043W;YPL028W,0.27293790546802593
HXK2,YGL253W,string12_0_coexpression,mva_ggpp_plus_squalene_branch,6474,12,571,7,1.0583873957367933,6.6138353765324,2.1399505055110147e-05,1.0,YHR190W;YJL167W;YML075C;YML126C;YMR208W;YNR043W;YPL028W,0.29703429101019463
HXK2,YGL253W,string12_0_coexpression,go_GO_0008299_isoprenoid_biosynthetic_process,6474,18,571,7,1.58758109360519,4.409223584354933,0.0005365337262819301,1.0,YBR003W;YHR190W;YJL167W;YML075C;YML126C;YMR208W;YNR043W,0.3396663577386469
GEA1,YJR031C,string12_0_experimental,mva_ggpp_backbone,6016,10,121,0,0.20113031914893617,0.0,1.0,2.0,,0.20395611702127658
GEA1,YJR031C,string12_0_experimental,mva_ggpp_plus_squalene_branch,6016,12,121,0,0.24135638297872342,0.0,1.0,2.0,,0.22273936170212766
GEA1,YJR031C,string12_0_experimental,go_GO_0008299_isoprenoid_biosynthetic_process,6016,17,121,1,0.3419215425531915,2.9246475449684004,0.2923967825928659,1.0,YDL193W,0.2230718085106383
VPS1,YKR001C,string12_0_experimental,mva_ggpp_backbone,6016,10,685,0,1.1386303191489362,0.0,1.0,2.0,,0.20395611702127658
VPS1,YKR001C,string12_0_experimental,mva_ggpp_plus_squalene_branch,6016,12,685,0,1.3663563829787233,0.0,1.0,2.0,,0.22273936170212766
VPS1,YKR001C,string12_0_experimental,go_GO_0008299_isoprenoid_biosynthetic_process,6016,17,685,1,1.9356715425531914,0.516616573636754,0.8722824600727682,1.0,YNR041C,0.2230718085106383
PCT1,YGR202C,string12_0_experimental,mva_ggpp_backbone,6016,10,144,2,0.2393617021276596,8.355555555555554,0.022574083710138165,1.0,YML126C;YPL069C,0.20395611702127658
PCT1,YGR202C,string12_0_experimental,mva_ggpp_plus_squalene_branch,6016,12,144,2,0.2872340425531915,6.962962962962962,0.032091127382574886,1.0,YML126C;YPL069C,0.22273936170212766
PCT1,YGR202C,string12_0_experimental,go_GO_0008299_isoprenoid_biosynthetic_process,6016,17,144,2,0.40691489361702127,4.915032679738562,0.06119630499184833,1.0,YML126C;YPL069C,0.2230718085106383
HXK2,YGL253W,string12_0_experimental,mva_ggpp_backbone,6016,10,289,0,0.48038563829787234,0.0,1.0,2.0,,0.20395611702127658
HXK2,YGL253W,string12_0_experimental,mva_ggpp_plus_squalene_branch,6016,12,289,0,0.5764627659574468,0.0,1.0,2.0,,0.22273936170212766
HXK2,YGL253W,string12_0_experimental,go_GO_0008299_isoprenoid_biosynthetic_process,6016,17,289,0,0.816655585106383,0.0,1.0,2.0,,0.2230718085106383
GEA1,YJR031C,string12_0_database,mva_ggpp_backbone,4027,10,2,0,0.004966476285075739,0.0,1.0,4.0,,0.0685373727340452
GEA1,YJR031C,string12_0_database,mva_ggpp_plus_squalene_branch,4027,12,2,0,0.005959771542090887,0.0,1.0,4.0,,0.09038986838837844
GEA1,YJR031C,string12_0_database,go_GO_0008299_isoprenoid_biosynthetic_process,4027,17,2,0,0.008443009684628756,0.0,1.0,4.0,,0.07921529674695803
VPS1,YKR001C,string12_0_database,mva_ggpp_backbone,4027,10,0,0,0.0,,1.0,,,0.0685373727340452
