model,split,recorded_pearson,pearson,spearman,mse,rmse
M01_lzs9pcj3,val,0.45196262,0.4519695230991059,0.4220813340493496,0.003244153256721767,0.05695746884054599
M01_lzs9pcj3,test,,0.44337622676125077,0.4263647459728688,0.003400584811673174,0.05831453345156055
M01_lzs9pcj3,test,,,,,1.206656436880671e-06
M02_yv4r30bi,val,0.447154701,0.4473189188145604,0.4160788414685212,0.003258010461424386,0.05707898441129087
M02_yv4r30bi,test,,0.4379499245792899,0.42410014633869236,0.0034387244339582294,0.05864063807598131
M02_yv4r30bi,test,,,,,1.282072464248163e-06
M03_c7671wgj,val,0.46188128,0.4619173198853909,0.4251491352454185,0.0031632751288884087,0.05624300071020757
M03_c7671wgj,test,,0.45510229885657605,0.426171716097292,0.003314656186551384,0.05757305087062335
M03_c7671wgj,test,,,,,9.049923277437699e-07
