run,run_id,stage,epoch,_step,point_loss,dist_loss,graph_reg_loss,weighted_graph_reg,norm_weighted_graph_reg,total_loss,loss,pearson
1598,0yw7moue,train,0,10,1.0045437812805176,0.2951202392578125,60.06321334838867,60.06321334838867,0.9830967783927917,61.09727478027344,61.09727478027344,
1598,0yw7moue,train,0,11,1.0632507801055908,0.3264879584312439,60.065162658691406,60.065162658691406,0.9821012020111084,61.16106414794922,61.16106414794922,
1598,0yw7moue,train,0,12,1.191796064376831,0.3810884952545166,60.0626220703125,60.0626220703125,0.979938268661499,61.29252624511719,61.29252624511719,
1598,0yw7moue,train,0,13,1.473288655281067,0.5089303255081177,60.062644958496094,60.062644958496094,0.9753384590148926,61.58682632446289,61.58682632446289,
1598,0yw7moue,train,0,14,1.088416337966919,0.31918397545814514,60.06193542480469,60.06193542480469,0.9816924333572388,61.182273864746094,61.182273864746094,
1598,0yw7moue,train,0,15,0.9187532663345337,0.2598019242286682,60.062477111816406,60.062477111816406,0.9845261573791504,61.00720977783203,61.00720977783203,
1598,0yw7moue,train,0,16,1.0412958860397339,0.3112841248512268,60.06086730957031,60.06086730957031,0.9824591875076294,61.13329315185547,61.13329315185547,
1598,0yw7moue,train,0,17,1.4441688060760498,0.4954010248184204,60.062416076660156,60.062416076660156,0.9757688641548157,61.556121826171875,61.556121826171875,
1598,0yw7moue,train,0,18,1.105966567993164,0.3495851755142212,60.062660217285156,60.062660217285156,0.9813650250434875,61.203582763671875,61.203582763671875,
1598,0yw7moue,train,0,19,1.2020713090896606,0.3904345631599426,60.06066131591797,60.06066131591797,0.9798288345336914,61.30177688598633,61.30177688598633,
1598,0yw7moue,train,0,20,1.1233762502670288,0.34702321887016296,60.062591552734375,60.062591552734375,0.9811054468154907,61.220672607421875,61.220672607421875,
1598,0yw7moue,train,0,21,1.2284352779388428,0.39955419301986694,60.06372833251953,60.06372833251953,0.9793450832366943,61.332122802734375,61.332122802734375,
1598,0yw7moue,train,0,22,0.932768702507019,0.2766205072402954,60.06151580810547,60.06151580810547,0.9842684268951416,61.02194595336914,61.02194595336914,
1598,0yw7moue,train,0,23,0.8785983324050903,0.2456044703722,60.061134338378906,60.061134338378906,0.9851889610290527,60.964290618896484,60.964290618896484,
1598,0yw7moue,train,0,24,1.0197559595108032,0.3155933618545532,60.06044387817383,60.06044387817383,0.9828070402145386,61.11175537109375,61.11175537109375,
1598,0yw7moue,train,0,25,1.1138887405395508,0.3402818441390991,60.05866622924805,60.05866622924805,0.9812541007995605,61.206581115722656,61.206581115722656,
1598,0yw7moue,train,0,26,1.0840647220611572,0.33353573083877563,60.060638427734375,60.060638427734375,0.9817507266998291,61.17805862426758,61.17805862426758,
1598,0yw7moue,train,0,27,1.1482881307601929,0.35281386971473694,60.059852600097656,60.059852600097656,0.9806860685348511,61.24342727661133,61.24342727661133,
1598,0yw7moue,train,0,28,1.2676970958709717,0.4110333025455475,60.058265686035156,60.058265686035156,0.9786831140518188,61.367069244384766,61.367069244384766,
1598,0yw7moue,train,0,29,1.149991750717163,0.35828810930252075,60.06122589111328,60.06122589111328,0.9806637763977051,61.247047424316406,61.247047424316406,
1598,0yw7moue,train,0,30,1.0375118255615234,0.31888988614082336,60.058799743652344,60.058799743652344,0.98250812292099,61.12820053100586,61.12820053100586,
1598,0yw7moue,train,0,31,1.0574339628219604,0.31449174880981445,60.05826187133789,60.05826187133789,0.9822000861167908,61.14714813232422,61.14714813232422,
1598,0yw7moue,train,0,32,1.05238938331604,0.325382798910141,60.05738067626953,60.05738067626953,0.9822617769241333,61.142311096191406,61.142311096191406,
1598,0yw7moue,train,0,33,0.8580021262168884,0.24642819166183472,60.058677673339844,60.058677673339844,0.9855186939239502,60.941322326660156,60.941322326660156,
1598,0yw7moue,train,0,34,1.0327343940734863,0.32058292627334595,60.05834197998047,60.05834197998047,0.9825819730758667,61.123130798339844,61.123130798339844,
1598,0yw7moue,train,0,35,0.9764124155044556,0.2811335325241089,60.05889129638672,60.05889129638672,0.9835551381111145,61.06341552734375,61.06341552734375,
1598,0yw7moue,train,0,36,1.3765531778335571,0.4678018391132355,60.05780029296875,60.05780029296875,0.976880669593811,61.48112487792969,61.48112487792969,
1598,0yw7moue,train,0,37,1.284205436706543,0.4236370921134949,60.057273864746094,60.057273864746094,0.9784690141677856,61.38384246826172,61.38384246826172,
1598,0yw7moue,train,0,38,0.9064435958862305,0.2636079788208008,60.06011199951172,60.06011199951172,0.9847137928009033,60.992919921875,60.992919921875,
1598,0yw7moue,train,1,51,0.8903713226318359,0.3023144602775574,59.72212219238281,59.72212219238281,0.9848259687423706,60.64272689819336,60.64272689819336,
1598,0yw7moue,train,1,52,1.0540385246276855,0.4175901710987091,55.68721008300781,55.68721008300781,0.9807024002075195,56.78300476074219,56.78300476074219,
1598,0yw7moue,train,1,53,0.965699315071106,0.3835705816745758,42.02070617675781,42.02070617675781,0.976672351360321,43.0247688293457,43.0247688293457,
1598,0yw7moue,train,1,54,1.1289441585540771,0.4734075963497162,23.250045776367188,23.250045776367188,0.9519138336181641,24.426332473754883,24.426332473754883,
1598,0yw7moue,train,1,55,0.9345575571060181,0.3988788425922394,11.727943420410156,11.727943420410156,0.9233534336090088,12.702388763427734,12.702388763427734,
1598,0yw7moue,train,1,56,0.9623854756355286,0.41991037130355835,8.213747024536133,8.213747024536133,0.8912110924720764,9.218122482299805,9.218122482299805,
1598,0yw7moue,train,1,57,0.9224873185157776,0.4062429666519165,6.512938976287842,6.512938976287842,0.8725847601890564,7.476050853729248,7.476050853729248,
1598,0yw7moue,train,1,58,1.1511098146438599,0.5219902992248535,5.391383171081543,5.391383171081543,0.8194358348846436,6.594692230224609,6.594692230224609,
1598,0yw7moue,train,1,59,0.898773729801178,0.4041975736618042,4.597414970397949,4.597414970397949,0.8306980729103088,5.536608695983887,5.536608695983887,
1598,0yw7moue,train,1,60,1.0386099815368652,0.4750635027885437,3.9993762969970703,3.9993762969970703,0.788118839263916,5.0854926109313965,5.0854926109313965,
1598,0yw7moue,train,1,61,0.8809434771537781,0.3937273621559143,3.5292582511901855,3.5292582511901855,0.7943710088729858,4.4495744705200195,4.4495744705200195,
1598,0yw7moue,train,1,62,0.965166449546814,0.43566620349884033,3.1581523418426514,3.1581523418426514,0.7597066164016724,4.1668853759765625,4.1668853759765625,
1598,0yw7moue,train,1,63,0.7041481137275696,0.30343812704086304,2.8605687618255615,2.8605687618255615,0.796258807182312,3.595060348510742,3.595060348510742,
1598,0yw7moue,train,1,64,1.0210111141204834,0.4547574520111084,2.6211276054382324,2.6211276054382324,0.711707592010498,3.6876142024993896,3.6876142024993896,
1598,0yw7moue,train,1,65,1.068535327911377,0.43171411752700806,2.423021078109741,2.423021078109741,0.6973842978477478,3.5347275733947754,3.5347275733947754,
1598,0yw7moue,train,1,66,0.8775901794433594,0.38956305384635925,2.3258838653564453,2.3258838653564453,0.7175325751304626,3.2424302101135254,3.2424302101135254,
1598,0yw7moue,train,1,67,1.0462069511413574,0.352912038564682,2.148195743560791,2.148195743560791,0.6716500520706177,3.22969388961792,3.22969388961792,
1598,0yw7moue,train,1,68,0.8010528087615967,0.2155863344669342,2.01996111869812,2.01996111869812,0.7112810611724854,2.8425724506378174,2.8425724506378174,
1598,0yw7moue,train,1,69,0.7967004179954529,0.1968483328819275,1.9103947877883911,1.9103947877883911,0.7023693323135376,2.7267799377441406,2.7267799377441406,
1598,0yw7moue,train,1,70,0.8913842439651489,0.24469564855098724,1.8135852813720703,1.8135852813720703,0.6649872064590454,2.7294387817382812,2.7294387817382812,
1598,0yw7moue,train,1,71,0.9746483564376831,0.2872432768344879,1.72611665725708,1.72611665725708,0.6372124552726746,2.729489326477051,2.729489326477051,
1598,0yw7moue,train,1,72,0.9459161162376404,0.27087387442588806,1.6481350660324097,1.6481350660324097,0.6297255754470825,2.621138572692871,2.621138572692871,
1598,0yw7moue,train,1,73,0.7227240204811096,0.19265343248844147,1.5785908699035645,1.5785908699035645,0.6825202107429504,2.320580244064331,2.320580244064331,
1598,0yw7moue,train,1,74,0.8348466753959656,0.24171453714370728,1.5164042711257935,1.5164042711257935,0.641218900680542,2.375422477722168,2.375422477722168,
1598,0yw7moue,train,1,75,0.7443626523017883,0.22297196090221405,1.4605252742767334,1.4605252742767334,0.662662923336029,2.2271852493286133,2.2271852493286133,
1598,0yw7moue,train,1,76,0.6678199768066406,0.16080573201179504,1.4094440937042236,1.4094440937042236,0.6736899614334106,2.0933446884155273,2.0933446884155273,
1598,0yw7moue,train,1,77,0.8499453663825989,0.2742132544517517,1.3619985580444336,1.3619985580444336,0.6098438501358032,2.239365339279175,2.239365339279175,
1598,0yw7moue,train,1,78,0.7938143014907837,0.2365666627883911,1.3173860311508179,1.3173860311508179,0.6185134053230286,2.134856939315796,2.134856939315796,
1598,0yw7moue,train,1,79,0.8026744723320007,0.21563410758972168,1.2796592712402344,1.2796592712402344,0.6113317608833313,2.1038970947265625,2.1038970947265625,
1598,0yw7moue,train,1,80,1.1045581102371216,0.3748885989189148,1.2408597469329834,1.2408597469329834,0.5237420201301575,2.382906675338745,2.382906675338745,
1598,0yw7moue,train,2,93,0.7515125274658203,0.221373051404953,1.2057654857635498,1.2057654857635498,0.6150432825088501,1.9794154167175293,1.9794154167175293,
1598,0yw7moue,train,2,94,0.7882504463195801,0.2252107560634613,1.173499584197998,1.173499584197998,0.5995057821273804,1.9842711687088013,1.9842711687088013,
1598,0yw7moue,train,2,95,0.9664775133132935,0.31601637601852417,1.1427057981491089,1.1427057981491089,0.5470899939537048,2.1407852172851562,2.1407852172851562,
1598,0yw7moue,train,2,96,1.0979759693145752,0.37178313732147217,1.1142828464508057,1.1142828464508057,0.5050951838493347,2.2494373321533203,2.2494373321533203,
1598,0yw7moue,train,2,97,0.7477996349334717,0.22994783520698547,1.0879924297332764,1.0879924297332764,0.5868120789527893,1.858786702156067,1.858786702156067,
1598,0yw7moue,train,2,98,0.6877380609512329,0.18691200017929077,1.0624001026153564,1.0624001026153564,0.6030191779136658,1.768829345703125,1.768829345703125,
1598,0yw7moue,train,2,99,0.741101861000061,0.2389669418334961,1.0370240211486816,1.0370240211486816,0.5791777968406677,1.8020226955413818,1.8020226955413818,
1598,0yw7moue,train,2,100,0.7958036065101624,0.23019090294837952,1.0150105953216553,1.0150105953216553,0.5563101768493652,1.8338332176208496,1.8338332176208496,
1598,0yw7moue,train,2,101,0.7506173849105835,0.18113642930984497,0.9928804636001587,0.9928804636001587,0.5679735541343689,1.7616114616394043,1.7616114616394043,
1598,0yw7moue,train,2,102,0.7028380632400513,0.17665517330169678,0.9718923568725586,0.9718923568725586,0.5747656226158142,1.6923959255218506,1.6923959255218506,
1598,0yw7moue,train,2,103,0.9897931814193726,0.27830761671066284,0.9528483748435974,0.9528483748435974,0.4892711341381073,1.9704723358154297,1.9704723358154297,
1598,0yw7moue,train,2,104,1.2171204090118408,0.4226611256599426,0.9352949857711792,0.9352949857711792,0.4529213309288025,2.194681406021118,2.194681406021118,
1598,0yw7moue,train,2,105,0.8402705192565918,0.25096970796585083,0.9174239635467529,0.9174239635467529,0.5266448259353638,1.7827916145324707,1.7827916145324707,
1598,0yw7moue,train,2,106,0.9289053082466125,0.2715269923210144,0.8995360732078552,0.8995360732078552,0.48904120922088623,1.8555940389633179,1.8555940389633179,
1598,0yw7moue,train,2,107,0.9860675930976868,0.28265053033828735,0.8838443160057068,0.8838443160057068,0.4717017412185669,1.898176908493042,1.898176908493042,
1598,0yw7moue,train,2,108,0.9004592895507812,0.2627182602882385,0.8684797286987305,0.8684797286987305,0.48588284850120544,1.795210838317871,1.795210838317871,
1598,0yw7moue,train,2,109,0.7883949875831604,0.19946753978729248,0.853358805179596,0.853358805179596,0.5195960998535156,1.6617004871368408,1.6617004871368408,
1598,0yw7moue,train,2,110,0.9970964789390564,0.32156020402908325,0.8388102054595947,0.8388102054595947,0.46313464641571045,1.8680626153945923,1.8680626153945923,
1598,0yw7moue,train,2,111,0.8276596665382385,0.22553153336048126,0.8260534405708313,0.8260534405708313,0.4983152747154236,1.6762663125991821,1.6762663125991821,
1598,0yw7moue,train,2,112,0.971613883972168,0.28908970952033997,0.8134557604789734,0.8134557604789734,0.44947683811187744,1.8139785528182983,1.8139785528182983,
1598,0yw7moue,train,2,113,0.7270568609237671,0.20680072903633118,0.8009161949157715,0.8009161949157715,0.519178032875061,1.5486531257629395,1.5486531257629395,
1598,0yw7moue,train,2,114,0.7362931370735168,0.20356428623199463,0.7898704409599304,0.7898704409599304,0.5146743059158325,1.5465199947357178,1.5465199947357178,
1598,0yw7moue,train,2,115,0.807144045829773,0.199153333902359,0.7798652648925781,0.7798652648925781,0.48605573177337646,1.6069247722625732,1.6069247722625732,
1598,0yw7moue,train,2,116,0.8098063468933105,0.20596420764923096,0.7702752351760864,0.7702752351760864,0.48383548855781555,1.6006779670715332,1.6006779670715332,
1598,0yw7moue,train,2,117,0.7503489851951599,0.15760035812854767,0.7607129812240601,0.7607129812240601,0.49845725297927856,1.5268219709396362,1.5268219709396362,
1598,0yw7moue,train,2,118,0.8480850458145142,0.22568467259407043,0.7531343698501587,0.7531343698501587,0.47052597999572754,1.6237878799438477,1.6237878799438477,
1598,0yw7moue,train,2,119,1.077692985534668,0.32520538568496704,0.7435364723205566,0.7435364723205566,0.40926867723464966,1.8537498712539673,1.8537498712539673,
1598,0yw7moue,train,2,120,0.6517512798309326,0.16953560709953308,0.7335085272789001,0.7335085272789001,0.5241464376449585,1.402213454246521,1.402213454246521,
1598,0yw7moue,train,2,121,0.8582644462585449,0.22949734330177307,0.7248704433441162,0.7248704433441162,0.45496612787246704,1.6060847043991089,1.6060847043991089,
1598,0yw7moue,train,3,134,0.8194602727890015,0.19519993662834167,0.7171179056167603,0.7171179056167603,0.4661136567592621,1.5560981035232544,1.5560981035232544,
1598,0yw7moue,train,3,135,0.8157387971878052,0.23213467001914978,0.7094807624816895,0.7094807624816895,0.4659329950809479,1.5484329462051392,1.5484329462051392,
