rank,gene1,gene2,gene3,inferred_gene_interaction
114,YJR153W,YMR182C,YPL046C,0.02984619140625
115,YAR035W,YDR213W,YJR153W,0.02978515625
116,YDL036C,YDR213W,YPL046C,0.028594970703125
117,YAR035W,YIL124W,YJR149W,0.028167724609375
118,YDL036C,YIL124W,YOL016C,0.027435302734375
119,YAR035W,YGL240W,YJR153W,0.026214599609375
120,YDR213W,YGL240W,YIL124W,0.02618408203125
121,YDL036C,YGR288W,YIL124W,0.02496337890625
122,YAR035W,YJR149W,YPL046C,0.023162841796875
123,YDR213W,YOL016C,YPL046C,0.022125244140625
124,YDR213W,YGL240W,YOL016C,0.022003173828125
125,YDL036C,YDR213W,YGL240W,0.01995849609375
126,YJR149W,YMR182C,YPL046C,0.0194244384765625
127,YGL240W,YGR288W,YIL124W,0.019073486328125
128,YDR213W,YGL240W,YJR153W,0.0179595947265625
129,YDR363W-A,YJR149W,YPL046C,0.01751708984375
130,YIL124W,YOL016C,YPL046C,0.0174713134765625
131,YAR035W,YJR149W,YMR182C,0.015869140625
132,YDL036C,YDR213W,YOL016C,0.0155487060546875
133,YDR213W,YIL124W,YPL046C,0.0125732421875
134,YDR213W,YJR149W,YPL046C,0.012298583984375
135,YGR288W,YIL124W,YPL046C,0.0120697021484375
136,YAR035W,YGL240W,YJR149W,0.009613037109375
137,YDL036C,YDR213W,YGR288W,0.009307861328125
138,YDR213W,YIL124W,YOL016C,0.009307861328125
139,YDL036C,YGR288W,YOL016C,0.00860595703125
140,YDR213W,YGR288W,YIL124W,0.0061798095703125
141,YGR288W,YIL124W,YOL016C,0.0058135986328125
142,YDL036C,YGL240W,YGR288W,0.00554656982421875
143,YDR213W,YGL240W,YJR149W,0.00478363037109375
144,YDL036C,YGR288W,YPL046C,-0.0008459091186523438
145,YDR213W,YGL240W,YGR288W,-0.0010137557983398438
146,YDR213W,YGR288W,YOL016C,-0.0014181137084960938
147,YGR288W,YOL016C,YPL046C,-0.0020122528076171875
148,YGL240W,YGR288W,YOL016C,-0.0029735565185546875
149,YAR035W,YDR213W,YJR149W,-0.0035648345947265625
150,YDR213W,YGR288W,YPL046C,-0.0046539306640625
151,YGL240W,YGR288W,YPL046C,-0.03466796875
