gene,n_records,n_distinct_screens,records_per_screen,passes_screen_gate
YER059W,1097,1,1097.0,False
YDR423C,1049,10,104.9,False
YLR258W,1114,10,111.4,False
YGL060W,1321,281,4.701067615658363,True
YHR204W,288,288,1.0,True
YKR028W,1323,295,4.4847457627118645,True
YPL181W,295,295,1.0,True
YJR082C,796,296,2.689189189189189,True
YHR003C,1356,297,4.565656565656566,True
YGR121C,1413,315,4.485714285714286,True
