split,threshold,model,k,precision,base_rate,enrichment,average_precision
random,-0.05,B1 additive ridge,10,0.9,0.18485387412735912,4.86871051120046,0.364679241208313
random,-0.05,B1 additive ridge,30,0.8,0.18485387412735912,4.327742676622631,0.364679241208313
random,-0.05,B1 additive ridge,100,0.72,0.18485387412735912,3.8949684089603673,0.364679241208313
random,-0.05,B1 additive ridge,300,0.6566666666666666,0.18485387412735912,3.5523554470610756,0.364679241208313
random,-0.05,B1 additive ridge,1000,0.576,0.18485387412735912,3.1159747271682936,0.364679241208313
random,-0.05,B1 additive ridge,3000,0.488,0.18485387412735912,2.6399230327398047,0.364679241208313
random,-0.05,B1 additive ridge,10000,0.3419,0.18485387412735912,1.8495690264215967,0.364679241208313
random,-0.05,B5 nonlinear MLP,10,0.7,0.18485387412735912,3.7867748420448013,0.38671829147973613
random,-0.05,B5 nonlinear MLP,30,0.8333333333333334,0.18485387412735912,4.508065288148574,0.38671829147973613
random,-0.05,B5 nonlinear MLP,100,0.86,0.18485387412735912,4.652323377369328,0.38671829147973613
random,-0.05,B5 nonlinear MLP,300,0.7466666666666667,0.18485387412735912,4.039226498181122,0.38671829147973613
random,-0.05,B5 nonlinear MLP,1000,0.636,0.18485387412735912,3.4405554279149912,0.38671829147973613
random,-0.05,B5 nonlinear MLP,3000,0.5256666666666666,0.18485387412735912,2.84368758376412,0.38671829147973613
random,-0.05,B5 nonlinear MLP,10000,0.347,0.18485387412735912,1.8771583859850658,0.38671829147973613
random,-0.05,CGT M01,10,0.7,0.18485387412735912,3.7867748420448013,0.3908530728644588
random,-0.05,CGT M01,30,0.7333333333333333,0.18485387412735912,3.9670974535707444,0.3908530728644588
random,-0.05,CGT M01,100,0.77,0.18485387412735912,4.165452326249282,0.3908530728644588
random,-0.05,CGT M01,300,0.7266666666666667,0.18485387412735912,3.9310329312655563,0.3908530728644588
random,-0.05,CGT M01,1000,0.631,0.18485387412735912,3.4135070361861,0.3908530728644588
random,-0.05,CGT M01,3000,0.5313333333333333,0.18485387412735912,2.8743424277235303,0.3908530728644588
random,-0.05,CGT M01,10000,0.3542,0.18485387412735912,1.9161080700746698,0.3908530728644588
random,-0.05,CGT M02,10,0.7,0.18485387412735912,3.7867748420448013,0.3966768393652773
random,-0.05,CGT M02,30,0.8666666666666667,0.18485387412735912,4.688387899674517,0.3966768393652773
random,-0.05,CGT M02,100,0.84,0.18485387412735912,4.544129810453762,0.3966768393652773
random,-0.05,CGT M02,300,0.76,0.18485387412735912,4.111355542791499,0.3966768393652773
random,-0.05,CGT M02,1000,0.657,0.18485387412735912,3.5541586731763353,0.3966768393652773
random,-0.05,CGT M02,3000,0.5413333333333333,0.18485387412735912,2.9284392111813133,0.3966768393652773
random,-0.05,CGT M02,10000,0.3546,0.18485387412735912,1.9182719414129812,0.3966768393652773
random,-0.05,CGT M03,10,0.9,0.18485387412735912,4.86871051120046,0.3932885775266691
random,-0.05,CGT M03,30,0.8,0.18485387412735912,4.327742676622631,0.3932885775266691
random,-0.05,CGT M03,100,0.81,0.18485387412735912,4.381839460080414,0.3932885775266691
random,-0.05,CGT M03,300,0.7366666666666667,0.18485387412735912,3.985129714723339,0.3932885775266691
random,-0.05,CGT M03,1000,0.64,0.18485387412735912,3.4621941412981045,0.3932885775266691
random,-0.05,CGT M03,3000,0.5363333333333333,0.18485387412735912,2.9013908194524216,0.3932885775266691
random,-0.05,CGT M03,10000,0.3543,0.18485387412735912,1.9166490379092476,0.3932885775266691
random,-0.08,B1 additive ridge,10,0.7,0.08271175643033472,8.463125802310653,0.23498734715119698
random,-0.08,B1 additive ridge,30,0.6333333333333333,0.08271175643033472,7.657113821138211,0.23498734715119698
random,-0.08,B1 additive ridge,100,0.56,0.08271175643033472,6.770500641848525,0.23498734715119698
random,-0.08,B1 additive ridge,300,0.47333333333333333,0.08271175643033472,5.722685066324347,0.23498734715119698
random,-0.08,B1 additive ridge,1000,0.404,0.08271175643033472,4.8844326059050065,0.23498734715119698
random,-0.08,B1 additive ridge,3000,0.306,0.08271175643033472,3.6995949935815147,0.23498734715119698
random,-0.08,B1 additive ridge,10000,0.1705,0.08271175643033472,2.061375641848524,0.23498734715119698
random,-0.08,B5 nonlinear MLP,10,0.4,0.08271175643033472,4.83607188703466,0.26851836993559536
random,-0.08,B5 nonlinear MLP,30,0.6,0.08271175643033472,7.254107830551989,0.26851836993559536
random,-0.08,B5 nonlinear MLP,100,0.7,0.08271175643033472,8.463125802310653,0.26851836993559536
random,-0.08,B5 nonlinear MLP,300,0.5666666666666667,0.08271175643033472,6.851101839965768,0.26851836993559536
random,-0.08,B5 nonlinear MLP,1000,0.464,0.08271175643033472,5.609843388960206,0.26851836993559536
random,-0.08,B5 nonlinear MLP,3000,0.3396666666666667,0.08271175643033472,4.106631044073598,0.26851836993559536
random,-0.08,B5 nonlinear MLP,10000,0.1758,0.08271175643033472,2.125453594351733,0.26851836993559536
random,-0.08,CGT M01,10,0.6,0.08271175643033472,7.254107830551989,0.28224304844684456
random,-0.08,CGT M01,30,0.6666666666666666,0.08271175643033472,8.060119811724432,0.28224304844684456
random,-0.08,CGT M01,100,0.67,0.08271175643033472,8.100420410783055,0.28224304844684456
random,-0.08,CGT M01,300,0.6033333333333334,0.08271175643033472,7.294408429610613,0.28224304844684456
random,-0.08,CGT M01,1000,0.478,0.08271175643033472,5.779105905006418,0.28224304844684456
random,-0.08,CGT M01,3000,0.35133333333333333,0.08271175643033472,4.2476831407787765,0.28224304844684456
random,-0.08,CGT M01,10000,0.1826,0.08271175643033472,2.2076668164313222,0.28224304844684456
random,-0.08,CGT M02,10,0.4,0.08271175643033472,4.83607188703466,0.28807756556106584
random,-0.08,CGT M02,30,0.7,0.08271175643033472,8.463125802310653,0.28807756556106584
random,-0.08,CGT M02,100,0.75,0.08271175643033472,9.067634788189988,0.28807756556106584
random,-0.08,CGT M02,300,0.61,0.08271175643033472,7.375009627727856,0.28807756556106584
random,-0.08,CGT M02,1000,0.494,0.08271175643033472,5.972548780487805,0.28807756556106584
random,-0.08,CGT M02,3000,0.3576666666666667,0.08271175643033472,4.324254278990159,0.28807756556106584
random,-0.08,CGT M02,10000,0.1824,0.08271175643033472,2.205248780487805,0.28807756556106584
random,-0.08,CGT M03,10,0.7,0.08271175643033472,8.463125802310653,0.28834975007332525
random,-0.08,CGT M03,30,0.7,0.08271175643033472,8.463125802310653,0.28834975007332525
random,-0.08,CGT M03,100,0.71,0.08271175643033472,8.58402759948652,0.28834975007332525
random,-0.08,CGT M03,300,0.6133333333333333,0.08271175643033472,7.415310226786477,0.28834975007332525
random,-0.08,CGT M03,1000,0.48,0.08271175643033472,5.803286264441591,0.28834975007332525
random,-0.08,CGT M03,3000,0.35933333333333334,0.08271175643033472,4.34440457851947,0.28834975007332525
random,-0.08,CGT M03,10000,0.1814,0.08271175643033472,2.1931586007702184,0.28834975007332525
random,-0.1,B1 additive ridge,10,0.7,0.051256868314177265,13.656706369756602,0.1947907703873904
random,-0.1,B1 additive ridge,30,0.6333333333333333,0.051256868314177265,12.35606766787502,0.1947907703873904
random,-0.1,B1 additive ridge,100,0.52,0.051256868314177265,10.144981874676333,0.1947907703873904
random,-0.1,B1 additive ridge,300,0.4066666666666667,0.051256868314177265,7.933896081477645,0.1947907703873904
random,-0.1,B1 additive ridge,1000,0.324,0.051256868314177265,6.321104091144485,0.1947907703873904
random,-0.1,B1 additive ridge,3000,0.23033333333333333,0.051256868314177265,4.4937067150008625,0.1947907703873904
random,-0.1,B1 additive ridge,10000,0.1142,0.051256868314177265,2.2279940963231484,0.1947907703873904
random,-0.1,B5 nonlinear MLP,10,0.3,0.051256868314177265,5.852874158467115,0.23907506646902857
random,-0.1,B5 nonlinear MLP,30,0.5666666666666667,0.051256868314177265,11.055428965993439,0.23907506646902857
random,-0.1,B5 nonlinear MLP,100,0.67,0.051256868314177265,13.071418953909891,0.23907506646902857
random,-0.1,B5 nonlinear MLP,300,0.52,0.051256868314177265,10.144981874676333,0.23907506646902857
random,-0.1,B5 nonlinear MLP,1000,0.388,0.051256868314177265,7.569717244950803,0.23907506646902857
random,-0.1,B5 nonlinear MLP,3000,0.261,0.051256868314177265,5.09200051786639,0.23907506646902857
random,-0.1,B5 nonlinear MLP,10000,0.1193,0.051256868314177265,2.3274929570170895,0.23907506646902857
random,-0.1,CGT M01,10,0.6,0.051256868314177265,11.70574831693423,0.26004481991293904
random,-0.1,CGT M01,30,0.6333333333333333,0.051256868314177265,12.35606766787502,0.26004481991293904
random,-0.1,CGT M01,100,0.63,0.051256868314177265,12.291035732780943,0.26004481991293904
random,-0.1,CGT M01,300,0.56,0.051256868314177265,10.925365095805283,0.26004481991293904
random,-0.1,CGT M01,1000,0.411,0.051256868314177265,8.018437597099947,0.26004481991293904
random,-0.1,CGT M01,3000,0.2776666666666667,0.051256868314177265,5.417160193336786,0.26004481991293904
random,-0.1,CGT M01,10000,0.1243,0.051256868314177265,2.425040859658208,0.26004481991293904
random,-0.1,CGT M02,10,0.4,0.051256868314177265,7.803832211289487,0.26357338200856273
random,-0.1,CGT M02,30,0.6666666666666666,0.051256868314177265,13.006387018815811,0.26357338200856273
random,-0.1,CGT M02,100,0.7,0.051256868314177265,13.656706369756602,0.26357338200856273
random,-0.1,CGT M02,300,0.5566666666666666,0.051256868314177265,10.860333160711201,0.26357338200856273
random,-0.1,CGT M02,1000,0.424,0.051256868314177265,8.272062143966856,0.26357338200856273
random,-0.1,CGT M02,3000,0.2753333333333333,0.051256868314177265,5.37163783877093,0.26357338200856273
random,-0.1,CGT M02,10000,0.1244,0.051256868314177265,2.4269918177110306,0.26357338200856273
random,-0.1,CGT M03,10,0.7,0.051256868314177265,13.656706369756602,0.26118288331043266
random,-0.1,CGT M03,30,0.6666666666666666,0.051256868314177265,13.006387018815811,0.26118288331043266
random,-0.1,CGT M03,100,0.67,0.051256868314177265,13.071418953909891,0.26118288331043266
random,-0.1,CGT M03,300,0.5666666666666667,0.051256868314177265,11.055428965993439,0.26118288331043266
random,-0.1,CGT M03,1000,0.396,0.051256868314177265,7.725793889176592,0.26118288331043266
random,-0.1,CGT M03,3000,0.279,0.051256868314177265,5.443172967374418,0.26118288331043266
random,-0.1,CGT M03,10000,0.1231,0.051256868314177265,2.4016293630243397,0.26118288331043266
random,-0.2,B1 additive ridge,10,0.4,0.008812677514400234,45.38915662650602,0.09581742779824508
random,-0.2,B1 additive ridge,30,0.3333333333333333,0.008812677514400234,37.82429718875502,0.09581742779824508
random,-0.2,B1 additive ridge,100,0.24,0.008812677514400234,27.233493975903613,0.09581742779824508
random,-0.2,B1 additive ridge,300,0.18666666666666668,0.008812677514400234,21.18160642570281,0.09581742779824508
random,-0.2,B1 additive ridge,1000,0.103,0.008812677514400234,11.6877078313253,0.09581742779824508
random,-0.2,B1 additive ridge,3000,0.05633333333333333,0.008812677514400234,6.392306224899598,0.09581742779824508
random,-0.2,B1 additive ridge,10000,0.0229,0.008812677514400234,2.59852921686747,0.09581742779824508
random,-0.2,B5 nonlinear MLP,10,0.3,0.008812677514400234,34.04186746987951,0.1610682614670274
random,-0.2,B5 nonlinear MLP,30,0.4,0.008812677514400234,45.38915662650602,0.1610682614670274
random,-0.2,B5 nonlinear MLP,100,0.4,0.008812677514400234,45.38915662650602,0.1610682614670274
random,-0.2,B5 nonlinear MLP,300,0.2733333333333333,0.008812677514400234,31.015923694779115,0.1610682614670274
random,-0.2,B5 nonlinear MLP,1000,0.149,0.008812677514400234,16.907460843373492,0.1610682614670274
random,-0.2,B5 nonlinear MLP,3000,0.06866666666666667,0.008812677514400234,7.791805220883534,0.1610682614670274
random,-0.2,B5 nonlinear MLP,10000,0.0245,0.008812677514400234,2.780085843373494,0.1610682614670274
random,-0.2,CGT M01,10,0.5,0.008812677514400234,56.73644578313253,0.18246680594218054
random,-0.2,CGT M01,30,0.36666666666666664,0.008812677514400234,41.60672690763052,0.18246680594218054
random,-0.2,CGT M01,100,0.4,0.008812677514400234,45.38915662650602,0.18246680594218054
random,-0.2,CGT M01,300,0.2633333333333333,0.008812677514400234,29.881194779116463,0.18246680594218054
random,-0.2,CGT M01,1000,0.16,0.008812677514400234,18.15566265060241,0.18246680594218054
random,-0.2,CGT M01,3000,0.07466666666666667,0.008812677514400234,8.472642570281124,0.18246680594218054
random,-0.2,CGT M01,10000,0.026,0.008812677514400234,2.9502951807228914,0.18246680594218054
random,-0.2,CGT M02,10,0.3,0.008812677514400234,34.04186746987951,0.18238320601141297
random,-0.2,CGT M02,30,0.43333333333333335,0.008812677514400234,49.17158634538153,0.18238320601141297
random,-0.2,CGT M02,100,0.42,0.008812677514400234,47.65861445783132,0.18238320601141297
random,-0.2,CGT M02,300,0.29,0.008812677514400234,32.907138554216864,0.18238320601141297
random,-0.2,CGT M02,1000,0.157,0.008812677514400234,17.815243975903613,0.18238320601141297
random,-0.2,CGT M02,3000,0.07733333333333334,0.008812677514400234,8.775236947791164,0.18238320601141297
random,-0.2,CGT M02,10000,0.0265,0.008812677514400234,3.007031626506024,0.18238320601141297
random,-0.2,CGT M03,10,0.5,0.008812677514400234,56.73644578313253,0.19113794611615456
random,-0.2,CGT M03,30,0.4666666666666667,0.008812677514400234,52.954016064257026,0.19113794611615456
random,-0.2,CGT M03,100,0.45,0.008812677514400234,51.06280120481928,0.19113794611615456
random,-0.2,CGT M03,300,0.27666666666666667,0.008812677514400234,31.394166666666667,0.19113794611615456
random,-0.2,CGT M03,1000,0.157,0.008812677514400234,17.815243975903613,0.19113794611615456
random,-0.2,CGT M03,3000,0.07466666666666667,0.008812677514400234,8.472642570281124,0.19113794611615456
random,-0.2,CGT M03,10000,0.0261,0.008812677514400234,2.9616424698795183,0.19113794611615456
query_pair_disjoint,-0.05,B1 additive ridge,10,0.8,0.30697983014861996,2.6060344082303106,0.3746871244282014
query_pair_disjoint,-0.05,B1 additive ridge,30,0.7,0.30697983014861996,2.2802801072015213,0.3746871244282014
query_pair_disjoint,-0.05,B1 additive ridge,100,0.53,0.30697983014861996,1.7264977954525806,0.3746871244282014
query_pair_disjoint,-0.05,B1 additive ridge,300,0.4766666666666667,0.30697983014861996,1.5527621682372266,0.3746871244282014
query_pair_disjoint,-0.05,B1 additive ridge,1000,0.478,0.30697983014861996,1.5571055589176104,0.3746871244282014
query_pair_disjoint,-0.05,B1 additive ridge,3000,0.44433333333333336,0.30697983014861996,1.4474349442379182,0.3746871244282014
query_pair_disjoint,-0.05,B1 additive ridge,10000,0.3906,0.30697983014861996,1.272396299818449,0.3746871244282014
