order,systematic,plate_label,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,mean,sd,min,max,rank,sign_agree,in_training_distribution
2,YGL087C+YLL012W,MMS2+YEH1,0.06090470321942211,0.06445231085198105,0.053308525680509984,0.05955517991730438,0.005693144723629786,0.053308525680509984,0.06445231085198105,1,True,False
2,YLL012W+YPL046C,YEH1+ELC1,-0.0013965881779524972,0.12279017515243196,0.0012800633227405406,0.04089121676574,0.07093920393148534,-0.0013965881779524972,0.12279017515243196,2,False,False
2,YER079W+YGL087C,YER079W+MMS2,0.004094663935183795,0.032490202839970055,0.018416250478510053,0.018333705751221303,0.01419794941698659,0.004094663935183795,0.032490202839970055,3,True,False
2,YER079W+YLL012W,YER079W+YEH1,0.004891622803755911,0.008345122546639175,0.027590985395204548,0.013609243581866543,0.01223104628474837,0.004891622803755911,0.027590985395204548,4,True,False
2,YER079W+YPL081W,YER079W+YPL081W,-0.02128125305882272,0.0615439143836751,-0.007383876719924415,0.010959594868309318,0.04435498058731065,-0.02128125305882272,0.0615439143836751,5,False,False
2,YKL033W-A+YLL012W,YKL033W-A+YEH1,0.010434116336646291,0.004006447922641517,0.0073148547705878635,0.00725180634329189,0.003214298000845135,0.004006447922641517,0.010434116336646291,6,True,False
2,YLL012W+YPL056C,YEH1+LCL1,-0.006149591150049973,0.006360246238532126,0.018031971882166,0.006080875656882718,0.012093201958607858,-0.006149591150049973,0.018031971882166,7,False,False
2,YLL012W+YPL081W,YEH1+YPL081W,-0.020808818782758236,0.06506361808613026,-0.03124190782309219,0.00433763049342661,0.052848335012210014,-0.03124190782309219,0.06506361808613026,8,False,False
2,YER079W+YPL046C,YER079W+ELC1,-0.04532492519103456,0.04932911604199917,0.0054888489229064745,0.003164346591290361,0.04736981490098393,-0.04532492519103456,0.04932911604199917,9,False,False
2,YER079W+YPL056C,YER079W+LCL1,-0.008599144488787673,0.0021358815725251445,0.008178149576779665,0.0005716288868390455,0.008497326867264635,-0.008599144488787673,0.008178149576779665,10,False,False
2,YER079W+YKL033W-A,YER079W+YKL033W-A,-0.0019254704077563125,0.0013518697504410447,-0.006919398363390702,-0.0024976663402353234,0.004165216103827218,-0.006919398363390702,0.0013518697504410447,11,False,False
2,YGL087C+YPL056C,MMS2+LCL1,-0.023211586610580294,-0.005366485262993905,0.0142330818174198,-0.004781663352051466,0.018729183402416548,-0.023211586610580294,0.0142330818174198,12,False,False
2,YKL033W-A+YPL056C,YKL033W-A+LCL1,-0.009823127993656824,-0.005785803324000455,-0.008360825836019489,-0.00798991905122559,0.002044058830931387,-0.009823127993656824,-0.005785803324000455,13,True,False
2,YDR057W+YER079W,YOS9+YER079W,-0.022764013227917733,-0.011518605902350142,0.004634305203983368,-0.009882771308761501,0.013772215847028715,-0.022764013227917733,0.004634305203983368,14,False,False
