rank,gene1,gene2,n_triples_enabled,triples_enabled
1,YBR203W,YPL046C,5,YBR203W+YER079W+YPL046C; YBR203W+YGL087C+YPL046C; YBR203W+YJR060W+YPL046C; YBR203W+YKL033W-A+YPL046C; YBR203W+YLL012W+YPL046C
2,YDR057W,YER079W,5,YBR203W+YDR057W+YER079W; YDR057W+YER079W+YGL087C; YDR057W+YER079W+YJR060W; YDR057W+YER079W+YKL033W-A; YDR057W+YER079W+YLL012W
3,YDR057W,YLL012W,5,YBR203W+YDR057W+YLL012W; YDR057W+YER079W+YLL012W; YDR057W+YGL087C+YLL012W; YDR057W+YKL033W-A+YLL012W; YDR057W+YLL012W+YLR312C-B
4,YER079W,YLR312C-B,5,YBR203W+YER079W+YLR312C-B; YER079W+YGL087C+YLR312C-B; YER079W+YJR060W+YLR312C-B; YER079W+YKL033W-A+YLR312C-B; YER079W+YLL012W+YLR312C-B
5,YLL012W,YPL046C,5,YBR203W+YLL012W+YPL046C; YER079W+YLL012W+YPL046C; YGL087C+YLL012W+YPL046C; YJR060W+YLL012W+YPL046C; YLL012W+YLR312C-B+YPL046C
6,YJR060W,YPL046C,4,YBR203W+YJR060W+YPL046C; YER079W+YJR060W+YPL046C; YJR060W+YLL012W+YPL046C; YJR060W+YLR312C-B+YPL046C
7,YDR057W,YPL081W,3,YBR203W+YDR057W+YPL081W; YDR057W+YGL087C+YPL081W; YDR057W+YKL033W-A+YPL081W
8,YLR312C-B,YPL081W,3,YBR203W+YLR312C-B+YPL081W; YGL087C+YLR312C-B+YPL081W; YKL033W-A+YLR312C-B+YPL081W
