rank,direction,triple,gene1,gene2,gene3,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,ensemble_mean,ensemble_sd,ensemble_min,ensemble_max,sign_agree,min_train_records,no_trigenic_labels
57,negative,YDL170W + YEL027W + YHL029C,YDL170W,YEL027W,YHL029C,-0.21533203125,-0.277587890625,-0.166748046875,-0.21988932291666666,0.04536477650580462,-0.277587890625,-0.166748046875,True,0,True
58,negative,YFR007W + YHL029C + YLR014C,YFR007W,YHL029C,YLR014C,-0.192138671875,-0.264892578125,-0.200927734375,-0.21931966145833334,0.03242406467463567,-0.264892578125,-0.192138671875,True,11,False
59,negative,YGL175C + YHL029C + YLR014C,YGL175C,YHL029C,YLR014C,-0.17431640625,-0.26025390625,-0.22265625,-0.21907552083333334,0.03517508296684139,-0.26025390625,-0.17431640625,True,805,False
60,negative,YKL101W + YMR280C + YPL256C,YKL101W,YMR280C,YPL256C,-0.2998046875,-0.29541015625,-0.061859130859375,-0.219024658203125,0.11114729031081858,-0.2998046875,-0.061859130859375,True,10,False
61,negative,YDL122W + YKL101W + YPL256C,YDL122W,YKL101W,YPL256C,-0.07867431640625,-0.42041015625,-0.1568603515625,-0.21864827473958334,0.14619429228788006,-0.42041015625,-0.07867431640625,True,0,True
62,negative,YHL029C + YMR238W + YOR113W,YHL029C,YMR238W,YOR113W,-0.18115234375,-0.1328125,-0.34130859375,-0.21842447916666666,0.0891050478784861,-0.34130859375,-0.1328125,True,292,False
63,negative,YDL170W + YGL096W + YHL029C,YDL170W,YGL096W,YHL029C,-0.344482421875,-0.2333984375,-0.07586669921875,-0.21791585286458334,0.11020703073391609,-0.344482421875,-0.07586669921875,True,506,False
64,negative,YKL101W + YKL216W + YPL256C,YKL101W,YKL216W,YPL256C,-0.152587890625,-0.288330078125,-0.21240234375,-0.2177734375,0.05554650815832774,-0.288330078125,-0.152587890625,True,0,True
65,negative,YDL213C + YHL029C + YJL187C,YDL213C,YHL029C,YJL187C,-0.13037109375,-0.2288818359375,-0.2939453125,-0.21773274739583334,0.06724263474612246,-0.2939453125,-0.13037109375,True,302,False
66,negative,YDR363W-A + YHL029C + YLR299W,YDR363W-A,YHL029C,YLR299W,-0.18896484375,-0.218017578125,-0.244140625,-0.217041015625,0.022536000308754398,-0.244140625,-0.18896484375,True,303,False
