rank,direction,triple,gene1,gene2,gene3,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,ensemble_mean,ensemble_sd,ensemble_min,ensemble_max,sign_agree,min_train_records,no_trigenic_labels
127,negative,YDL170W + YDR518W + YHL029C,YDL170W,YDR518W,YHL029C,-0.312744140625,-0.2120361328125,-0.0679931640625,-0.19759114583333334,0.10043987710298992,-0.312744140625,-0.0679931640625,True,0,True
128,negative,YGR202C + YHL029C + YOR113W,YGR202C,YHL029C,YOR113W,-0.171142578125,-0.2059326171875,-0.2156982421875,-0.19759114583333334,0.019122184468602182,-0.2156982421875,-0.171142578125,True,485,False
129,negative,YJL187C + YLR386W + YPL256C,YJL187C,YLR386W,YPL256C,-0.12890625,-0.265625,-0.197509765625,-0.19734700520833334,0.055815314616483466,-0.265625,-0.12890625,True,301,False
130,negative,YGR012W + YKL101W + YPL256C,YGR012W,YKL101W,YPL256C,-0.09527587890625,-0.284423828125,-0.212158203125,-0.19728597005208334,0.07793212500137998,-0.284423828125,-0.09527587890625,True,10,False
131,negative,YMR238W + YNL020C + YPL256C,YMR238W,YNL020C,YPL256C,-0.31103515625,-0.2066650390625,-0.0738525390625,-0.19718424479166666,0.09706119227574063,-0.31103515625,-0.0738525390625,True,10,False
132,negative,YKL101W + YML059C + YPL256C,YKL101W,YML059C,YPL256C,-0.1051025390625,-0.280029296875,-0.2056884765625,-0.19694010416666666,0.07168097453011453,-0.280029296875,-0.1051025390625,True,11,False
133,negative,YGL027C + YKL101W + YPL256C,YGL027C,YKL101W,YPL256C,-0.1907958984375,-0.2174072265625,-0.182373046875,-0.19685872395833334,0.014931327839279408,-0.2174072265625,-0.182373046875,True,310,False
134,negative,YBR023C + YLR386W + YPL256C,YBR023C,YLR386W,YPL256C,-0.288818359375,-0.171875,-0.128662109375,-0.19645182291666666,0.06765363391089213,-0.288818359375,-0.128662109375,True,287,False
135,negative,YHL002W + YOL090W + YPL227C,YHL002W,YOL090W,YPL227C,-0.1873779296875,-0.2120361328125,-0.18994140625,-0.19645182291666666,0.011069353766703465,-0.2120361328125,-0.1873779296875,True,10,False
136,negative,YBL039C + YHL029C + YPL227C,YBL039C,YHL029C,YPL227C,-0.30517578125,-0.10076904296875,-0.1815185546875,-0.19582112630208334,0.08405930973539882,-0.30517578125,-0.10076904296875,True,0,True
137,negative,YJR010W + YKL101W + YPL256C,YJR010W,YKL101W,YPL256C,-0.11456298828125,-0.29833984375,-0.174560546875,-0.19582112630208334,0.0765179383311606,-0.29833984375,-0.11456298828125,True,9,False
138,negative,YHL029C + YNL199C + YPL227C,YHL029C,YNL199C,YPL227C,-0.1697998046875,-0.13232421875,-0.28369140625,-0.19527180989583334,0.06436678051042095,-0.28369140625,-0.13232421875,True,0,True
139,negative,YFL033C + YKL101W + YPL256C,YFL033C,YKL101W,YPL256C,-0.2437744140625,-0.2279052734375,-0.11328125,-0.19498697916666666,0.058136775739265754,-0.2437744140625,-0.11328125,True,11,False
140,negative,YGR019W + YKL101W + YPL256C,YGR019W,YKL101W,YPL256C,-0.097412109375,-0.29296875,-0.1937255859375,-0.1947021484375,0.07983865053498485,-0.29296875,-0.097412109375,True,10,False
141,negative,YDR294C + YGL077C + YHL029C,YDR294C,YGL077C,YHL029C,-0.17724609375,-0.289306640625,-0.11700439453125,-0.19451904296875,0.07139459402164347,-0.289306640625,-0.11700439453125,True,316,False
142,negative,YKL101W + YNL206C + YPL256C,YKL101W,YNL206C,YPL256C,-0.08367919921875,-0.373779296875,-0.125244140625,-0.19423421223958334,0.1280865310407524,-0.373779296875,-0.08367919921875,True,0,True
143,negative,YDR363W-A + YHL029C + YMR238W,YDR363W-A,YHL029C,YMR238W,-0.12646484375,-0.1661376953125,-0.2890625,-0.19388834635416666,0.06921981137133866,-0.2890625,-0.12646484375,True,292,False
144,negative,YDR523C + YKL101W + YPL256C,YDR523C,YKL101W,YPL256C,-0.1636962890625,-0.279052734375,-0.1376953125,-0.1934814453125,0.06143205910822333,-0.279052734375,-0.1376953125,True,0,True
145,negative,YDL170W + YDR294C + YHL029C,YDL170W,YDR294C,YHL029C,-0.2159423828125,-0.2685546875,-0.09429931640625,-0.19293212890625,0.07297642280160399,-0.2685546875,-0.09429931640625,True,506,False
146,negative,YDR363W-A + YHL029C + YPL046C,YDR363W-A,YHL029C,YPL046C,-0.150390625,-0.2646484375,-0.1622314453125,-0.19242350260416666,0.05129900695561757,-0.2646484375,-0.150390625,True,303,False
147,negative,YKL101W + YOR002W + YPL256C,YKL101W,YOR002W,YPL256C,-0.12255859375,-0.289306640625,-0.1654052734375,-0.19242350260416666,0.0707046265088487,-0.289306640625,-0.12255859375,True,797,False
148,negative,YGR134W + YKL101W + YPL256C,YGR134W,YKL101W,YPL256C,-0.07806396484375,-0.349609375,-0.1473388671875,-0.19167073567708334,0.11520478394888757,-0.349609375,-0.07806396484375,True,278,False
