gene1,gene2,gene3,triple,systematic,corrected_M01_lzs9pcj3,asrun_M01_lzs9pcj3,corrected_M02_yv4r30bi,asrun_M02_yv4r30bi,corrected_M03_c7671wgj,asrun_M03_c7671wgj,corrected_mean,corrected_sd,asrun_mean,stored_prediction,corrected_rank,asrun_rank,panel
YLR104W,YLR351C,YOR126C,YLR104W+YLR351C+YOR126C,YLR104W+YLR351C+YOR126C,-0.005995871604289415,0.4484512419419704,-0.00100164481264682,0.59728993028961,0.010639779613915237,0.3777627135558477,0.0012140877323263339,0.008536294623346735,0.47450129526247603,,284,169.0,panel_24
YBR158W,YMR244W,YOR126C,YBR158W+YMR244W+YOR126C,YBR158W+YMR244W+YOR126C,0.006059345716578575,0.5718236271868754,-0.0005350939294126618,0.3775806592659273,-0.0019234294615173035,0.42389994641535234,0.0012002741085495366,0.004264950358021943,0.4577680776227184,,285,183.0,panel_24
YDR155C,YLR351C,YMR244W,YDR155C+YLR351C+YMR244W,YDR155C+YLR351C+YMR244W,-0.005320957078658532,0.3939064493597588,-0.0007326391426921257,0.24525980038405512,0.009652578160257878,0.10232236338200916,0.0011996606463024067,0.007671507429682847,0.24716287104194104,,286,397.0,panel_24
YBR246W,YDR155C,YOR126C,YBR246W+YDR155C+YOR126C,YBR246W+YDR155C+YOR126C,-0.0021292303730360857,-0.012585362780513852,0.004514934830560358,0.0005787263205923009,0.0011126284297137724,0.38577892442965034,0.0011661109624126816,0.00332240546880545,0.12459076265657626,,287,728.0,panel_24
YDR155C,YKL200C,YLR351C,YDR155C+YKL200C+YLR351C,YDR155C+YKL201C+YLR351C,-0.0018819223654879319,,-0.012056856216796061,,0.01741159398533237,,0.0011576051343494588,0.014967512648918378,,,288,,panel_24
YDR155C,YJL017W,YMR244W,YDR155C+YJL017W+YMR244W,YDR155C+YJL016W+YMR244W,0.0005898662105259609,,-0.003491930112058221,,0.005993523550644921,,0.0010304865497042202,0.00475805291156953,,,289,,panel_24
YBR158W,YJL017W,YOR126C,YBR158W+YJL017W+YOR126C,YBR158W+YJL016W+YOR126C,0.00036522448998507935,,-0.000610553320935874,,0.003316002880237163,,0.0010235580164287895,0.00204438576943601,,,290,,panel_24
YDR155C,YJL017W,YLL005C,YDR155C+YJL017W+YLL005C,YDR155C+YJL016W+YLL005C,0.0036923175440975436,,-0.0037797242711660704,,0.0031119337092454288,,0.001008175660725634,0.004156585217133874,,,291,,panel_24
YER079W,YGL087C,YKL033W-A,YER079W+YGL087C+YKL033W-A,YER079W+YGL087C+YKL033W-A,0.00406770270542136,0.6108844837048836,0.0019894330744973723,0.7495980877239151,-0.003040578386427551,0.6332236763185177,0.001005519131163727,0.003654857043182258,0.6645687492491055,,292,36.0,panel_24
YKL033W-A,YLL005C,YMR244W,YKL033W-A+YLL005C+YMR244W,YKL033W-A+YLL005C+YMR244W,0.006458402083473534,0.17700352937783242,0.0003878323295711892,0.014284191259126097,-0.004032562158916547,0.035766527709899784,0.0009378907513760585,0.005267068053891621,0.07568474944895277,,293,852.0,panel_24
YDR155C,YKL033W-A,YOR126C,YDR155C+YKL033W-A+YOR126C,YDR155C+YKL033W-A+YOR126C,-0.0010276180924515266,0.5649141917634268,-0.0006459319220461683,0.5583666929382325,0.0044546104930174215,0.44209717014361427,0.0009270201595065756,0.0030609379696392163,0.5217926849484246,,294,130.0,panel_24
YLR104W,YMR244W,YOR126C,YLR104W+YMR244W+YOR126C,YLR104W+YMR244W+YOR126C,0.0018459936759591712,0.4950918315341364,-0.004782126296477429,0.431937726272965,0.005506532095909403,0.342907145219739,0.000856799825130382,0.0052151702977655595,0.4233122343422801,,295,207.0,panel_24
