rank,gene1,gene2,n_triples_enabled,triples_enabled
1,YBR203W,YPL046C,6,YBR203W+YER079W+YPL046C; YBR203W+YGL087C+YPL046C; YBR203W+YJR060W+YPL046C; YBR203W+YKL033W-A+YPL046C; YBR203W+YLL012W+YPL046C; YBR203W+YLR104W+YPL046C
2,YDR057W,YER079W,6,YBR203W+YDR057W+YER079W; YDR057W+YER079W+YGL087C; YDR057W+YER079W+YJR060W; YDR057W+YER079W+YKL033W-A; YDR057W+YER079W+YLL012W; YDR057W+YER079W+YLR104W
3,YDR057W,YLL012W,6,YBR203W+YDR057W+YLL012W; YDR057W+YER079W+YLL012W; YDR057W+YGL087C+YLL012W; YDR057W+YIL174W+YLL012W; YDR057W+YKL033W-A+YLL012W; YDR057W+YLL012W+YLR312C-B
4,YER079W,YIL174W,6,YBR203W+YER079W+YIL174W; YER079W+YGL087C+YIL174W; YER079W+YIL174W+YJR060W; YER079W+YIL174W+YKL033W-A; YER079W+YIL174W+YLL012W; YER079W+YIL174W+YLR104W
5,YER079W,YLR312C-B,6,YBR203W+YER079W+YLR312C-B; YER079W+YGL087C+YLR312C-B; YER079W+YJR060W+YLR312C-B; YER079W+YKL033W-A+YLR312C-B; YER079W+YLL012W+YLR312C-B; YER079W+YLR104W+YLR312C-B
6,YJR060W,YPL046C,6,YBR203W+YJR060W+YPL046C; YER079W+YJR060W+YPL046C; YIL174W+YJR060W+YPL046C; YJR060W+YLL012W+YPL046C; YJR060W+YLR104W+YPL046C; YJR060W+YLR312C-B+YPL046C
7,YLL012W,YPL046C,6,YBR203W+YLL012W+YPL046C; YER079W+YLL012W+YPL046C; YGL087C+YLL012W+YPL046C; YIL174W+YLL012W+YPL046C; YJR060W+YLL012W+YPL046C; YLL012W+YLR312C-B+YPL046C
8,YLR104W,YPL046C,5,YBR203W+YLR104W+YPL046C; YER079W+YLR104W+YPL046C; YGL087C+YLR104W+YPL046C; YJR060W+YLR104W+YPL046C; YKL033W-A+YLR104W+YPL046C
9,YIL174W,YPL081W,4,YIL174W+YJR060W+YPL081W; YIL174W+YKL033W-A+YPL081W; YIL174W+YLL012W+YPL081W; YIL174W+YLR104W+YPL081W
10,YLR312C-B,YPL081W,4,YBR203W+YLR312C-B+YPL081W; YGL087C+YLR312C-B+YPL081W; YKL033W-A+YLR312C-B+YPL081W; YLR104W+YLR312C-B+YPL081W
11,YDR057W,YPL081W,3,YBR203W+YDR057W+YPL081W; YDR057W+YGL087C+YPL081W; YDR057W+YKL033W-A+YPL081W
