rank,triple,ensemble_mean,ensemble_sd,ensemble_min,ensemble_max,sign_agree,has_query_double,n_pairs_seen,n_genes_seen,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj
1,YER059W + YGR121C + YPL181W,0.6897786458333334,0.03709295255222862,0.66162109375,0.7421875,True,False,3,3,0.66552734375,0.7421875,0.66162109375
2,YER059W + YGL060W + YPL181W,0.6827799479166666,0.06168254750907425,0.62841796875,0.76904296875,True,False,3,3,0.62841796875,0.76904296875,0.65087890625
3,YER059W + YHR003C + YPL181W,0.6775716145833334,0.025767600816618882,0.65380859375,0.71337890625,True,False,3,3,0.65380859375,0.71337890625,0.66552734375
4,YER059W + YGR121C + YHR003C,0.66748046875,0.027658737271922113,0.642578125,0.7060546875,True,False,3,3,0.65380859375,0.7060546875,0.642578125
5,YER059W + YGL060W + YGR121C,0.6573893229166666,0.040407219795402495,0.625,0.71435546875,True,False,3,3,0.625,0.71435546875,0.6328125
6,YBR001C + YER059W + YPL181W,0.6490885416666666,0.02418621982250017,0.61669921875,0.6748046875,True,False,2,3,0.65576171875,0.6748046875,0.61669921875
7,YER059W + YGL060W + YHR003C,0.6354166666666666,0.03768386974602493,0.58984375,0.68212890625,True,False,3,3,0.58984375,0.68212890625,0.63427734375
8,YBR001C + YHR003C + YPL181W,0.5360514322916666,0.04495208756244875,0.481201171875,0.59130859375,True,False,3,3,0.481201171875,0.53564453125,0.59130859375
9,YER059W + YGR121C + YPL089C,0.4895833333333333,0.09069363271581403,0.361328125,0.5546875,True,False,3,3,0.552734375,0.361328125,0.5546875
10,YBR001C + YER059W + YHR003C,0.4755045572916667,0.1573178149587481,0.253173828125,0.59375,True,False,2,3,0.57958984375,0.253173828125,0.59375
11,YER059W + YGL060W + YPL089C,0.468505859375,0.07755555202565494,0.37451171875,0.564453125,True,False,3,3,0.466552734375,0.37451171875,0.564453125
12,YER059W + YHR003C + YPL089C,0.4527994791666667,0.10184875316594331,0.3095703125,0.53759765625,True,False,3,3,0.51123046875,0.3095703125,0.53759765625
13,YBR028C + YER059W + YPL181W,0.3926188151041667,0.2024939180698368,0.1632080078125,0.65576171875,True,False,2,3,0.65576171875,0.1632080078125,0.35888671875
14,YBR028C + YER059W + YGR121C,0.3822835286458333,0.20251942703611137,0.1429443359375,0.63818359375,True,False,3,3,0.63818359375,0.1429443359375,0.36572265625
15,YBR028C + YER059W + YGL060W,0.3638102213541667,0.19141803973298768,0.1287841796875,0.59765625,True,False,3,3,0.59765625,0.1287841796875,0.364990234375
16,YER059W + YGL060W + YGR193C,0.3536783854166667,0.16107476727028758,0.22265625,0.58056640625,True,False,1,3,0.2578125,0.58056640625,0.22265625
17,YER059W + YGR193C + YPL181W,0.3473307291666667,0.1839527200985133,0.155029296875,0.59521484375,True,False,1,3,0.291748046875,0.59521484375,0.155029296875
18,YGL060W + YHR003C + YPL181W,0.3085123697916667,0.2224476229112633,0.1077880859375,0.61865234375,True,False,3,3,0.1077880859375,0.61865234375,0.1990966796875
19,YGR121C + YHR003C + YPL181W,0.2926432291666667,0.19567710752591108,0.1265869140625,0.5673828125,True,False,3,3,0.1265869140625,0.5673828125,0.1839599609375
20,YBR028C + YER059W + YPL089C,0.288818359375,0.179207977441208,0.06884765625,0.5078125,True,False,2,3,0.5078125,0.06884765625,0.289794921875
21,YGL060W + YGR121C + YHR003C,0.2635498046875,0.19822226739030208,0.0902099609375,0.541015625,True,False,3,3,0.0902099609375,0.541015625,0.159423828125
22,YBR001C + YGR193C + YPL181W,0.2523600260416667,0.14369140942099262,0.149658203125,0.45556640625,True,False,1,3,0.149658203125,0.45556640625,0.15185546875
23,YER059W + YGR279C + YPL181W,0.2322998046875,0.08688393974504802,0.1502685546875,0.3525390625,True,False,2,3,0.194091796875,0.1502685546875,0.3525390625
24,YER059W + YGR121C + YGR279C,0.22953287760416666,0.11957218962261493,0.1346435546875,0.398193359375,True,False,2,3,0.15576171875,0.1346435546875,0.398193359375
25,YBR001C + YER059W + YGR193C,0.22745768229166666,0.08749460551874913,0.1141357421875,0.3271484375,True,False,0,3,0.2410888671875,0.3271484375,0.1141357421875
26,YGL060W + YGR121C + YPL181W,0.22328694661458334,0.14246808629319363,0.06890869140625,0.41259765625,True,False,3,3,0.06890869140625,0.41259765625,0.1883544921875
27,YER059W + YGL060W + YGR279C,0.22178141276041666,0.1332698346718228,0.09124755859375,0.40478515625,True,False,3,3,0.09124755859375,0.1693115234375,0.40478515625
28,YER059W + YGR121C + YIL006W,0.20058186848958334,0.16319699291061063,0.00396728515625,0.403564453125,True,False,2,3,0.1942138671875,0.00396728515625,0.403564453125
29,YBR028C + YER059W + YGR193C,0.20050048828125,0.06255530850631952,0.11260986328125,0.253173828125,True,False,1,3,0.2357177734375,0.253173828125,0.11260986328125
30,YER059W + YGL060W + YIL006W,0.19872029622395834,0.18770726049341022,0.028350830078125,0.460205078125,True,False,2,3,0.10760498046875,0.028350830078125,0.460205078125
31,YER059W + YGR121C + YHL003C,0.19181315104166666,0.023226601497501786,0.1650390625,0.2216796875,True,False,1,2,0.2216796875,0.1650390625,0.188720703125
32,YER059W + YGR279C + YHR003C,0.18416341145833334,0.11701165180476414,0.0699462890625,0.344970703125,True,False,3,3,0.0699462890625,0.1375732421875,0.344970703125
33,YER059W + YGL017W + YPL181W,0.1712665557861328,0.19726065888577538,-0.0005435943603515625,0.447509765625,False,False,1,3,0.06683349609375,0.447509765625,-0.0005435943603515625
34,YCR033W + YGL096W + YKL160W,0.17075602213541666,0.05194691435262106,0.12017822265625,0.2421875,True,False,2,3,0.14990234375,0.12017822265625,0.2421875
35,YER059W + YIL006W + YPL181W,0.16765594482421875,0.17158070241069406,0.00626373291015625,0.4052734375,True,False,2,3,0.0914306640625,0.00626373291015625,0.4052734375
36,YER059W + YGR121C + YPL256C,0.16706339518229166,0.14589390390896934,0.033843994140625,0.3701171875,True,False,2,3,0.3701171875,0.09722900390625,0.033843994140625
37,YER059W + YGL060W + YHL003C,0.16617838541666666,0.052713492069422704,0.0963134765625,0.2236328125,True,False,1,2,0.0963134765625,0.1785888671875,0.2236328125
38,YER059W + YGR193C + YPL089C,0.16225179036458334,0.03198010514711965,0.12176513671875,0.199951171875,True,False,1,3,0.1650390625,0.199951171875,0.12176513671875
39,YBR001C + YGR279C + YPL181W,0.16197713216145834,0.10242654692444304,0.031341552734375,0.281494140625,True,False,2,3,0.031341552734375,0.173095703125,0.281494140625
40,YBR229C + YER059W + YGL060W,0.1555658976236979,0.18823391900303488,-0.01331329345703125,0.418212890625,False,False,3,3,0.418212890625,-0.01331329345703125,0.061798095703125
41,YBR229C + YER059W + YGR121C,0.15457916259765625,0.20783913880148588,-0.01514434814453125,0.447265625,False,False,3,3,0.447265625,-0.01514434814453125,0.0316162109375
42,YER059W + YGR121C + YPL026C,0.1525719960530599,0.20678270065047424,-0.0025043487548828125,0.44482421875,False,False,1,3,0.44482421875,0.0153961181640625,-0.0025043487548828125
43,YGR121C + YLR386W + YPL177C,0.1519775390625,0.06630774278801659,0.0694580078125,0.2318115234375,True,False,3,3,0.1546630859375,0.0694580078125,0.2318115234375
44,YER059W + YPL181W + YHL003C,0.15020751953125,0.03024417734723833,0.10809326171875,0.177734375,True,False,1,2,0.177734375,0.10809326171875,0.164794921875
45,YGL060W + YGR193C + YPL181W,0.149749755859375,0.13942880186856024,0.04962158203125,0.346923828125,True,False,1,3,0.04962158203125,0.346923828125,0.052703857421875
46,YER059W + YKR028W + YPL177C,0.14945475260416666,0.024668541347301114,0.1146240234375,0.1685791015625,True,False,2,3,0.1685791015625,0.1146240234375,0.1651611328125
47,YBR001C + YER059W + YGR279C,0.14679972330729166,0.06581958131418618,0.057464599609375,0.214111328125,True,False,2,3,0.057464599609375,0.1688232421875,0.214111328125
48,YER059W + YGL060W + YPL177C,0.14469401041666666,0.048639807481053614,0.0787353515625,0.194580078125,True,False,1,3,0.1607666015625,0.194580078125,0.0787353515625
49,YBR028C + YER059W + YPL256C,0.14458211263020834,0.11443805967929394,0.061187744140625,0.306396484375,True,False,2,3,0.306396484375,0.066162109375,0.061187744140625
50,YJL187C + YPL256C + YPR065W,0.14274088541666666,0.04742713984187174,0.07568359375,0.177490234375,True,False,3,3,0.175048828125,0.177490234375,0.07568359375
51,YBR028C + YER059W + YGR279C,0.141143798828125,0.1267775201392221,0.04583740234375,0.3203125,True,False,2,3,0.04583740234375,0.057281494140625,0.3203125
52,YER059W + YGL060W + YPL026C,0.13912264506022134,0.16593876297318813,0.0015659332275390625,0.37255859375,True,False,1,3,0.37255859375,0.043243408203125,0.0015659332275390625
53,YGL060W + YLR386W + YPL177C,0.13904825846354166,0.08366723148541896,0.059356689453125,0.254638671875,True,False,2,3,0.059356689453125,0.1031494140625,0.254638671875
54,YER059W + YGR121C + YGR262C,0.13898722330729166,0.1752560736690574,0.0084991455078125,0.38671875,True,False,1,2,0.38671875,0.0084991455078125,0.0217437744140625
55,YGL096W + YKL160W + YPL181W,0.13804117838541666,0.04787315694505542,0.087646484375,0.202392578125,True,False,1,3,0.087646484375,0.12408447265625,0.202392578125
56,YER059W + YGL060W + YPL256C,0.13712565104166666,0.06901399135328226,0.0467529296875,0.2142333984375,True,False,2,3,0.2142333984375,0.150390625,0.0467529296875
57,YCR033W + YGL096W + YLR386W,0.13578287760416666,0.024883454249829837,0.1116943359375,0.1700439453125,True,False,2,3,0.1256103515625,0.1116943359375,0.1700439453125
58,YCR033W + YGL096W + YOR304W,0.13271077473958334,0.08556252853576367,0.06915283203125,0.253662109375,True,False,2,3,0.0753173828125,0.06915283203125,0.253662109375
59,YKR028W + YLR386W + YPL177C,0.13157145182291666,0.066176640852991,0.04937744140625,0.21142578125,True,False,3,3,0.04937744140625,0.1339111328125,0.21142578125
60,YER059W + YGL060W + YGR262C,0.13066609700520834,0.1377852539178569,0.01129150390625,0.32373046875,True,False,1,2,0.32373046875,0.01129150390625,0.056976318359375
61,YBR028C + YER059W + YPL026C,0.12952359517415366,0.149427932794721,-0.0015048980712890625,0.338623046875,False,False,1,3,0.338623046875,0.05145263671875,-0.0015048980712890625
62,YER059W + YPL181W + YGR262C,0.1287142038345337,0.17967869279284143,0.00018489360809326172,0.3828125,True,False,1,2,0.3828125,0.0031452178955078125,0.00018489360809326172
