gene,is_metabolic,distinct_screens,n_triples,mean_predicted_tau,max_predicted_tau,frac_above_0.08,frac_above_0.16
YGL234W,True,11,22955,-0.012375401226703718,0.01874542236328125,0.0,0.0
YER090W,True,0,2466,-0.006840015785473043,0.018567403157552082,0.0,0.0
YDL036C,False,10,13308,-0.00857679830286859,0.018534342447916668,0.0,0.0
YBR274W,True,10,1957,-0.0073101439116212705,0.018239339192708332,0.0,0.0
YFL055W,True,11,3432,-0.0075383986973818085,0.0181884765625,0.0,0.0
YIL053W,True,10,1552,-0.013713081677754719,0.018168131510416668,0.0,0.0
YCL029C,False,10,3834,-0.01828928921165062,0.018091837565104168,0.0,0.0
YFR049W,True,11,438,-0.010277962485041975,0.017916361490885418,0.0,0.0
YGL246C,False,0,7934,-0.013548140435266491,0.017754236857096355,0.0,0.0
YBR112C,False,0,419,-0.01787695717792617,0.017751057942708332,0.0,0.0
YNL206C,False,0,18697,-0.024307623502670083,0.017690658569335938,0.0,0.0
YPL061W,True,10,707,-0.010830706327043577,0.016840616861979168,0.0,0.0
YNR032W,False,303,3894,-0.007658430207900206,0.016474405924479168,0.0,0.0
YPL212C,True,293,142,-0.012659325006422303,0.016324996948242188,0.0,0.0
YDR206W,False,9,23427,-0.015352217786515406,0.015965779622395832,0.0,0.0
YPR139C,True,0,677,-0.005942111412097174,0.01590283711751302,0.0,0.0
YIL036W,False,11,1298,-0.004158402964832481,0.015894571940104168,0.0,0.0
YLR032W,False,312,1227,-0.020475409724601615,0.015778183937072754,0.0,0.0
YIL131C,False,10,14052,-0.018328587129317626,0.014420191446940104,0.0,0.0
YDL078C,True,10,249,-0.004244290681249167,0.014404296875,0.0,0.0
YMR016C,False,10,578,-0.00649278544774655,0.0141448974609375,0.0,0.0
YER123W,True,302,14,0.00015403543199811638,0.014139811197916666,0.0,0.0
YOR144C,False,279,9519,-0.02465255201107089,0.013135910034179688,0.0,0.0
YNL107W,False,294,229,-0.01675289652406562,0.013092041015625,0.0,0.0
YGR286C,True,10,2085,-0.01468025532653101,0.011853535970052084,0.0,0.0
YGR108W,False,10,59,-0.0061728967785161775,0.01174163818359375,0.0,0.0
YER161C,False,302,61,-0.014607851622534581,0.011522928873697916,0.0,0.0
YGL067W,True,10,1611,-0.016325709318093524,0.010970433553059896,0.0,0.0
YPR074C,True,11,18,-0.008252322673797607,0.0109100341796875,0.0,0.0
YDR007W,True,315,3624,-0.010981563514343862,0.01081085205078125,0.0,0.0
YBL047C,False,291,20035,-0.01942814672144982,0.010698954264322916,0.0,0.0
YDL052C,True,0,10643,-0.019588498229309026,0.010587056477864584,0.0,0.0
YCR066W,False,0,17237,-0.01835126328262229,0.009853998819986979,0.0,0.0
YLR368W,False,10,4146,-0.01285355697588285,0.00894927978515625,0.0,0.0
YAL054C,True,341,32256,-0.011668983566027784,0.008783976236979166,0.0,0.0
YLL043W,True,323,268,-0.03215305366326328,0.0083465576171875,0.0,0.0
YER139C,False,11,1362,-0.026134633399433095,0.008220036824544271,0.0,0.0
YLR024C,False,11,615,-0.014644607101998677,0.008171717325846354,0.0,0.0
YOL090W,False,296,1798,-0.04115170702299543,0.008036931355794271,0.0,0.0
YGR072W,False,299,18890,-0.023360979805258565,0.007425944010416667,0.0,0.0
YAL009W,False,0,140,-0.01986833016077677,0.006917913754781087,0.0,0.0
YDL101C,True,0,217,-0.01303190697905838,0.0067958831787109375,0.0,0.0
YGR292W,True,10,52,-0.002192865579556196,0.0060596466064453125,0.0,0.0
YPR060C,True,11,309,-0.01724615503411977,0.0060583750406901045,0.0,0.0
YOR038C,False,290,18717,-0.023258172627775624,0.0059146881103515625,0.0,0.0
YJL168C,True,307,70,-0.0069710061663673046,0.005757649739583333,0.0,0.0
YCL016C,False,328,152,-0.026190850556942456,0.0045680999755859375,0.0,0.0
YPL139C,False,10,16,-0.03629807631174724,0.00017547607421875,0.0,0.0
YGL148W,True,292,1299,-0.02481032525205233,-0.0019251505533854167,0.0,0.0
YDR335W,False,289,621,-0.03491539802848173,-0.003345489501953125,0.0,0.0
