build,records,string_version,n,mean,sd,sem,min,max,run_ids
005,91050,9_1,4,0.42164039611816406,0.0017549463731338256,0.0008774731865669128,0.419741153717041,0.4238974153995514,jpckzn4x;zzbcgu54;q67k56m4;ytkjmgvs
005,91050,11_0,5,0.4225375890731812,0.0028407553530068433,0.0012704244153539427,0.4193340241909027,0.4268175661563873,mx8kt0p1;8pxowi2e;mbyn8rim;xo6uq9sa;g34rn9ti
005,91050,12_0,10,0.42132886350154874,0.003580210535726075,0.0011321619795826032,0.4149384498596191,0.4267142117023468,qea56nbl;sv0fsgng;ekebm9y1;ltspf20w;5me1tgmt;6m5wqiju;pfm9qtlj;d0i1sbc6;r0zhujxc;26tx2hj1
006,332313,9_1,5,0.3664095997810364,0.0009606184098488388,0.0004296016129719514,0.3651784658432007,0.3675904870033264,6q08iign;x3savllr;014mprap;cbi441o8;p6urax0a
006,332313,11_0,4,0.35566074401140213,0.0024713264078813266,0.0012356632039406633,0.3535841703414917,0.3591825366020202,ok8k5e6z;mj7paqg8;jo24cfpf;3f9sh91s
006,332313,12_0,5,0.35805013179779055,0.0022341740189869346,0.0009991529960037384,0.3544960021972656,0.3602030873298645,vqnrz2le;5akd0qwt;9jpfy547;xxtxdu3y;jww4tblb
